Z,A,element,BE_per_A_keV,BE_per_A_err_keV,n_deu,n_tri,grammar_class,source
16,36,S,8575.3900,0.0052,10,4,triton_bearing,AME2020
17,35,Cl,8520.2790,0.0010,14,1,triton_bearing,AME2020
17,36,Cl,8521.9322,0.0010,12,3,EC_alt,AME2020
17,37,Cl,8570.2816,0.0014,12,3,triton_bearing,AME2020
18,36,Ar,8519.9096,0.0008,15,1,EC_alt,AME2020
18,38,Ar,8614.2807,0.0051,14,2,triton_bearing,AME2020
18,39,Ar,8562.5988,0.1282,13,3,triton_bearing,AME2020
18,40,Ar,8595.2594,0.0002,12,4,triton_bearing,AME2020
18,42,Ar,8555.6141,0.1375,10,6,triton_bearing,AME2020
19,39,K,8557.0258,0.0003,16,1,triton_bearing,AME2020
19,40,K,8538.0907,0.0014,14,3,EC_alt,AME2020
19,41,K,8576.0731,0.0003,14,3,triton_bearing,AME2020
20,40,Ca,8551.3046,0.0006,17,1,EC_alt,AME2020
20,41,Ca,8546.7075,0.0034,16,2,EC_alt,AME2020
20,42,Ca,8616.5646,0.0035,16,2,triton_bearing,AME2020
20,43,Ca,8600.6653,0.0053,15,3,triton_bearing,AME2020
20,44,Ca,8658.1769,0.0074,14,4,triton_bearing,AME2020
20,46,Ca,8668.9848,0.0486,12,6,triton_bearing,AME2020
20,48,Ca,8666.6916,0.0004,10,8,triton_bearing,AME2020
21,45,Sc,8618.9410,0.0147,16,3,triton_bearing,AME2020
22,44,Ti,8533.5215,0.0159,19,1,EC_alt,AME2020
22,46,Ti,8656.4623,0.0020,18,2,triton_bearing,AME2020
22,47,Ti,8661.2325,0.0017,17,3,triton_bearing,AME2020
22,48,Ti,8723.0122,0.0016,16,4,triton_bearing,AME2020
22,49,Ti,8711.1625,0.0016,15,5,triton_bearing,AME2020
22,50,Ti,8755.7227,0.0017,14,6,triton_bearing,AME2020
23,50,V,8695.9032,0.0019,16,5,EC_alt,AME2020
23,51,V,8742.0852,0.0019,16,5,triton_bearing,AME2020
24,50,Cr,8701.0188,0.0019,19,3,EC_alt,AME2020
24,52,Cr,8775.9946,0.0022,18,4,triton_bearing,AME2020
24,53,Cr,8760.2103,0.0022,17,5,triton_bearing,AME2020
24,54,Cr,8777.9672,0.0025,16,6,triton_bearing,AME2020
25,53,Mn,8734.1798,0.0065,19,4,EC_alt,AME2020
25,55,Mn,8765.0247,0.0047,18,5,triton_bearing,AME2020
26,54,Fe,8736.3846,0.0064,21,3,EC_alt,AME2020
26,55,Fe,8746.5981,0.0056,20,4,EC_alt,AME2020
26,56,Fe,8790.3563,0.0048,20,4,triton_bearing,AME2020
26,57,Fe,8770.2829,0.0047,19,5,triton_bearing,AME2020
26,58,Fe,8792.2534,0.0055,18,6,triton_bearing,AME2020
26,60,Fe,8755.8539,0.0568,16,8,triton_bearing,AME2020
27,59,Co,8768.0379,0.0067,20,5,triton_bearing,AME2020
27,60,Co,8746.7692,0.0067,19,6,triton_bearing,AME2020
28,58,Ni,8732.0621,0.0060,23,3,EC_alt,AME2020
28,59,Ni,8736.5912,0.0060,22,4,EC_alt,AME2020
28,60,Ni,8780.7769,0.0059,22,4,triton_bearing,AME2020
28,61,Ni,8765.0281,0.0058,21,5,triton_bearing,AME2020
28,62,Ni,8794.5555,0.0069,20,6,triton_bearing,AME2020
28,63,Ni,8763.4955,0.0068,19,7,triton_bearing,AME2020
28,64,Ni,8777.4637,0.0072,18,8,triton_bearing,AME2020
29,63,Cu,8752.1404,0.0068,22,5,triton_bearing,AME2020
29,65,Cu,8757.0967,0.0099,20,7,triton_bearing,AME2020
30,64,Zn,8735.9057,0.0101,23,5,EC_alt,AME2020
30,66,Zn,8759.6335,0.0113,22,6,triton_bearing,AME2020
30,67,Zn,8734.1534,0.0113,21,7,triton_bearing,AME2020
30,68,Zn,8755.6820,0.0115,20,8,triton_bearing,AME2020
30,70,Zn,8729.8086,0.0274,18,10,triton_bearing,AME2020
31,69,Ga,8724.5798,0.0174,22,7,triton_bearing,AME2020
31,71,Ga,8717.6050,0.0114,20,9,triton_bearing,AME2020
32,70,Ge,8721.7028,0.0117,24,6,triton_bearing,AME2020
32,72,Ge,8731.7459,0.0011,22,8,triton_bearing,AME2020
32,73,Ge,8705.0500,0.0008,21,9,triton_bearing,AME2020
32,74,Ge,8725.2011,0.0003,20,10,triton_bearing,AME2020
32,76,Ge,8705.2364,0.0003,18,12,triton_bearing,AME2020
33,75,As,8700.8748,0.0118,22,9,triton_bearing,AME2020
34,74,Se,8687.7155,0.0003,25,7,EC_alt,AME2020
34,76,Se,8711.4781,0.0003,24,8,triton_bearing,AME2020
34,77,Se,8694.6908,0.0008,23,9,triton_bearing,AME2020
34,78,Se,8717.8072,0.0023,22,10,triton_bearing,AME2020
34,79,Se,8695.5923,0.0028,21,11,triton_bearing,AME2020
34,80,Se,8710.8142,0.0118,20,12,triton_bearing,AME2020
34,82,Se,8693.1973,0.0057,18,14,triton_bearing,AME2020
35,79,Br,8687.5956,0.0127,24,9,triton_bearing,AME2020
35,81,Br,8695.9465,0.0121,22,11,triton_bearing,AME2020
36,78,Kr,8661.2385,0.0039,27,7,EC_alt,AME2020
36,80,Kr,8692.9301,0.0087,26,8,triton_bearing,AME2020
36,81,Kr,8682.8206,0.0133,24,10,EC_alt,AME2020
36,82,Kr,8710.6754,0.0003,24,10,triton_bearing,AME2020
36,83,Kr,8695.7295,0.0003,23,11,triton_bearing,AME2020
36,84,Kr,8717.4473,0.0003,22,12,triton_bearing,AME2020
36,85,Kr,8698.5633,0.0235,21,13,triton_bearing,AME2020
36,86,Kr,8712.0295,0.0003,20,14,triton_bearing,AME2020
37,85,Rb,8697.4416,0.0003,24,11,triton_bearing,AME2020
37,87,Rb,8710.9843,0.0003,22,13,triton_bearing,AME2020
38,84,Sr,8677.5132,0.0148,27,9,EC_alt,AME2020
38,86,Sr,8708.4566,0.0003,26,10,triton_bearing,AME2020
38,87,Sr,8705.2363,0.0003,25,11,triton_bearing,AME2020
38,88,Sr,8732.5958,0.0003,24,12,triton_bearing,AME2020
38,90,Sr,8696.0043,0.0161,22,14,triton_bearing,AME2020
39,89,Y,8714.0110,0.0038,26,11,triton_bearing,AME2020
40,90,Zr,8709.9699,0.0013,28,10,triton_bearing,AME2020
40,91,Zr,8693.3149,0.0011,27,11,triton_bearing,AME2020
40,92,Zr,8692.6783,0.0011,26,12,triton_bearing,AME2020
40,93,Zr,8671.6207,0.0049,25,13,triton_bearing,AME2020
40,94,Zr,8666.8016,0.0018,24,14,triton_bearing,AME2020
40,96,Zr,8635.3283,0.0012,22,16,triton_bearing,AME2020
41,91,Nb,8670.8983,0.0322,29,10,EC_alt,AME2020
41,92,Nb,8662.3731,0.0194,28,11,EC_alt,AME2020
41,93,Nb,8664.1849,0.0160,28,11,triton_bearing,AME2020
41,94,Nb,8648.9014,0.0159,27,12,triton_bearing,AME2020
42,92,Mo,8657.7312,0.0017,31,9,EC_alt,AME2020
42,93,Mo,8651.4095,0.0020,30,10,EC_alt,AME2020
42,94,Mo,8662.3341,0.0015,30,10,triton_bearing,AME2020
42,95,Mo,8648.7212,0.0013,29,11,triton_bearing,AME2020
42,96,Mo,8653.9880,0.0013,28,12,triton_bearing,AME2020
42,97,Mo,8635.0926,0.0017,27,13,triton_bearing,AME2020
42,98,Mo,8635.1691,0.0018,26,14,triton_bearing,AME2020
42,100,Mo,8604.6626,0.0030,24,16,triton_bearing,AME2020
43,97,Tc,8623.7254,0.0425,29,12,EC_alt,AME2020
43,98,Tc,8610.0047,0.0345,28,13,EC_alt,AME2020
43,99,Tc,8613.6105,0.0092,28,13,triton_bearing,AME2020
44,96,Ru,8609.4130,0.0018,33,9,EC_alt,AME2020
44,98,Ru,8620.3140,0.0659,32,10,triton_bearing,AME2020
44,99,Ru,8608.7132,0.0035,31,11,triton_bearing,AME2020
44,100,Ru,8619.3593,0.0034,30,12,triton_bearing,AME2020
44,101,Ru,8601.3660,0.0041,29,13,triton_bearing,AME2020
44,102,Ru,8607.4275,0.0041,28,14,triton_bearing,AME2020
44,104,Ru,8587.3998,0.0240,26,16,triton_bearing,AME2020
44,106,Ru,8560.9406,0.0509,24,18,triton_bearing,AME2020
45,101,Rh,8588.2172,0.0578,31,12,EC_alt,AME2020
45,103,Rh,8584.1927,0.0223,30,13,triton_bearing,AME2020
46,102,Pd,8580.2887,0.0041,33,11,EC_alt,AME2020
46,104,Pd,8584.8485,0.0129,32,12,triton_bearing,AME2020
46,105,Pd,8570.6509,0.0108,31,13,triton_bearing,AME2020
46,106,Pd,8579.9934,0.0104,30,14,triton_bearing,AME2020
46,107,Pd,8560.8946,0.0112,29,15,triton_bearing,AME2020
46,108,Pd,8567.0241,0.0103,28,16,triton_bearing,AME2020
46,110,Pd,8547.1630,0.0056,26,18,triton_bearing,AME2020
47,107,Ag,8553.9012,0.0223,32,13,triton_bearing,AME2020
47,109,Ag,8547.9155,0.0118,30,15,triton_bearing,AME2020
48,106,Cd,8539.0492,0.0104,35,11,EC_alt,AME2020
48,108,Cd,8550.0196,0.0104,33,13,EC_alt,AME2020
48,109,Cd,8538.7646,0.0141,32,14,EC_alt,AME2020
48,110,Cd,8551.2755,0.0035,32,14,triton_bearing,AME2020
48,111,Cd,8537.0801,0.0032,31,15,triton_bearing,AME2020
48,112,Cd,8544.7306,0.0022,30,16,triton_bearing,AME2020
48,113,Cd,8526.9874,0.0022,29,17,triton_bearing,AME2020
48,114,Cd,8531.5135,0.0024,28,18,triton_bearing,AME2020
48,116,Cd,8512.3511,0.0014,26,20,triton_bearing,AME2020
49,113,In,8522.9297,0.0017,32,15,triton_bearing,AME2020
49,115,In,8516.5472,0.0003,30,17,triton_bearing,AME2020
50,112,Sn,8513.6189,0.0026,35,13,EC_alt,AME2020
50,114,Sn,8522.5671,0.0004,34,14,triton_bearing,AME2020
50,115,Sn,8514.0702,0.0003,33,15,triton_bearing,AME2020
50,116,Sn,8523.1166,0.0009,32,16,triton_bearing,AME2020
50,117,Sn,8509.6120,0.0041,31,17,triton_bearing,AME2020
50,118,Sn,8516.5341,0.0042,30,18,triton_bearing,AME2020
50,119,Sn,8499.4494,0.0061,29,19,triton_bearing,AME2020
50,120,Sn,8504.4880,0.0077,28,20,triton_bearing,AME2020
50,122,Sn,8487.8968,0.0201,26,22,triton_bearing,AME2020
50,124,Sn,8467.3997,0.0106,24,24,triton_bearing,AME2020
50,126,Sn,8443.5227,0.0848,22,26,triton_bearing,AME2020
51,121,Sb,8482.0574,0.0207,30,19,triton_bearing,AME2020
51,123,Sb,8472.3196,0.0110,28,21,triton_bearing,AME2020
51,125,Sb,8458.1612,0.0201,26,23,triton_bearing,AME2020
52,120,Te,8476.9857,0.0146,33,17,EC_alt,AME2020
52,122,Te,8478.1315,0.0111,32,18,triton_bearing,AME2020
52,123,Te,8465.5370,0.0110,30,20,EC_alt,AME2020
52,124,Te,8473.2705,0.0109,30,20,triton_bearing,AME2020
52,125,Te,8458.0361,0.0108,29,21,triton_bearing,AME2020
52,126,Te,8463.2397,0.0107,28,22,triton_bearing,AME2020
52,128,Te,8448.7536,0.0055,26,24,triton_bearing,AME2020
52,130,Te,8430.3251,0.0003,24,26,triton_bearing,AME2020
53,127,I,8445.4820,0.0285,30,21,triton_bearing,AME2020
53,129,I,8435.9908,0.0244,28,23,triton_bearing,AME2020
54,124,Xe,8437.6138,0.0110,35,17,EC_alt,AME2020
54,126,Xe,8443.5375,0.0003,33,19,EC_alt,AME2020
54,128,Xe,8443.3008,0.0003,32,20,triton_bearing,AME2020
54,129,Xe,8431.3904,0.0003,31,21,triton_bearing,AME2020
54,130,Xe,8437.7314,0.0003,30,22,triton_bearing,AME2020
54,131,Xe,8423.7367,0.0003,29,23,triton_bearing,AME2020
54,132,Xe,8427.6229,0.0003,28,24,triton_bearing,AME2020
54,134,Xe,8413.6994,0.0003,26,26,triton_bearing,AME2020
54,136,Xe,8396.1889,0.0003,24,28,triton_bearing,AME2020
55,133,Cs,8409.9786,0.0003,30,23,triton_bearing,AME2020
55,134,Cs,8398.6470,0.0003,28,25,EC_alt,AME2020
55,135,Cs,8401.3393,0.0027,28,25,triton_bearing,AME2020
55,137,Cs,8388.9581,0.0022,26,27,triton_bearing,AME2020
56,130,Ba,8405.5130,0.0022,35,19,EC_alt,AME2020
56,132,Ba,8409.3747,0.0080,33,21,EC_alt,AME2020
56,133,Ba,8400.2059,0.0075,32,22,EC_alt,AME2020
56,134,Ba,8408.1731,0.0019,32,22,triton_bearing,AME2020
56,135,Ba,8397.5345,0.0018,31,23,triton_bearing,AME2020
56,136,Ba,8402.7566,0.0018,30,24,triton_bearing,AME2020
56,137,Ba,8391.8288,0.0018,29,25,triton_bearing,AME2020
56,138,Ba,8393.4222,0.0018,28,26,triton_bearing,AME2020
57,137,La,8381.8807,0.0120,31,24,EC_alt,AME2020
57,138,La,8375.0835,0.0030,30,25,EC_alt,AME2020
57,139,La,8377.9987,0.0044,30,25,triton_bearing,AME2020
58,136,Ce,8373.7624,0.0024,35,21,EC_alt,AME2020
58,138,Ce,8377.0408,0.0036,33,23,EC_alt,AME2020
58,140,Ce,8376.3045,0.0094,32,24,triton_bearing,AME2020
58,142,Ce,8347.0700,0.0172,30,26,triton_bearing,AME2020
59,141,Pr,8353.9852,0.0106,34,23,triton_bearing,AME2020
60,142,Nd,8346.0310,0.0088,36,22,triton_bearing,AME2020
60,143,Nd,8330.4893,0.0088,35,23,triton_bearing,AME2020
60,144,Nd,8326.9237,0.0087,34,24,triton_bearing,AME2020
60,145,Nd,8309.1883,0.0088,33,25,triton_bearing,AME2020
60,146,Nd,8304.0927,0.0087,32,26,triton_bearing,AME2020
60,148,Nd,8277.1778,0.0139,30,28,triton_bearing,AME2020
60,150,Nd,8249.5789,0.0075,28,30,triton_bearing,AME2020
61,145,Pm,8302.6583,0.0193,35,24,EC_alt,AME2020
61,146,Pm,8288.6550,0.0293,34,25,EC_alt,AME2020
61,147,Pm,8284.3712,0.0088,34,25,triton_bearing,AME2020
62,144,Sm,8303.6800,0.0101,39,21,EC_alt,AME2020
62,146,Sm,8293.8581,0.0209,38,22,triton_bearing,AME2020
62,147,Sm,8280.5734,0.0086,37,23,triton_bearing,AME2020
62,148,Sm,8279.6326,0.0084,36,24,triton_bearing,AME2020
