#   1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
Radius(fm)    3H-SOG-Ju85  3He-SOG-MC77   4He-SOG-Si82   12C-SOG-Si82    16O-SOG-Si70b  24Mg-SOG-Li74  28Si-SOG-Li74 32S-SOG-Li74   39K-SOG-Si74   40Ca-SOG-Si79 48Ca-SOG-Si74 58Ni-SOG-Ca80b 116Sn-SOG-Ca82a 124Sn-SOG-Ca82a 205Tl-SOG-Fr83 206Pb-SOG-Fr83 208Pb-SOG-Fr77a 
#Z                 1              2              2              6              8              12              14            16             19             20             20             28             50             50             81             82             82
#A                 3              3              4             12             16              24              28            32             39             40             48             58            116            124            205            206            208
0.430          0.187985       0.153117       0.224499       0.1661         0.151481       0.164061       0.168141       0.181661       0.18427        0.174153       0.189886       0.166261       0.150152       0.14873        0.146235       0.162851       0.158615       
0.440          0.187322       0.152854       0.224373       0.166155       0.151599       0.164092       0.168221       0.181581       0.184084       0.174042       0.189811       0.166198       0.150215       0.148796       0.146282       0.162828       0.15858        
0.450          0.186643       0.152578       0.224228       0.166209       0.151719       0.164124       0.168301       0.1815         0.183896       0.17393        0.189735       0.166134       0.150279       0.148862       0.146331       0.162803       0.158543       
0.460          0.185947       0.152289       0.224063       0.166263       0.151839       0.164154       0.168381       0.181417       0.183704       0.173816       0.189657       0.166069       0.150344       0.14893        0.14638        0.162778       0.158506       
0.470          0.185235       0.151988       0.223878       0.166317       0.151961       0.164185       0.168461       0.181333       0.18351        0.173701       0.189578       0.166003       0.150409       0.148999       0.146429       0.162752       0.158469       
0.480          0.184507       0.151672       0.223673       0.16637        0.152083       0.164214       0.168541       0.181247       0.183314       0.173584       0.189497       0.165936       0.150476       0.149069       0.146479       0.162725       0.158431       
0.490          0.183763       0.151343       0.223446       0.166423       0.152205       0.164243       0.168621       0.18116        0.183114       0.173465       0.189414       0.165869       0.150544       0.149141       0.14653        0.162697       0.158392       
0.500          0.183001       0.151          0.223197       0.166475       0.152328       0.164272       0.1687         0.181071       0.182912       0.173345       0.18933        0.1658         0.150613       0.149213       0.146581       0.162668       0.158353       
0.510          0.182224       0.150643       0.222924       0.166527       0.152452       0.164299       0.168778       0.180981       0.182708       0.173224       0.189245       0.165731       0.150683       0.149286       0.146632       0.162638       0.158314       
0.520          0.18143        0.150271       0.222628       0.166578       0.152575       0.164326       0.168856       0.18089        0.182502       0.173101       0.189158       0.16566        0.150754       0.149361       0.146684       0.162608       0.158274       
0.530          0.18062        0.149884       0.222308       0.166627       0.152699       0.164352       0.168934       0.180798       0.182293       0.172977       0.18907        0.165589       0.150826       0.149437       0.146736       0.162576       0.158233       
0.540          0.179793       0.149482       0.221964       0.166676       0.152823       0.164377       0.16901        0.180704       0.182082       0.172852       0.18898        0.165518       0.150899       0.149513       0.146788       0.162544       0.158192       
0.550          0.17895        0.149065       0.221593       0.166724       0.152946       0.1644         0.169086       0.180609       0.181869       0.172726       0.188889       0.165445       0.150972       0.149591       0.146841       0.16251        0.15815        
0.560          0.17809        0.148632       0.221197       0.16677        0.15307        0.164423       0.169161       0.180513       0.181654       0.172598       0.188797       0.165372       0.151047       0.14967        0.146893       0.162476       0.158108       
0.570          0.177214       0.148184       0.220775       0.166814       0.153193       0.164445       0.169234       0.180415       0.181437       0.17247        0.188703       0.165298       0.151122       0.14975        0.146946       0.16244        0.158066       
0.580          0.176321       0.14772        0.220326       0.166858       0.153316       0.164465       0.169306       0.180316       0.181218       0.17234        0.188608       0.165224       0.151198       0.14983        0.147          0.162404       0.158023       
0.590          0.175412       0.14724        0.219849       0.166899       0.153438       0.164485       0.169378       0.180216       0.180998       0.17221        0.188512       0.165149       0.151275       0.149912       0.147053       0.162367       0.15798        
0.600          0.174487       0.146744       0.219344       0.166939       0.153559       0.164503       0.169447       0.180115       0.180776       0.172078       0.188415       0.165073       0.151352       0.149995       0.147106       0.162328       0.157936       
0.610          0.173546       0.146232       0.218812       0.166977       0.15368        0.16452        0.169516       0.180013       0.180552       0.171946       0.188316       0.164997       0.151431       0.150078       0.14716        0.162289       0.157893       
0.620          0.172588       0.145703       0.21825        0.167012       0.1538         0.164535       0.169583       0.179909       0.180328       0.171813       0.188217       0.16492        0.15151        0.150162       0.147214       0.162249       0.157848       
0.630          0.171614       0.145158       0.21766        0.167046       0.153919       0.164549       0.169648       0.179805       0.180101       0.171679       0.188116       0.164843       0.151589       0.150248       0.147267       0.162207       0.157804       
0.640          0.170624       0.144597       0.21704        0.167077       0.154036       0.164561       0.169712       0.179699       0.179874       0.171544       0.188014       0.164765       0.15167        0.150334       0.147321       0.162165       0.157759       
0.650          0.169619       0.144019       0.216391       0.167106       0.154153       0.164572       0.169773       0.179593       0.179645       0.171409       0.187911       0.164688       0.151751       0.150421       0.147375       0.162121       0.157713       
0.660          0.168597       0.143424       0.215713       0.167132       0.154268       0.164582       0.169833       0.179485       0.179416       0.171273       0.187807       0.164609       0.151832       0.150508       0.147429       0.162077       0.157668       
0.670          0.16756        0.142813       0.215004       0.167155       0.154381       0.16459        0.169892       0.179376       0.179185       0.171137       0.187702       0.164531       0.151914       0.150596       0.147482       0.162031       0.157622       
0.680          0.166507       0.142184       0.214265       0.167176       0.154493       0.164596       0.169948       0.179266       0.178954       0.171          0.187596       0.164452       0.151997       0.150686       0.147536       0.161984       0.157576       
