Z,k,electrons_before,n_frozen,E_bare_eV,E_ion_eV,E_obs_eV,rel_bare,rel_ion,closer,tag
26,15,12,3,1021.9280248375835,340.13876566339684,457.0,1.2361663563185634,0.2557138606927859,ion,COMPUTED
26,16,11,3,1021.9280248375835,387.002328932576,489.256,1.0887388705250085,0.2089982975526595,ion,COMPUTED
26,17,10,2,2299.338055884563,983.0010327672169,1266.0,0.8162227929577905,0.22353788880946535,ion,COMPUTED
26,18,9,2,2299.338055884563,1102.0496007494055,1358.0,0.6931797171462172,0.18847599355713882,ion,COMPUTED
26,19,8,2,2299.338055884563,1227.9009440448624,1456.0,0.579215697722914,0.15666143952962747,ion,COMPUTED
26,20,7,2,2299.338055884563,1360.5550626535874,1582.0,0.45343745631135457,0.13997783650215717,ion,COMPUTED
26,21,6,2,2299.338055884563,1500.0119565755801,1689.0,0.361360601471026,0.11189345377407925,ion,COMPUTED
26,22,5,2,2299.338055884563,1646.2716258108408,1799.0,0.2781200977679616,0.08489626136140035,ion,COMPUTED
26,23,4,2,2299.338055884563,1799.3340703593692,1950.0,0.17914772096644252,0.07726457930288759,ion,COMPUTED
26,24,3,2,2299.338055884563,1959.199290221166,2023.0,0.13659814922618038,0.03153767166526646,ion,COMPUTED
26,25,2,1,9197.352223538252,8503.469141584921,8828.0,0.041838720382674624,0.03676153810773436,ion,COMPUTED
26,26,1,1,9197.352223538252,9197.352223538252,9277.69,0.00865924346057574,0.00865924346057574,ion,COMPUTED
