API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452432.135416667, A.D. 2002-Jun-06 15:15:00.0000, -3.746127282199881E+07, -1.471156951571361E+08,  1.214669018037617E+03,  2.838925979863633E+01, -7.471581186258699E+00, -6.443844252785880E-04,
2452432.145833333, A.D. 2002-Jun-06 15:30:00.0000, -3.743572190172720E+07, -1.471224173148258E+08,  1.214088156908751E+03,  2.839056287712819E+01, -7.466546969203542E+00, -6.464175495048963E-04,
2452432.156250000, A.D. 2002-Jun-06 15:45:00.0000, -3.741016980909006E+07, -1.471291349416016E+08,  1.213505467385054E+03,  2.839186505537927E+01, -7.461512488449017E+00, -6.484475367067866E-04,
2452432.166666667, A.D. 2002-Jun-06 16:00:00.0000, -3.738461654489764E+07, -1.471358480372260E+08,  1.212920952282846E+03,  2.839316633324447E+01, -7.456477744173073E+00, -6.504743770552324E-04,
2452432.177083333, A.D. 2002-Jun-06 16:15:00.0000, -3.735906210996037E+07, -1.471425566014620E+08,  1.212334614448249E+03,  2.839446671057860E+01, -7.451442736553861E+00, -6.524980607132136E-04,
2452432.187500000, A.D. 2002-Jun-06 16:30:00.0000, -3.733350650508880E+07, -1.471492606340728E+08,  1.211746456727386E+03,  2.839576618723649E+01, -7.446407465769735E+00, -6.545185778450424E-04,
2452432.197916667, A.D. 2002-Jun-06 16:45:00.0000, -3.730794973109359E+07, -1.471559601348216E+08,  1.211156481958926E+03,  2.839706476307295E+01, -7.441371931999253E+00, -6.565359186150310E-04,
2452432.208333333, A.D. 2002-Jun-06 17:00:00.0000, -3.728239178878556E+07, -1.471626551034716E+08,  1.210564693033695E+03,  2.839836243794273E+01, -7.436336135421172E+00, -6.585500731866034E-04,
2452432.218750000, A.D. 2002-Jun-06 17:15:00.0000, -3.725683267897563E+07, -1.471693455397865E+08,  1.209971092797816E+03,  2.839965921170059E+01, -7.431300076214449E+00, -6.605610317245159E-04,
2452432.229166667, A.D. 2002-Jun-06 17:30:00.0000, -3.723127240247487E+07, -1.471760314435301E+08,  1.209375684134662E+03,  2.840095508420124E+01, -7.426263754558254E+00, -6.625687843890837E-04,
2452432.239583333, A.D. 2002-Jun-06 17:45:00.0000, -3.720571096009448E+07, -1.471827128144661E+08,  1.208778469957411E+03,  2.840225005529938E+01, -7.421227170631952E+00, -6.645733213450633E-04,
2452432.250000000, A.D. 2002-Jun-06 18:00:00.0000, -3.718014835264580E+07, -1.471893896523586E+08,  1.208179453119636E+03,  2.840354412484969E+01, -7.416190324615117E+00, -6.665746327541022E-04,
2452432.260416667, A.D. 2002-Jun-06 18:15:00.0000, -3.715458458094026E+07, -1.471960619569718E+08,  1.207578636564314E+03,  2.840483729270681E+01, -7.411153216687532E+00, -6.685727087774040E-04,
2452432.270833333, A.D. 2002-Jun-06 18:30:00.0000, -3.712901964578948E+07, -1.472027297280701E+08,  1.206976023226976E+03,  2.840612955872537E+01, -7.406115847029181E+00, -6.705675395775046E-04,
2452432.281250000, A.D. 2002-Jun-06 18:45:00.0000, -3.710345354800516E+07, -1.472093929654180E+08,  1.206371615968645E+03,  2.840742092275998E+01, -7.401078215820259E+00, -6.725591153169397E-04,
2452432.291666667, A.D. 2002-Jun-06 19:00:00.0000, -3.707788628839915E+07, -1.472160516687801E+08,  1.205765417784452E+03,  2.840871138466521E+01, -7.396040323241163E+00, -6.745474261555806E-04,
2452432.302083333, A.D. 2002-Jun-06 19:15:00.0000, -3.705231786778344E+07, -1.472227058379214E+08,  1.205157431595027E+03,  2.841000094429563E+01, -7.391002169472509E+00, -6.765324622537428E-04,
2452432.312500000, A.D. 2002-Jun-06 19:30:00.0000, -3.702674828697015E+07, -1.472293554726069E+08,  1.204547660358250E+03,  2.841128960150576E+01, -7.385963754695115E+00, -6.785142137735178E-04,
2452432.322916667, A.D. 2002-Jun-06 19:45:00.0000, -3.700117754677150E+07, -1.472360005726016E+08,  1.203936106994748E+03,  2.841257735615012E+01, -7.380925079090006E+00, -6.804926708765535E-04,
2452432.333333333, A.D. 2002-Jun-06 20:00:00.0000, -3.697560564799989E+07, -1.472426411376711E+08,  1.203322774536908E+03,  2.841386420808320E+01, -7.375886142838422E+00, -6.824678237236093E-04,
