tdb,r_m,r_rsun,speed_km_s,z_depth,c_far_m_s,dc_over_c,z_earth,z_spec,rr_geom_km_s,f_doppler_1way_frac
2024-Dec-24 10:16:00.0000,6.895617e+09,9.911769,190.283873,2.141396e-07,299792329.605119,4.282792e-07,1.003549e-08,2.041041e-07,144.556440,4.821884e-04
2024-Dec-24 10:17:00.0000,6.894857e+09,9.910675,190.295034,2.141633e-07,299792329.590949,4.283265e-07,1.003549e-08,2.041278e-07,144.675634,4.825860e-04
2024-Dec-24 10:18:00.0000,6.894104e+09,9.909594,190.306069,2.141866e-07,299792329.576940,4.283732e-07,1.003549e-08,2.041511e-07,144.794639,4.829829e-04
2024-Dec-24 10:19:00.0000,6.893361e+09,9.908525,190.316976,2.142097e-07,299792329.563091,4.284194e-07,1.003549e-08,2.041742e-07,144.913454,4.833793e-04
2024-Dec-24 10:20:00.0000,6.892626e+09,9.907469,190.327757,2.142326e-07,299792329.549403,4.284651e-07,1.003549e-08,2.041971e-07,145.032078,4.837749e-04
2024-Dec-24 10:21:00.0000,6.891901e+09,9.906426,190.338410,2.142551e-07,299792329.535876,4.285102e-07,1.003549e-08,2.042196e-07,145.150511,4.841700e-04
2024-Dec-24 10:22:00.0000,6.891184e+09,9.905396,190.348935,2.142774e-07,299792329.522510,4.285548e-07,1.003549e-08,2.042419e-07,145.268753,4.845644e-04
2024-Dec-24 10:23:00.0000,6.890475e+09,9.904378,190.359333,2.142994e-07,299792329.509306,4.285988e-07,1.003550e-08,2.042639e-07,145.386801,4.849582e-04
2024-Dec-24 10:24:00.0000,6.889776e+09,9.903372,190.369604,2.143212e-07,299792329.496262,4.286423e-07,1.003550e-08,2.042857e-07,145.504656,4.853513e-04
2024-Dec-24 10:25:00.0000,6.889085e+09,9.902380,190.379747,2.143427e-07,299792329.483380,4.286853e-07,1.003550e-08,2.043072e-07,145.622316,4.857438e-04
