Z,symbol,step,energy_eV,status,split,source
18,Ar,7,124.323,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,8,143.46,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,9,422.45,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,10,478.69,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,11,538.96,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,12,618.26,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,13,686.1,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,14,755.74,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,15,854.77,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,16,918.03,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,17,4120.8857,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,18,4426.2296,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,1,4.34066,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,2,31.63,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,3,45.806,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,4,60.91,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,5,82.66,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,6,99.4,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,7,117.56,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,8,154.88,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,9,175.8174,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,10,503.8,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,11,564.7,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,12,629.4,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,13,714.6,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,14,786.6,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,15,861.1,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,16,968.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,17,1033.4,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,18,4610.8,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
19,K,19,4934.046,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
20,Ca,1,6.11316,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,2,11.87172,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,3,50.9131,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,4,67.27,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
