Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
9,F,5,114.2428,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,275.50739430644245,1.4115952541993233,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
9,F,6,157.1651,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,275.50739430644245,0.7529807464026202,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
9,F,7,185.186,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,275.50739430644245,0.487733383227903,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
9,F,8,953.9112,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,1102.0295772257698,0.155274806738583,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
9,F,9,1103.1176,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,1102.0295772257698,0.0009863162134574224,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
12,Mg,1,7.64624,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6861535536846,27.469699297129647,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098994190838853e-10,0.0,True,True,COMPUTED
12,Mg,2,15.03528,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6861535536846,13.47835714091687,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098994190838853e-10,0.0,True,True,COMPUTED
12,Mg,3,80.1437,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7938454957902,5.111445384924707,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,4,109.2655,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7938454957902,3.4826028846780566,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,5,141.27,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7938454957902,2.4670761343228578,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,6,186.76,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7938454957902,1.6225843087159468,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,7,225.02,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7938454957902,1.176668053932051,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,8,265.96,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7938454957902,0.8416071796352468,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,9,328.06,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7938454957902,0.49300080929034384,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,10,367.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7938454957902,0.3327723686960278,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,11,1761.805,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,1959.1753819831608,0.11202737078346399,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
12,Mg,12,1962.665,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,1959.1753819831608,0.0017779998200605459,4.409810090858333e-12,0.007668195050976382,3.381528391446558e-14,12.0,6.098991929944678e-10,0.0,True,True,COMPUTED
