Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
29,Cu,6,103.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,580.4090147221335,4.635038977884792,1.835281862627013e-12,0.04427182037323327,8.12512689564761e-14,28.8335662046776,1.223475003774345e-09,0.0,True,True,COMPUTED
29,Cu,7,139.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,574.9524689542139,3.1363486975123305,1.8352996650947023e-12,0.044270961501143645,8.125048081646939e-14,28.833286518128045,1.209657747745425e-09,0.0,True,True,COMPUTED
29,Cu,8,166.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,596.3952728726438,2.5927426076665285,1.8353112192002693e-12,0.04427040409186365,8.124996930832686e-14,28.833104999684316,1.0094860368614029e-09,0.0,True,True,COMPUTED
29,Cu,9,199.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,622.9273053873309,2.130287966770507,1.835282081084346e-12,0.04427180983370548,8.125125928497342e-14,28.833562772559972,1.1670753760894544e-09,0.0,True,True,COMPUTED
29,Cu,10,232.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,624.382122909279,1.691302253919306,1.8353325262228693e-12,0.044269376196360635,8.124902604877712e-14,28.83277026599923,1.1391026496507804e-09,0.0,True,True,COMPUTED
29,Cu,11,265.3,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,654.3394618805414,1.4664133504732053,1.835296568206347e-12,0.044271110907341205,8.12506179189259e-14,28.833335171555948,1.2293867680962386e-09,0.0,True,True,COMPUTED
29,Cu,12,369.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,659.7099715889517,0.7878319013250724,1.8353004620739474e-12,0.04427092305182099,8.125044553344723e-14,28.833273997273068,1.0762746642387823e-09,0.0,True,True,COMPUTED
29,Cu,13,401.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,678.5877729949563,0.6922388353988934,1.8353520379391435e-12,0.04426843494160545,8.124816228645195e-14,28.832463743424164,1.240640508250819e-09,0.0,True,True,COMPUTED
29,Cu,14,435.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,714.9043339717331,0.6434582390154784,1.8352850994141804e-12,0.04427166421402537,8.125112565826876e-14,28.83351535256906,1.2592409907669002e-09,0.0,True,True,COMPUTED
29,Cu,15,484.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,704.9622917756963,0.4565336606935873,1.8353456572280142e-12,0.04426874274693399,8.124844475152944e-14,28.83256398155727,1.34465781279585e-09,0.0,True,True,COMPUTED
29,Cu,16,520.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,718.7136950597908,0.38214172126882845,1.8353364182863474e-12,0.04426918843891421,8.124885374992019e-14,28.832709122455732,1.5499530504652582e-09,0.0,True,True,COMPUTED
29,Cu,17,557.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,739.7969104593595,0.32818116779059164,1.8353038522278057e-12,0.0442707594984107,8.125029544848388e-14,28.8332207367544,1.6726266405866503e-09,0.0,True,True,COMPUTED
29,Cu,18,633.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,755.4045950969717,0.19337218814687465,1.835470396486748e-12,0.044262725910568124,8.124292307665474e-14,28.830604509660944,1.439442949120722e-09,0.0,True,True,COMPUTED
29,Cu,19,670.588,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,778.2212396450182,0.16050576456038312,1.8350593370634575e-12,0.044282558128573624,8.126112176289434e-14,28.83706266140759,1.3893428878685135e-09,0.0,True,True,COMPUTED
29,Cu,20,1697.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2346.942097997689,0.3829947542708833,1.8352746131344043e-12,0.044272170128922324,8.125158990597844e-14,28.833680099744633,1.1895074436684483e-09,0.0,True,True,COMPUTED
29,Cu,21,1804.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2338.285178431326,0.29616695034995905,1.8352875658711723e-12,0.04427154522004926,8.125101646425974e-14,28.833476602987318,1.559257986794941e-09,0.0,True,True,COMPUTED
29,Cu,22,1916.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2418.2235714415183,0.2621208619214605,1.8352090120464324e-12,0.044275335277324086,8.12544943123225e-14,28.834710783864182,1.4430258978091556e-09,0.0,True,True,COMPUTED
29,Cu,23,2060.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2481.528506028629,0.2046254883634122,1.835353223044145e-12,0.04426837777252643,8.124810982374216e-14,28.83244512602858,1.2443250515295809e-09,0.0,True,True,COMPUTED
29,Cu,24,2182.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2468.0710888207145,0.13110499029363634,1.834865991208105e-12,0.04429189101742183,8.126968451416305e-14,28.840101317403636,1.6223433792338434e-09,0.0,True,True,COMPUTED
29,Cu,25,2308.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2565.9007469957746,0.1117420914193131,1.8348756448522703e-12,0.04429142496182652,8.126925693825738e-14,28.839949583918816,1.5552107115408322e-09,0.0,True,True,COMPUTED
29,Cu,26,2478.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2571.0090218721334,0.037533907131611546,1.8348345147110004e-12,0.04429341068094081,8.127107869165907e-14,28.840596067942897,1.3845935287795044e-09,0.0,True,True,COMPUTED
29,Cu,27,2587.5,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2589.995251004287,0.000964348214217269,1.8341088696321345e-12,0.044328466019470374,8.13032327034973e-14,28.852006533785342,1.3401756424886521e-09,0.0,True,True,COMPUTED
29,Cu,28,11062.38,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,11309.00500456645,0.022294027557040262,1.8354704400740684e-12,0.04426272380833476,8.124292114736115e-14,28.830603825014236,1.6437113991200682e-09,0.0,True,True,COMPUTED
29,Cu,29,11567.617,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,11442.289074621442,0.010834377156380486,1.824749003113793e-12,0.0447843891518829,8.172026945995849e-14,29.0,6.098989952575264e-10,0.0,True,True,COMPUTED
