kind,formula,families,pred,obs,rel,origin
r_lower/a0,He I 3¹P→2¹P r_lo,He I,4.038257784028036,2.5234467586339027,0.6002944267443923,COMPUTED δ=-0.0095 from 2¹P
r_upper/a0,He I 3¹P→2¹P r_hi,He I,9.057341154165082,3.839792875474034,1.3588098233155157,COMPUTED δ=-0.0095 from 2¹P
energy,He I 4¹P→2¹P,He I,2.5228853844999755,1.8483696261225844,0.3649247146483119,COMPUTED δ=-0.0095 from 2¹P
path_Δr/a0,He I 4¹P→2¹P,He I,12.03816674027409,1.3163461168401311,8.145137883014785,COMPUTED δ=-0.0095 from 2¹P
lambda_nm,He I 4¹P→2¹P,He I,491.4380938386282,670.776,0.26735885923374086,COMPUTED δ=-0.0095 from 2¹P
path_ratio,He I 4¹P→2¹P,He I,3.9810297866290236,1.5216460828175944,1.616265261405234,COMPUTED δ=-0.0095 from 2¹P
r_lower/a0,He I 4¹P→2¹P r_lo,He I,4.038257784028036,2.5234467586339027,0.6002944267443923,COMPUTED δ=-0.0095 from 2¹P
r_upper/a0,He I 4¹P→2¹P r_hi,He I,16.076424524302126,3.839792875474034,3.186794716711756,COMPUTED δ=-0.0095 from 2¹P
energy,He I 4¹P→3¹P,He I,0.6558596001391734,1.8483696261225844,0.6451685902700087,COMPUTED δ=-0.0095 from 2¹P
path_Δr/a0,He I 4¹P→3¹P,He I,7.019083370137045,1.3163461168401311,4.332247560380432,COMPUTED δ=-0.0095 from 2¹P
lambda_nm,He I 4¹P→3¹P,He I,1890.4076178330058,670.776,1.8182397966430013,COMPUTED δ=-0.0095 from 2¹P
path_ratio,He I 4¹P→3¹P,He I,1.7749606921794339,1.5216460828175944,0.1664740653048461,COMPUTED δ=-0.0095 from 2¹P
r_lower/a0,He I 4¹P→3¹P r_lo,He I,9.057341154165082,2.5234467586339027,2.589273727759717,COMPUTED δ=-0.0095 from 2¹P
r_upper/a0,He I 4¹P→3¹P r_hi,He I,16.076424524302126,3.839792875474034,3.186794716711756,COMPUTED δ=-0.0095 from 2¹P
energy,H I cascade 4→3→2,H I,2.549678862053781,1.8483696261225844,0.37942045033620647,CASCADE identity
path_Δr/a0,H I cascade 4→3→2,H I,12.006535404257816,1.3163461168401311,8.121108233356832,CASCADE identity
lambda_nm,H I cascade 4→3→2,H I,486.27378246894307,670.776,0.2750578695884422,CASCADE identity
path_ratio,H I cascade 4→3→2,H I,4.0,1.5216460828175944,1.6287321639163945,CASCADE identity
r_lower/a0,H I cascade 4→3→2 r_lo,H I,4.002178468085939,2.5234467586339027,0.5859967936286339,CASCADE identity
r_upper/a0,H I cascade 4→3→2 r_hi,H I,16.008713872343755,3.839792875474034,3.1691607832798616,CASCADE identity
energy,H I cascade 4→3→2→1,H I,12.748394310268905,1.8483696261225844,5.897102251681033,CASCADE identity
path_Δr/a0,H I cascade 4→3→2→1,H I,15.00816925532227,1.3163461168401311,10.401385291696041,CASCADE identity
lambda_nm,H I cascade 4→3→2→1,H I,97.2547564937886,670.776,0.8550115739176884,CASCADE identity
path_ratio,H I cascade 4→3→2→1,H I,16.0,1.5216460828175944,9.514928655665576,CASCADE identity
r_lower/a0,H I cascade 4→3→2→1 r_lo,H I,1.0005446170214847,2.5234467586339027,0.6035008015928416,CASCADE identity
r_upper/a0,H I cascade 4→3→2→1 r_hi,H I,16.008713872343755,3.839792875474034,3.1691607832798616,CASCADE identity
energy,H I cascade 3→2→1,H I,12.087366457143851,1.8483696261225844,5.539474727519794,CASCADE identity
path_Δr/a0,H I cascade 3→2→1,H I,8.004356936171877,1.3163461168401311,5.080738822237889,CASCADE identity
lambda_nm,H I cascade 3→2→1,H I,102.57337598954267,670.776,0.8470825193663121,CASCADE identity
path_ratio,H I cascade 3→2→1,H I,9.0,1.5216460828175944,4.914647368811887,CASCADE identity
r_lower/a0,H I cascade 3→2→1 r_lo,H I,1.0005446170214847,2.5234467586339027,0.6035008015928416,CASCADE identity
r_upper/a0,H I cascade 3→2→1 r_hi,H I,9.004901553193362,3.839792875474034,1.345152940594922,CASCADE identity
energy,He II cascade 4→3→2,He II,10.202881633261114,1.8483696261225844,4.519935779654743,CASCADE identity
path_Δr/a0,He II cascade 4→3→2,He II,3.0004081814435226,1.3163461168401311,1.2793459433343846,CASCADE identity
lambda_nm,He II cascade 4→3→2,He II,121.51880506877113,670.776,0.8188384720550956,CASCADE identity
path_ratio,He II cascade 4→3→2,He II,4.0,1.5216460828175944,1.6287321639163945,CASCADE identity
r_lower/a0,He II cascade 4→3→2 r_lo,He II,1.0001360604811742,2.5234467586339027,0.6036627057578146,CASCADE identity
r_upper/a0,He II cascade 4→3→2 r_hi,He II,4.000544241924697,3.839792875474034,0.04186459313402882,CASCADE identity
energy,He II cascade 4→3→2→1,He II,51.01440816630557,1.8483696261225844,26.59967889827372,CASCADE identity
path_Δr/a0,He II cascade 4→3→2→1,He II,3.750510226804403,1.3163461168401311,1.8491824291679804,CASCADE identity
lambda_nm,He II cascade 4→3→2→1,He II,24.303761013754226,670.776,0.9637676944110192,CASCADE identity
path_ratio,He II cascade 4→3→2→1,He II,16.0,1.5216460828175944,9.514928655665576,CASCADE identity
r_lower/a0,He II cascade 4→3→2→1 r_lo,He II,0.25003401512029355,2.5234467586339027,0.9009156764394537,CASCADE identity
r_upper/a0,He II cascade 4→3→2→1 r_hi,He II,4.000544241924697,3.839792875474034,0.04186459313402882,CASCADE identity
energy,He II cascade 3→2→1,He II,48.369216631756395,1.8483696261225844,25.168584436881748,CASCADE identity
path_Δr/a0,He II cascade 3→2→1,He II,2.0002721209623484,1.3163461168401311,0.519563962222923,CASCADE identity
lambda_nm,He II cascade 3→2→1,He II,25.63287294419391,670.776,0.9617862401991218,CASCADE identity
path_ratio,He II cascade 3→2→1,He II,9.0,1.5216460828175944,4.914647368811887,CASCADE identity
r_lower/a0,He II cascade 3→2→1 r_lo,He II,0.25003401512029355,2.5234467586339027,0.9009156764394537,CASCADE identity
r_upper/a0,He II cascade 3→2→1 r_hi,He II,2.250306136082642,3.839792875474034,0.4139511663621087,CASCADE identity
energy,H I 2→1 + He II 2→1,H I+He II,51.01197708341021,1.8483696261225844,26.59836364029663,MEASURED
energy,|H I 2→1 − He II 2→1|,H I+He II,30.614303630384263,1.8483696261225844,15.562868810285197,MEASURED
path_Δr/a0,H I 2→1 + He II 2→1,H I+He II,3.751735896425335,1.3163461168401311,1.8501135441728045,MEASURED
path_Δr/a0,|H I 2→1 − He II 2→1|,H I+He II,2.251531805703573,1.3163461168401311,0.710440572505612,MEASURED
lambda_nm,H I 2→1 + He II 2→1,H I+He II,151.9455,670.776,0.7734780314143618,MEASURED
lambda_nm,|H I 2→1 − He II 2→1|,H I+He II,91.1885,670.776,0.8640552136629814,MEASURED
energy,H I 2→1 + H I 3→1,H I,22.286341765227192,1.8483696261225844,11.0572971175567,MEASURED
energy,|H I 2→1 − H I 3→1|,H I,1.888668312201247,1.8483696261225844,0.021802287545267255,MEASURED
