kind,formula,families,pred,obs,rel,origin
path_Δr/a0,|H I 2→1 − H I 4→2|,H I,9.004901553193362,1.3163461168401311,5.840831175017624,COMPUTED;MEASURED
lambda_nm,H I 2→1 + H I 4→2,H I,607.8407824689431,670.776,0.0938244921271138,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − H I 4→2|,H I,364.70678246894306,670.776,0.4562912470497706,COMPUTED;MEASURED
energy,H I 2→1 + He II 4→2,H I+He II,20.401718359774087,1.8483696261225844,10.03768319466046,COMPUTED;MEASURED
energy,|H I 2→1 − He II 4→2|,H I+He II,0.004044906748141841,1.8483696261225844,0.9978116353509731,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + He II 4→2,H I+He II,6.002042032507976,1.3163461168401311,3.559623001673592,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − He II 4→2|,H I+He II,0.0012256696209314022,1.3163461168401311,0.9990688849951762,COMPUTED;MEASURED
lambda_nm,H I 2→1 + He II 4→2,H I+He II,243.08580506877115,670.776,0.6376050945937672,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − He II 4→2|,H I+He II,0.048194931228877635,670.776,0.999928150483576,COMPUTED;MEASURED
energy,H I 2→1 + H I 4→3,H I,10.859864579638026,1.8483696261225844,4.875374939166955,COMPUTED;MEASURED
energy,|H I 2→1 − H I 4→3|,H I,9.537808873387918,1.8483696261225844,4.160119890844478,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + H I 4→3,H I,10.005446170214848,1.3163461168401311,6.600923527797361,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − H I 4→3|,H I,4.002178468085939,1.3163461168401311,2.0403694111189443,COMPUTED;MEASURED
lambda_nm,H I 2→1 + H I 4→3,H I,1997.194446665923,670.776,1.9774387376201938,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − H I 4→3|,H I,1754.0604466659229,670.776,1.614971982697537,COMPUTED;MEASURED
energy,H I 2→1 + He II 4→3,H I+He II,12.84402826106215,1.8483696261225844,5.948841876397687,COMPUTED;MEASURED
energy,|H I 2→1 − He II 4→3|,H I+He II,7.553645191963795,1.8483696261225844,3.086652953613746,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + He II 4→3,H I+He II,4.751871956906509,1.3163461168401311,2.609895525284266,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − He II 4→3|,H I+He II,1.2513957452223994,1.3163461168401311,0.04934140860584915,COMPUTED;MEASURED
lambda_nm,H I 2→1 + He II 4→3,H I+He II,590.2823909795458,670.776,0.12000072903689785,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − He II 4→3|,H I+He II,347.14839097954575,670.776,0.48246748395955463,COMPUTED;MEASURED
energy,H I 2→1 + He I 2¹P→1s²,H I+He I,31.417017965402,1.8483696261225844,15.9971511765788,MEASURED
energy,|H I 2→1 − He I 2¹P→1s²|,H I+He I,11.019344512376055,1.8483696261225844,4.9616563465673655,MEASURED
path_Δr/a0,H I 2→1 + He I 2¹P→1s²,H I+He I,6.486530800266087,1.3163461168401311,3.927678759623576,MEASURED
path_Δr/a0,|H I 2→1 − He I 2¹P→1s²|,H I+He I,0.48326309813717927,1.3163461168401311,0.6328753570548413,MEASURED
lambda_nm,H I 2→1 + He I 2¹P→1s²,H I+He I,180.0,670.776,0.7316540842248381,MEASURED
lambda_nm,|H I 2→1 − He I 2¹P→1s²|,H I+He I,63.13400000000001,670.776,0.9058791608525051,MEASURED
energy,H I 2→1 + He I 3¹P→1s²,H I+He I,33.2840437497628,1.8483696261225844,17.00724448149712,COMPUTED;MEASURED
energy,|H I 2→1 − He I 3¹P→1s²|,H I+He I,12.886370296736857,1.8483696261225844,5.971749651485687,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + He I 3¹P→1s²,H I+He I,11.505614170403133,1.3163461168401311,7.740569082257928,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − He I 3¹P→1s²|,H I+He I,5.502346468274224,1.3163461168401311,3.180014965579511,COMPUTED;MEASURED
lambda_nm,H I 2→1 + He I 3¹P→1s²,H I+He I,175.27420665763663,670.776,0.7386993472371751,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − He I 3¹P→1s²|,H I+He I,67.8597933423634,670.776,0.898833897840168,COMPUTED;MEASURED
energy,H I 2→1 + He I 4¹P→1s²,H I+He I,33.939903349901975,1.8483696261225844,17.36207589122711,COMPUTED;MEASURED
energy,|H I 2→1 − He I 4¹P→1s²|,H I+He I,13.54222989687603,1.8483696261225844,6.326581061215678,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + He I 4¹P→1s²,H I+He I,18.524697540540178,1.3163461168401311,13.072816642638362,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − He I 4¹P→1s²|,H I+He I,12.521429838411269,1.3163461168401311,8.512262525959944,COMPUTED;MEASURED
lambda_nm,H I 2→1 + He I 4¹P→1s²,H I+He I,173.79051649148514,670.776,0.740911248328078,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − He I 4¹P→1s²|,H I+He I,69.34348350851488,670.776,0.8966219967492652,COMPUTED;MEASURED
energy,H I 2→1 + He I 3¹P→2¹P,H I+He I,12.065862510873774,1.8483696261225844,5.527840719924037,COMPUTED;MEASURED
energy,|H I 2→1 − He I 3¹P→2¹P|,H I+He I,8.33181094215217,1.8483696261225844,3.5076541100873957,COMPUTED;MEASURED
