Z,A,symbol,radius_fm,unc_radius_fm,c_boundary_q1_fm,c_boundary_q2_fm,beta_q1,beta_q2,inside_q1,inside_q2
12,25,Mg,3.0284,0.0022,33.8152839144,67.6305678288,0.08955713657960379,0.044778568289801896,1,1
12,26,Mg,3.0337,0.0018,33.8152839144,67.6305678288,0.08971387044034607,0.04485693522017303,1,1
13,27,Al,3.061,0.0031,36.6332242406,73.2664484812,0.08355802863258605,0.04177901431629302,1,1
14,28,Si,3.1224,0.0024,39.4511645668,78.9023291336,0.07914595257924642,0.03957297628962321,1,1
14,29,Si,3.1176,0.0052,39.4511645668,78.9023291336,0.07902428316713382,0.03951214158356691,1,1
14,30,Si,3.1336,0.0040,39.4511645668,78.9023291336,0.07942984787417583,0.03971492393708791,1,1
15,31,P,3.1889,0.0019,42.269104893,84.538209786,0.07544280883336377,0.037721404416681883,1,1
16,32,S,3.2611,0.0018,45.0870452192,90.1740904384,0.07232898017923968,0.03616449008961984,1,1
16,34,S,3.2847,0.0021,45.0870452192,90.1740904384,0.07285241212926576,0.03642620606463288,1,1
16,36,S,3.2985,0.0024,45.0870452192,90.1740904384,0.07315848674411153,0.036579243372055766,1,1
17,35,Cl,3.3654,0.0191,47.9049855454,95.8099710908,0.07025156070260326,0.03512578035130163,1,1
17,37,Cl,3.384,0.0170,47.9049855454,95.8099710908,0.07063982926772729,0.03531991463386364,1,1
18,32,Ar,3.3468,0.0062,50.7229258716,101.4458517432,0.0659819981298415,0.03299099906492075,1,1
18,33,Ar,3.3438,0.0058,50.7229258716,101.4458517432,0.06592285327673121,0.032961426638365605,1,1
18,34,Ar,3.3654,0.0040,50.7229258716,101.4458517432,0.06634869621912531,0.03317434810956266,1,1
18,35,Ar,3.3636,0.0042,50.7229258716,101.4458517432,0.06631320930725913,0.033156604653629566,1,1
18,36,Ar,3.3905,0.0023,50.7229258716,101.4458517432,0.06684354149014808,0.03342177074507404,1,1
18,37,Ar,3.3908,0.0022,50.7229258716,101.4458517432,0.06684945597545912,0.03342472798772956,1,1
18,38,Ar,3.4028,0.0019,50.7229258716,101.4458517432,0.06708603538790028,0.03354301769395014,1,1
18,39,Ar,3.4093,0.0031,50.7229258716,101.4458517432,0.06721418256963925,0.033607091284819625,1,1
18,40,Ar,3.4274,0.0026,50.7229258716,101.4458517432,0.06757102318340467,0.03378551159170234,1,1
18,41,Ar,3.4251,0.0030,50.7229258716,101.4458517432,0.06752567879602012,0.03376283939801006,1,1
18,42,Ar,3.4414,0.0041,50.7229258716,101.4458517432,0.06784703249791936,0.03392351624895968,1,1
18,43,Ar,3.4354,0.0039,50.7229258716,101.4458517432,0.06772874279169878,0.03386437139584939,1,1
18,44,Ar,3.4454,0.0046,50.7229258716,101.4458517432,0.06792589230206642,0.03396294615103321,1,1
18,46,Ar,3.4377,0.0044,50.7229258716,101.4458517432,0.06777408717908334,0.03388704358954167,1,1
19,38,K,3.4264,0.0051,53.5408661978,107.0817323956,0.06399597622013802,0.03199798811006901,1,1
19,39,K,3.4349,0.0019,53.5408661978,107.0817323956,0.06415473345743405,0.03207736672871703,1,1
19,40,K,3.4381,0.0028,53.5408661978,107.0817323956,0.06421450088794552,0.03210725044397276,1,1
19,41,K,3.4518,0.0055,53.5408661978,107.0817323956,0.06447038019982267,0.03223519009991133,1,1
19,42,K,3.4517,0.0070,53.5408661978,107.0817323956,0.06446851246761919,0.03223425623380959,1,1
19,43,K,3.4556,0.0086,53.5408661978,107.0817323956,0.06454135402355501,0.03227067701177751,1,1
19,44,K,3.4563,0.0101,53.5408661978,107.0817323956,0.06455442814897941,0.032277214074489705,1,1
19,45,K,3.4605,0.0118,53.5408661978,107.0817323956,0.06463287290152568,0.03231643645076284,1,1
