Z,A,symbol,radius_fm,unc_radius_fm,c_boundary_q1_fm,c_boundary_q2_fm,beta_q1,beta_q2,inside_q1,inside_q2
19,46,K,3.4558,0.0126,53.5408661978,107.0817323956,0.06454508948796199,0.032272544743980995,1,1
19,47,K,3.4534,0.0138,53.5408661978,107.0817323956,0.06450026391507839,0.032250131957539195,1,1
20,39,Ca,3.4595,0.0025,56.358806524,112.717613048,0.06138348580051631,0.030691742900258154,1,1
20,40,Ca,3.4776,0.0019,56.358806524,112.717613048,0.06170464235290519,0.030852321176452594,1,1
20,41,Ca,3.478,0.0019,56.358806524,112.717613048,0.06171173973527843,0.030855869867639215,1,1
20,42,Ca,3.5081,0.0021,56.358806524,112.717613048,0.06224581775886437,0.031122908879432185,1,1
20,43,Ca,3.4954,0.0019,56.358806524,112.717613048,0.062020475868514155,0.031010237934257077,1,1
20,44,Ca,3.5179,0.0021,56.358806524,112.717613048,0.06241970362700862,0.03120985181350431,1,1
20,45,Ca,3.4944,0.0021,56.358806524,112.717613048,0.062002732412581064,0.031001366206290532,1,1
20,46,Ca,3.4953,0.0020,56.358806524,112.717613048,0.06201870152292084,0.03100935076146042,1,1
20,47,Ca,3.4783,0.0024,56.358806524,112.717613048,0.06171706277205835,0.030858531386029175,1,1
20,48,Ca,3.4771,0.0020,56.358806524,112.717613048,0.06169577062493865,0.030847885312469327,1,1
20,50,Ca,3.5168,0.0064,56.358806524,112.717613048,0.06240018582548222,0.03120009291274111,1,1
21,42,Sc,3.5702,0.0238,59.1767468502,118.3534937004,0.06033112987838962,0.03016556493919481,1,1
21,43,Sc,3.5575,0.0147,59.1767468502,118.3534937004,0.060116518554246566,0.030058259277123283,1,1
21,44,Sc,3.5432,0.0016,59.1767468502,118.3534937004,0.05987486958296737,0.029937434791483686,1,1
21,45,Sc,3.5459,0.0025,59.1767468502,118.3534937004,0.059920495612509596,0.029960247806254798,1,1
21,46,Sc,3.5243,0.0089,59.1767468502,118.3534937004,0.0595554873761718,0.0297777436880859,1,1
22,44,Ti,3.6115,0.0051,61.9946871764,123.9893743528,0.05825499191122328,0.02912749595561164,1,1
22,45,Ti,3.5939,0.0032,61.9946871764,123.9893743528,0.05797109661629389,0.028985548308146945,1,1
22,46,Ti,3.607,0.0022,61.9946871764,123.9893743528,0.058182405046042475,0.029091202523021237,1,1
22,47,Ti,3.5962,0.0019,61.9946871764,123.9893743528,0.058008196569608525,0.029004098284804262,1,1
22,48,Ti,3.5921,0.0017,61.9946871764,123.9893743528,0.05794206187022156,0.02897103093511078,1,1
22,49,Ti,3.5733,0.0021,61.9946871764,123.9893743528,0.057638810077910614,0.028819405038955307,1,1
22,50,Ti,3.5704,0.0022,61.9946871764,123.9893743528,0.0575920318759052,0.0287960159379526,1,1
23,51,V,3.6002,0.0022,64.8126275026,129.6252550052,0.055547817435044985,0.027773908717522493,1,1
24,50,Cr,3.6588,0.0065,67.6305678288,135.2611356576,0.05409979713998388,0.02704989856999194,1,1
24,52,Cr,3.6452,0.0042,67.6305678288,135.2611356576,0.05389870463940889,0.026949352319704446,1,1
24,53,Cr,3.6511,0.0075,67.6305678288,135.2611356576,0.05398594329774657,0.026992971648873286,1,1
24,54,Cr,3.6885,0.0074,67.6305678288,135.2611356576,0.0545389476743278,0.0272694738371639,1,1
25,50,Mn,3.712,0.0196,70.448508155,140.89701631,0.052690966738896734,0.026345483369448367,1,1
25,51,Mn,3.7026,0.0212,70.448508155,140.89701631,0.05255753595027991,0.026278767975139956,1,1
25,52,Mn,3.6706,0.0128,70.448508155,140.89701631,0.05210330347839287,0.026051651739196435,1,1
25,53,Mn,3.6662,0.0076,70.448508155,140.89701631,0.052040846513508404,0.026020423256754202,1,1
25,54,Mn,3.6834,0.0049,70.448508155,140.89701631,0.05228499646714768,0.02614249823357384,1,1
25,55,Mn,3.7057,0.0022,70.448508155,140.89701631,0.052601539720993976,0.026300769860496988,1,1
25,56,Mn,3.7146,0.0052,70.448508155,140.89701631,0.05272787312723755,0.026363936563618774,1,1
26,54,Fe,3.6933,0.0019,73.2664484812,146.5328969624,0.05040915830590167,0.025204579152950834,1,1
26,56,Fe,3.7377,0.0016,73.2664484812,146.5328969624,0.05101516557007789,0.025507582785038944,1,1
26,57,Fe,3.7532,0.0017,73.2664484812,146.5328969624,0.05122672216004932,0.02561336108002466,1,1
26,58,Fe,3.7745,0.0014,73.2664484812,146.5328969624,0.051517441861106836,0.025758720930553418,1,1
27,59,Co,3.7875,0.0021,76.0843888074,152.1687776148,0.049780251367828904,0.024890125683914452,1,1
28,58,Ni,3.7757,0.0020,78.9023291336,157.8046582672,0.04785283326182756,0.02392641663091378,1,1
28,60,Ni,3.8118,0.0016,78.9023291336,157.8046582672,0.04831036094695931,0.024155180473479657,1,1
28,61,Ni,3.8225,0.0019,78.9023291336,157.8046582672,0.04844597164587648,0.02422298582293824,1,1
28,62,Ni,3.8399,0.0021,78.9023291336,157.8046582672,0.048666497455330575,0.024333248727665287,1,1
28,64,Ni,3.8572,0.0023,78.9023291336,157.8046582672,0.048885755875075154,0.024442877937537577,1,1
29,63,Cu,3.8823,0.0015,81.7202694598,163.4405389196,0.04750718549587981,0.023753592747939905,1,1
29,65,Cu,3.9022,0.0014,81.7202694598,163.4405389196,0.04775069913247874,0.02387534956623937,1,1
30,64,Zn,3.9283,0.0015,84.538209786,169.076419572,0.04646774529463183,0.023233872647315915,1,1
30,66,Zn,3.9491,0.0014,84.538209786,169.076419572,0.04671378788357065,0.023356893941785323,1,1
