Z,N,A,symbol,radius_fm,unc_radius_fm,source
58,80,138,Ce,4.8737,0.0018,IAEA LiveChart
58,82,140,Ce,4.8771,0.0018,IAEA LiveChart
58,84,142,Ce,4.9063,0.0020,IAEA LiveChart
58,86,144,Ce,4.9303,0.0024,IAEA LiveChart
58,88,146,Ce,4.9590,0.0028,IAEA LiveChart
58,90,148,Ce,4.9893,0.0035,IAEA LiveChart
59,82,141,Pr,4.8919,0.0050,IAEA LiveChart
60,72,132,Nd,4.9174,0.0026,IAEA LiveChart
60,74,134,Nd,4.9128,0.0026,IAEA LiveChart
60,75,135,Nd,4.9086,0.0026,IAEA LiveChart
60,76,136,Nd,4.9111,0.0026,IAEA LiveChart
60,77,137,Nd,4.9080,0.0026,IAEA LiveChart
60,78,138,Nd,4.9123,0.0026,IAEA LiveChart
60,79,139,Nd,4.9076,0.0025,IAEA LiveChart
60,80,140,Nd,4.9101,0.0026,IAEA LiveChart
60,81,141,Nd,4.9057,0.0026,IAEA LiveChart
60,82,142,Nd,4.9123,0.0025,IAEA LiveChart
60,83,143,Nd,4.9254,0.0026,IAEA LiveChart
60,84,144,Nd,4.9421,0.0027,IAEA LiveChart
60,85,145,Nd,4.9535,0.0028,IAEA LiveChart
60,86,146,Nd,4.9696,0.0030,IAEA LiveChart
60,88,148,Nd,4.9999,0.0036,IAEA LiveChart
60,90,150,Nd,5.0400,0.0044,IAEA LiveChart
62,76,138,Sm,4.9599,0.0034,IAEA LiveChart
62,77,139,Sm,4.9556,0.0034,IAEA LiveChart
62,78,140,Sm,4.9565,0.0034,IAEA LiveChart
62,79,141,Sm,4.9517,0.0034,IAEA LiveChart
62,80,142,Sm,4.9518,0.0034,IAEA LiveChart
62,81,143,Sm,4.9479,0.0034,IAEA LiveChart
62,82,144,Sm,4.9524,0.0034,IAEA LiveChart
62,83,145,Sm,4.9651,0.0034,IAEA LiveChart
62,84,146,Sm,4.9808,0.0035,IAEA LiveChart
62,85,147,Sm,4.9892,0.0035,IAEA LiveChart
62,86,148,Sm,5.0042,0.0034,IAEA LiveChart
62,87,149,Sm,5.0134,0.0035,IAEA LiveChart
62,88,150,Sm,5.0387,0.0048,IAEA LiveChart
62,89,151,Sm,5.0550,0.0057,IAEA LiveChart
62,90,152,Sm,5.0819,0.0060,IAEA LiveChart
62,91,153,Sm,5.0925,0.0068,IAEA LiveChart
62,92,154,Sm,5.1053,0.0067,IAEA LiveChart
63,74,137,Eu,4.9762,0.0095,IAEA LiveChart
63,75,138,Eu,4.9779,0.0094,IAEA LiveChart
63,76,139,Eu,4.9760,0.0093,IAEA LiveChart
63,77,140,Eu,4.9695,0.0091,IAEA LiveChart
63,78,141,Eu,4.9697,0.0091,IAEA LiveChart
63,79,142,Eu,4.9607,0.0091,IAEA LiveChart
63,80,143,Eu,4.9636,0.0091,IAEA LiveChart
63,81,144,Eu,4.9612,0.0091,IAEA LiveChart
63,82,145,Eu,4.9663,0.0091,IAEA LiveChart
63,83,146,Eu,4.9789,0.0092,IAEA LiveChart
63,84,147,Eu,4.9938,0.0094,IAEA LiveChart
63,85,148,Eu,5.0045,0.0097,IAEA LiveChart
63,86,149,Eu,5.0202,0.0103,IAEA LiveChart
63,87,150,Eu,5.0296,0.0108,IAEA LiveChart
63,88,151,Eu,5.0522,0.0046,IAEA LiveChart
63,89,152,Eu,5.1064,0.0066,IAEA LiveChart
63,90,153,Eu,5.1115,0.0062,IAEA LiveChart
63,91,154,Eu,5.1239,0.0079,IAEA LiveChart
63,92,155,Eu,5.1221,0.0069,IAEA LiveChart
63,93,156,Eu,5.1264,0.0071,IAEA LiveChart
63,94,157,Eu,5.1351,0.0075,IAEA LiveChart
63,95,158,Eu,5.1413,0.0078,IAEA LiveChart
63,96,159,Eu,5.1498,0.0084,IAEA LiveChart
64,81,145,Gd,4.9786,0.0077,IAEA LiveChart
64,82,146,Gd,4.9801,0.0140,IAEA LiveChart
64,84,148,Gd,5.0080,0.0171,IAEA LiveChart
64,86,150,Gd,5.0342,0.0159,IAEA LiveChart
64,88,152,Gd,5.0774,0.0048,IAEA LiveChart
64,90,154,Gd,5.1223,0.0040,IAEA LiveChart
64,91,155,Gd,5.1319,0.0041,IAEA LiveChart
64,92,156,Gd,5.1420,0.0042,IAEA LiveChart
64,93,157,Gd,5.1449,0.0042,IAEA LiveChart
64,94,158,Gd,5.1569,0.0043,IAEA LiveChart
64,96,160,Gd,5.1734,0.0044,IAEA LiveChart
65,82,147,Tb,4.9201,0.1508,IAEA LiveChart
65,83,148,Tb,4.9291,0.1507,IAEA LiveChart
65,84,149,Tb,4.9427,0.1506,IAEA LiveChart
65,85,150,Tb,4.9499,0.1505,IAEA LiveChart
65,86,151,Tb,4.9630,0.1504,IAEA LiveChart
65,87,152,Tb,4.9689,0.1504,IAEA LiveChart
65,88,153,Tb,4.9950,0.1502,IAEA LiveChart
65,89,154,Tb,5.0333,0.1501,IAEA LiveChart
65,90,155,Tb,5.0391,0.1500,IAEA LiveChart
65,92,157,Tb,5.0489,0.1500,IAEA LiveChart
65,94,159,Tb,5.0600,0.1500,IAEA LiveChart
66,80,146,Dy,5.0438,0.2389,IAEA LiveChart
66,82,148,Dy,5.0455,0.2389,IAEA LiveChart
66,83,149,Dy,5.0567,0.2394,IAEA LiveChart
66,84,150,Dy,5.0706,0.2413,IAEA LiveChart
66,85,151,Dy,5.0801,0.2435,IAEA LiveChart
66,86,152,Dy,5.0950,0.2482,IAEA LiveChart
66,87,153,Dy,5.1035,0.2516,IAEA LiveChart
66,88,154,Dy,5.1241,0.2618,IAEA LiveChart
66,89,155,Dy,5.1457,0.2751,IAEA LiveChart
66,90,156,Dy,5.1622,0.2869,IAEA LiveChart
66,91,157,Dy,5.1709,0.2936,IAEA LiveChart
66,92,158,Dy,5.1815,0.3023,IAEA LiveChart
66,93,159,Dy,5.1825,0.3031,IAEA LiveChart
66,94,160,Dy,5.1951,0.3139,IAEA LiveChart
66,95,161,Dy,5.1962,0.0459,IAEA LiveChart
66,96,162,Dy,5.2074,0.0172,IAEA LiveChart
66,97,163,Dy,5.2099,0.0120,IAEA LiveChart
66,98,164,Dy,5.2218,0.0106,IAEA LiveChart
67,84,151,Ho,5.0398,0.0354,IAEA LiveChart
67,85,152,Ho,5.0614,0.0343,IAEA LiveChart
67,86,153,Ho,5.0760,0.0339,IAEA LiveChart
67,87,154,Ho,5.0856,0.0333,IAEA LiveChart
67,88,155,Ho,5.1076,0.0326,IAEA LiveChart
67,89,156,Ho,5.1156,0.0326,IAEA LiveChart
67,90,157,Ho,5.1535,0.0316,IAEA LiveChart
67,91,158,Ho,5.1571,0.0316,IAEA LiveChart
67,92,159,Ho,5.1675,0.0314,IAEA LiveChart
67,93,160,Ho,5.1662,0.0315,IAEA LiveChart
67,94,161,Ho,5.1785,0.0313,IAEA LiveChart
67,95,162,Ho,5.1817,0.0313,IAEA LiveChart
67,96,163,Ho,5.1907,0.0313,IAEA LiveChart
67,98,165,Ho,5.2022,0.0312,IAEA LiveChart
68,82,150,Er,5.0548,0.0254,IAEA LiveChart
68,84,152,Er,5.0843,0.0257,IAEA LiveChart
68,86,154,Er,5.1129,0.0268,IAEA LiveChart
68,88,156,Er,5.1429,0.0285,IAEA LiveChart
68,90,158,Er,5.1761,0.0312,IAEA LiveChart
68,92,160,Er,5.2045,0.0336,IAEA LiveChart
68,94,162,Er,5.2246,0.0040,IAEA LiveChart
68,96,164,Er,5.2389,0.0035,IAEA LiveChart
68,98,166,Er,5.2516,0.0031,IAEA LiveChart
68,99,167,Er,5.2560,0.0031,IAEA LiveChart
68,100,168,Er,5.2644,0.0035,IAEA LiveChart
68,102,170,Er,5.2789,0.0041,IAEA LiveChart
69,84,153,Tm,5.0643,0.0190,IAEA LiveChart
69,85,154,Tm,5.0755,0.0166,IAEA LiveChart
69,87,156,Tm,5.0976,0.0135,IAEA LiveChart
69,88,157,Tm,5.1140,0.0074,IAEA LiveChart
69,89,158,Tm,5.1235,0.0069,IAEA LiveChart
69,90,159,Tm,5.1392,0.0060,IAEA LiveChart
69,91,160,Tm,5.1504,0.0055,IAEA LiveChart
69,92,161,Tm,5.1616,0.0050,IAEA LiveChart
69,93,162,Tm,5.1713,0.0048,IAEA LiveChart
69,94,163,Tm,5.1849,0.0042,IAEA LiveChart
69,95,164,Tm,5.1906,0.0042,IAEA LiveChart
69,96,165,Tm,5.2004,0.0038,IAEA LiveChart
69,97,166,Tm,5.2046,0.0038,IAEA LiveChart
69,98,167,Tm,5.2129,0.0036,IAEA LiveChart
69,99,168,Tm,5.2170,0.0036,IAEA LiveChart
69,100,169,Tm,5.2256,0.0035,IAEA LiveChart
69,101,170,Tm,5.2303,0.0036,IAEA LiveChart
69,102,171,Tm,5.2388,0.0037,IAEA LiveChart
69,103,172,Tm,5.2411,0.0052,IAEA LiveChart
70,82,152,Yb,5.0423,0.0146,IAEA LiveChart
70,84,154,Yb,5.0875,0.0105,IAEA LiveChart
70,85,155,Yb,5.1040,0.0110,IAEA LiveChart
70,86,156,Yb,5.1219,0.0103,IAEA LiveChart
70,87,157,Yb,5.1324,0.0100,IAEA LiveChart
70,88,158,Yb,5.1498,0.0088,IAEA LiveChart
70,89,159,Yb,5.1629,0.0084,IAEA LiveChart
70,90,160,Yb,5.1781,0.0076,IAEA LiveChart
70,91,161,Yb,5.1889,0.0072,IAEA LiveChart
70,92,162,Yb,5.2054,0.0067,IAEA LiveChart
70,93,163,Yb,5.2157,0.0064,IAEA LiveChart
70,94,164,Yb,5.2307,0.0060,IAEA LiveChart
70,95,165,Yb,5.2399,0.0058,IAEA LiveChart
70,96,166,Yb,5.2525,0.0057,IAEA LiveChart
70,97,167,Yb,5.2621,0.0056,IAEA LiveChart
70,98,168,Yb,5.2702,0.0056,IAEA LiveChart
70,99,169,Yb,5.2771,0.0056,IAEA LiveChart
70,100,170,Yb,5.2853,0.0056,IAEA LiveChart
70,101,171,Yb,5.2906,0.0057,IAEA LiveChart
70,102,172,Yb,5.2995,0.0058,IAEA LiveChart
70,103,173,Yb,5.3046,0.0059,IAEA LiveChart
70,104,174,Yb,5.3108,0.0060,IAEA LiveChart
70,105,175,Yb,5.3135,0.0061,IAEA LiveChart
70,106,176,Yb,5.3215,0.0062,IAEA LiveChart
71,90,161,Lu,5.2293,0.0320,IAEA LiveChart
71,91,162,Lu,5.2398,0.0317,IAEA LiveChart
71,92,163,Lu,5.2567,0.0312,IAEA LiveChart
71,93,164,Lu,5.2677,0.0310,IAEA LiveChart
71,94,165,Lu,5.2830,0.0307,IAEA LiveChart
71,95,166,Lu,5.2972,0.0305,IAEA LiveChart
71,96,167,Lu,5.3108,0.0303,IAEA LiveChart
71,97,168,Lu,5.3227,0.0302,IAEA LiveChart
71,98,169,Lu,5.3290,0.0302,IAEA LiveChart
71,99,170,Lu,5.3364,0.0302,IAEA LiveChart
71,100,171,Lu,5.3436,0.0302,IAEA LiveChart
71,101,172,Lu,5.3486,0.0302,IAEA LiveChart
71,102,173,Lu,5.3577,0.0303,IAEA LiveChart
71,103,174,Lu,5.3634,0.0303,IAEA LiveChart
71,104,175,Lu,5.3700,0.0304,IAEA LiveChart
71,105,176,Lu,5.3739,0.0304,IAEA LiveChart
71,106,177,Lu,5.3815,0.0305,IAEA LiveChart
71,107,178,Lu,5.3857,0.0306,IAEA LiveChart
71,108,179,Lu,5.3917,0.0307,IAEA LiveChart
72,98,170,Hf,5.2898,0.0055,IAEA LiveChart
72,99,171,Hf,5.3041,0.0049,IAEA LiveChart
72,100,172,Hf,5.3065,0.0043,IAEA LiveChart
72,101,173,Hf,5.3140,0.0038,IAEA LiveChart
72,102,174,Hf,5.3201,0.0035,IAEA LiveChart
72,103,175,Hf,5.3191,0.0036,IAEA LiveChart
72,104,176,Hf,5.3286,0.0032,IAEA LiveChart
72,105,177,Hf,5.3309,0.0031,IAEA LiveChart
72,106,178,Hf,5.3371,0.0031,IAEA LiveChart
72,107,179,Hf,5.3408,0.0031,IAEA LiveChart
72,108,180,Hf,5.3470,0.0032,IAEA LiveChart
72,110,182,Hf,5.3516,0.0036,IAEA LiveChart
73,108,181,Ta,5.3507,0.0034,IAEA LiveChart
74,106,180,W,5.3491,0.0022,IAEA LiveChart
74,108,182,W,5.3559,0.0017,IAEA LiveChart
74,109,183,W,5.3611,0.0020,IAEA LiveChart
74,110,184,W,5.3658,0.0023,IAEA LiveChart
74,112,186,W,5.3743,0.0026,IAEA LiveChart
75,110,185,Re,5.3596,0.0172,IAEA LiveChart
75,112,187,Re,5.3698,0.0173,IAEA LiveChart
76,108,184,Os,5.3823,0.0022,IAEA LiveChart
76,110,186,Os,5.3909,0.0017,IAEA LiveChart
76,111,187,Os,5.3933,0.0018,IAEA LiveChart
76,112,188,Os,5.3993,0.0011,IAEA LiveChart
76,113,189,Os,5.4016,0.0012,IAEA LiveChart
76,114,190,Os,5.4062,0.0013,IAEA LiveChart
76,116,192,Os,5.4126,0.0015,IAEA LiveChart
77,105,182,Ir,5.3705,0.1061,IAEA LiveChart
77,106,183,Ir,5.3780,0.1061,IAEA LiveChart
77,107,184,Ir,5.3805,0.1061,IAEA LiveChart
77,108,185,Ir,5.3854,0.1061,IAEA LiveChart
77,109,186,Ir,5.3900,0.1061,IAEA LiveChart
77,110,187,Ir,5.3812,0.1061,IAEA LiveChart
77,111,188,Ir,5.3838,0.1061,IAEA LiveChart
77,112,189,Ir,5.3898,0.1061,IAEA LiveChart
77,114,191,Ir,5.3968,0.1061,IAEA LiveChart
77,116,193,Ir,5.4032,0.1061,IAEA LiveChart
78,100,178,Pt,5.3728,0.0066,IAEA LiveChart
78,101,179,Pt,5.3915,0.0050,IAEA LiveChart
78,102,180,Pt,5.3891,0.0049,IAEA LiveChart
78,103,181,Pt,5.3996,0.0041,IAEA LiveChart
78,104,182,Pt,5.3969,0.0041,IAEA LiveChart
78,105,183,Pt,5.4038,0.0036,IAEA LiveChart
78,106,184,Pt,5.4015,0.0036,IAEA LiveChart
78,107,185,Pt,5.4148,0.0028,IAEA LiveChart
78,108,186,Pt,5.4037,0.0036,IAEA LiveChart
78,109,187,Pt,5.4063,0.0037,IAEA LiveChart
78,110,188,Pt,5.4053,0.0034,IAEA LiveChart
78,111,189,Pt,5.4060,0.0035,IAEA LiveChart
78,112,190,Pt,5.4108,0.0030,IAEA LiveChart
78,113,191,Pt,5.4102,0.0031,IAEA LiveChart
78,114,192,Pt,5.4169,0.0028,IAEA LiveChart
78,115,193,Pt,5.4191,0.0027,IAEA LiveChart
78,116,194,Pt,5.4236,0.0025,IAEA LiveChart
78,117,195,Pt,5.4270,0.0026,IAEA LiveChart
78,118,196,Pt,5.4307,0.0027,IAEA LiveChart
78,120,198,Pt,5.4383,0.0032,IAEA LiveChart
79,104,183,Au,5.4247,0.0043,IAEA LiveChart
79,105,184,Au,5.4306,0.0041,IAEA LiveChart
79,106,185,Au,5.4296,0.0041,IAEA LiveChart
79,107,186,Au,5.4354,0.0039,IAEA LiveChart
79,108,187,Au,5.4018,0.0058,IAEA LiveChart
79,109,188,Au,5.4049,0.0055,IAEA LiveChart
79,110,189,Au,5.4084,0.0052,IAEA LiveChart
79,111,190,Au,5.4109,0.0049,IAEA LiveChart
79,112,191,Au,5.4147,0.0046,IAEA LiveChart
79,113,192,Au,5.4179,0.0044,IAEA LiveChart
79,114,193,Au,5.4221,0.0042,IAEA LiveChart
79,115,194,Au,5.4252,0.0040,IAEA LiveChart
79,116,195,Au,5.4298,0.0040,IAEA LiveChart
79,117,196,Au,5.4332,0.0039,IAEA LiveChart
79,118,197,Au,5.4371,0.0038,IAEA LiveChart
79,119,198,Au,5.4400,0.0038,IAEA LiveChart
79,120,199,Au,5.4454,0.0039,IAEA LiveChart
80,101,181,Hg,5.4364,0.0032,IAEA LiveChart
80,102,182,Hg,5.3833,0.0052,IAEA LiveChart
80,103,183,Hg,5.4405,0.0031,IAEA LiveChart
80,104,184,Hg,5.3949,0.0047,IAEA LiveChart
80,105,185,Hg,5.4397,0.0031,IAEA LiveChart
80,106,186,Hg,5.4017,0.0043,IAEA LiveChart
80,107,187,Hg,5.4046,0.0042,IAEA LiveChart
80,108,188,Hg,5.4085,0.0040,IAEA LiveChart
80,109,189,Hg,5.4100,0.0040,IAEA LiveChart
80,110,190,Hg,5.4158,0.0037,IAEA LiveChart
80,111,191,Hg,5.4171,0.0037,IAEA LiveChart
80,112,192,Hg,5.4232,0.0035,IAEA LiveChart
80,113,193,Hg,5.4238,0.0035,IAEA LiveChart
80,114,194,Hg,5.4309,0.0033,IAEA LiveChart
80,115,195,Hg,5.4345,0.0032,IAEA LiveChart
80,116,196,Hg,5.4385,0.0031,IAEA LiveChart
80,117,197,Hg,5.4412,0.0031,IAEA LiveChart
80,118,198,Hg,5.4463,0.0031,IAEA LiveChart
80,119,199,Hg,5.4474,0.0031,IAEA LiveChart
80,120,200,Hg,5.4551,0.0031,IAEA LiveChart
80,121,201,Hg,5.4581,0.0032,IAEA LiveChart
80,122,202,Hg,5.4648,0.0033,IAEA LiveChart
80,123,203,Hg,5.4679,0.0035,IAEA LiveChart
80,124,204,Hg,5.4744,0.0036,IAEA LiveChart
80,125,205,Hg,5.4776,0.0038,IAEA LiveChart
80,126,206,Hg,5.4837,0.0040,IAEA LiveChart
81,107,188,Tl,5.4017,0.0072,IAEA LiveChart
81,109,190,Tl,5.4121,0.0056,IAEA LiveChart
81,110,191,Tl,5.4169,0.0048,IAEA LiveChart
81,111,192,Tl,5.4191,0.0051,IAEA LiveChart
81,112,193,Tl,5.4243,0.0042,IAEA LiveChart
81,113,194,Tl,5.4259,0.0046,IAEA LiveChart
81,114,195,Tl,5.4325,0.0039,IAEA LiveChart
81,115,196,Tl,5.4327,0.0042,IAEA LiveChart
81,116,197,Tl,5.4388,0.0036,IAEA LiveChart
81,117,198,Tl,5.4396,0.0036,IAEA LiveChart
81,118,199,Tl,5.4479,0.0031,IAEA LiveChart
81,119,200,Tl,5.4491,0.0031,IAEA LiveChart
81,120,201,Tl,5.4573,0.0029,IAEA LiveChart
81,121,202,Tl,5.4595,0.0027,IAEA LiveChart
81,122,203,Tl,5.4666,0.0027,IAEA LiveChart
81,123,204,Tl,5.4704,0.0028,IAEA LiveChart
81,124,205,Tl,5.4759,0.0026,IAEA LiveChart
81,126,207,Tl,5.4853,0.0027,IAEA LiveChart
81,127,208,Tl,5.4946,0.0028,IAEA LiveChart
82,100,182,Pb,5.3788,0.0035,IAEA LiveChart
82,101,183,Pb,5.3869,0.0030,IAEA LiveChart
82,102,184,Pb,5.3930,0.0029,IAEA LiveChart
82,103,185,Pb,5.3984,0.0028,IAEA LiveChart
82,104,186,Pb,5.4027,0.0027,IAEA LiveChart
82,105,187,Pb,5.4079,0.0026,IAEA LiveChart
82,106,188,Pb,5.4139,0.0025,IAEA LiveChart
82,107,189,Pb,5.4177,0.0024,IAEA LiveChart
82,108,190,Pb,5.4222,0.0023,IAEA LiveChart
82,109,191,Pb,5.4229,0.0026,IAEA LiveChart
82,110,192,Pb,5.4300,0.0025,IAEA LiveChart
82,111,193,Pb,5.4310,0.0023,IAEA LiveChart
82,112,194,Pb,5.4372,0.0023,IAEA LiveChart
82,113,195,Pb,5.4389,0.0045,IAEA LiveChart
82,114,196,Pb,5.4444,0.0024,IAEA LiveChart
82,115,197,Pb,5.4446,0.0024,IAEA LiveChart
82,116,198,Pb,5.4524,0.0022,IAEA LiveChart
82,117,199,Pb,5.4529,0.0022,IAEA LiveChart
82,118,200,Pb,5.4611,0.0020,IAEA LiveChart
82,119,201,Pb,5.4629,0.0019,IAEA LiveChart
82,120,202,Pb,5.4705,0.0017,IAEA LiveChart
82,121,203,Pb,5.4727,0.0017,IAEA LiveChart
82,122,204,Pb,5.4803,0.0014,IAEA LiveChart
82,123,205,Pb,5.4828,0.0015,IAEA LiveChart
82,124,206,Pb,5.4902,0.0014,IAEA LiveChart
82,125,207,Pb,5.4943,0.0014,IAEA LiveChart
82,126,208,Pb,5.5012,0.0013,IAEA LiveChart
82,127,209,Pb,5.5100,0.0014,IAEA LiveChart
82,128,210,Pb,5.5208,0.0016,IAEA LiveChart
82,129,211,Pb,5.5290,0.0017,IAEA LiveChart
82,130,212,Pb,5.5396,0.0019,IAEA LiveChart
82,132,214,Pb,5.5577,0.0023,IAEA LiveChart
83,119,202,Bi,5.4840,0.0912,IAEA LiveChart
83,120,203,Bi,5.4911,0.0911,IAEA LiveChart
83,121,204,Bi,5.4934,0.0910,IAEA LiveChart
83,122,205,Bi,5.5008,0.0909,IAEA LiveChart
83,123,206,Bi,5.5034,0.0909,IAEA LiveChart
83,124,207,Bi,5.5103,0.0907,IAEA LiveChart
83,125,208,Bi,5.5147,0.0907,IAEA LiveChart
83,126,209,Bi,5.5211,0.0906,IAEA LiveChart
83,127,210,Bi,5.5300,0.0904,IAEA LiveChart
83,129,212,Bi,5.5489,0.0901,IAEA LiveChart
83,130,213,Bi,5.5586,0.0900,IAEA LiveChart
84,108,192,Po,5.5220,0.0178,IAEA LiveChart
84,110,194,Po,5.5167,0.0178,IAEA LiveChart
84,112,196,Po,5.5136,0.0178,IAEA LiveChart
84,114,198,Po,5.5146,0.0178,IAEA LiveChart
84,116,200,Po,5.5199,0.0178,IAEA LiveChart
84,118,202,Po,5.5281,0.0177,IAEA LiveChart
84,120,204,Po,5.5378,0.0177,IAEA LiveChart
84,121,205,Po,5.5389,0.0177,IAEA LiveChart
84,122,206,Po,5.5480,0.0177,IAEA LiveChart
84,123,207,Po,5.5501,0.0177,IAEA LiveChart
84,124,208,Po,5.5584,0.0176,IAEA LiveChart
84,125,209,Po,5.5628,0.0176,IAEA LiveChart
84,126,210,Po,5.5704,0.0176,IAEA LiveChart
84,132,216,Po,5.6359,0.0174,IAEA LiveChart
84,134,218,Po,5.6558,0.0173,IAEA LiveChart
86,116,202,Rn,5.5521,0.0181,IAEA LiveChart
86,118,204,Rn,5.5568,0.0180,IAEA LiveChart
86,119,205,Rn,5.5569,0.0180,IAEA LiveChart
86,120,206,Rn,5.5640,0.0178,IAEA LiveChart
86,121,207,Rn,5.5652,0.0178,IAEA LiveChart
86,122,208,Rn,5.5725,0.0177,IAEA LiveChart
86,123,209,Rn,5.5743,0.0177,IAEA LiveChart
86,124,210,Rn,5.5813,0.0177,IAEA LiveChart
86,125,211,Rn,5.5850,0.0176,IAEA LiveChart
86,126,212,Rn,5.5915,0.0176,IAEA LiveChart
86,132,218,Rn,5.6540,0.0187,IAEA LiveChart
86,133,219,Rn,5.6648,0.0191,IAEA LiveChart
86,134,220,Rn,5.6731,0.0194,IAEA LiveChart
86,135,221,Rn,5.6834,0.0199,IAEA LiveChart
86,136,222,Rn,5.6915,0.0203,IAEA LiveChart
87,120,207,Fr,5.5720,0.0176,IAEA LiveChart
87,121,208,Fr,5.5729,0.0176,IAEA LiveChart
87,122,209,Fr,5.5799,0.0176,IAEA LiveChart
87,123,210,Fr,5.5818,0.0176,IAEA LiveChart
87,124,211,Fr,5.5882,0.0176,IAEA LiveChart
87,125,212,Fr,5.5915,0.0176,IAEA LiveChart
87,126,213,Fr,5.5977,0.0176,IAEA LiveChart
87,133,220,Fr,5.6688,0.0177,IAEA LiveChart
87,134,221,Fr,5.6790,0.0177,IAEA LiveChart
87,135,222,Fr,5.6890,0.0177,IAEA LiveChart
87,136,223,Fr,5.6951,0.0178,IAEA LiveChart
87,137,224,Fr,5.7061,0.0178,IAEA LiveChart
87,138,225,Fr,5.7112,0.0178,IAEA LiveChart
87,139,226,Fr,5.7190,0.0178,IAEA LiveChart
87,140,227,Fr,5.7335,0.0179,IAEA LiveChart
87,141,228,Fr,5.7399,0.0179,IAEA LiveChart
88,120,208,Ra,5.5850,0.0183,IAEA LiveChart
88,121,209,Ra,5.5853,0.0182,IAEA LiveChart
88,122,210,Ra,5.5917,0.0180,IAEA LiveChart
88,123,211,Ra,5.5929,0.0179,IAEA LiveChart
88,124,212,Ra,5.5991,0.0177,IAEA LiveChart
88,125,213,Ra,5.6020,0.0177,IAEA LiveChart
88,126,214,Ra,5.6079,0.0177,IAEA LiveChart
88,132,220,Ra,5.6683,0.0215,IAEA LiveChart
88,133,221,Ra,5.6795,0.0228,IAEA LiveChart
88,134,222,Ra,5.6874,0.0239,IAEA LiveChart
88,135,223,Ra,5.6973,0.0253,IAEA LiveChart
88,136,224,Ra,5.7046,0.0263,IAEA LiveChart
88,137,225,Ra,5.7150,0.0279,IAEA LiveChart
88,138,226,Ra,5.7211,0.0288,IAEA LiveChart
88,139,227,Ra,5.7283,0.0300,IAEA LiveChart
88,140,228,Ra,5.7370,0.0315,IAEA LiveChart
88,141,229,Ra,5.7455,0.0329,IAEA LiveChart
88,142,230,Ra,5.7551,0.0346,IAEA LiveChart
88,144,232,Ra,5.7714,0.0375,IAEA LiveChart
90,137,227,Th,5.7404,0.0165,IAEA LiveChart
90,138,228,Th,5.7488,0.0152,IAEA LiveChart
90,139,229,Th,5.7557,0.0143,IAEA LiveChart
90,140,230,Th,5.7670,0.0131,IAEA LiveChart
90,142,232,Th,5.7848,0.0124,IAEA LiveChart
92,141,233,U,5.8203,0.0049,IAEA LiveChart
92,142,234,U,5.8291,0.0052,IAEA LiveChart
92,143,235,U,5.8337,0.0041,IAEA LiveChart
92,144,236,U,5.8431,0.0038,IAEA LiveChart
92,146,238,U,5.8571,0.0033,IAEA LiveChart
94,144,238,Pu,5.8535,0.0378,IAEA LiveChart
94,145,239,Pu,5.8601,0.0378,IAEA LiveChart
94,146,240,Pu,5.8701,0.0379,IAEA LiveChart
94,147,241,Pu,5.8748,0.0379,IAEA LiveChart
94,148,242,Pu,5.8823,0.0380,IAEA LiveChart
94,150,244,Pu,5.8948,0.0382,IAEA LiveChart
95,146,241,Am,5.8928,0.0042,IAEA LiveChart
95,148,243,Am,5.9048,0.0035,IAEA LiveChart
96,146,242,Cm,5.8285,0.0192,IAEA LiveChart
96,148,244,Cm,5.8429,0.0181,IAEA LiveChart
96,149,245,Cm,5.8475,0.0182,IAEA LiveChart
96,150,246,Cm,5.8562,0.0184,IAEA LiveChart
96,152,248,Cm,5.8687,0.0193,IAEA LiveChart
