Z,N,A,symbol,radius_fm,unc_radius_fm,source
39,47,86,Y,4.2513,0.0023,IAEA LiveChart
39,48,87,Y,4.2498,0.0022,IAEA LiveChart
39,49,88,Y,4.2441,0.0021,IAEA LiveChart
39,50,89,Y,4.2430,0.0021,IAEA LiveChart
39,51,90,Y,4.2573,0.0026,IAEA LiveChart
39,53,92,Y,4.2887,0.0050,IAEA LiveChart
39,54,93,Y,4.3052,0.0065,IAEA LiveChart
39,55,94,Y,4.3142,0.0074,IAEA LiveChart
39,56,95,Y,4.3284,0.0087,IAEA LiveChart
39,57,96,Y,4.3402,0.0099,IAEA LiveChart
39,58,97,Y,4.3580,0.0116,IAEA LiveChart
39,59,98,Y,4.3711,0.0129,IAEA LiveChart
39,60,99,Y,4.4658,0.0223,IAEA LiveChart
39,61,100,Y,4.4705,0.0228,IAEA LiveChart
39,62,101,Y,4.4863,0.0244,IAEA LiveChart
39,63,102,Y,4.4911,0.0249,IAEA LiveChart
40,47,87,Zr,4.2789,0.0030,IAEA LiveChart
40,48,88,Zr,4.2787,0.0025,IAEA LiveChart
40,49,89,Zr,4.2706,0.0010,IAEA LiveChart
40,50,90,Zr,4.2694,0.0010,IAEA LiveChart
40,51,91,Zr,4.2845,0.0013,IAEA LiveChart
40,52,92,Zr,4.3057,0.0013,IAEA LiveChart
40,54,94,Zr,4.3320,0.0013,IAEA LiveChart
40,56,96,Zr,4.3512,0.0015,IAEA LiveChart
40,57,97,Zr,4.3792,0.0136,IAEA LiveChart
40,58,98,Zr,4.4012,0.0164,IAEA LiveChart
40,59,99,Zr,4.4156,0.0181,IAEA LiveChart
40,60,100,Zr,4.4891,0.0289,IAEA LiveChart
40,61,101,Zr,4.5119,0.0318,IAEA LiveChart
40,62,102,Zr,4.5292,0.0340,IAEA LiveChart
41,49,90,Nb,4.2891,0.0040,IAEA LiveChart
41,50,91,Nb,4.2878,0.0040,IAEA LiveChart
41,51,92,Nb,4.3026,0.0043,IAEA LiveChart
41,52,93,Nb,4.3240,0.0017,IAEA LiveChart
41,58,99,Nb,4.4062,0.0125,IAEA LiveChart
41,60,101,Nb,4.4861,0.0203,IAEA LiveChart
