nuclide,Z,A,start_level_keV,end_level_keV,gamma_energy_keV,relative_intensity,multipolarity,tot_conv_coeff,gamma_fraction_from_icc,radius_fm_measured,source,extraction_date
24mg,12,24,1368.667,0,1368.625,100.0,E2,5.62e-05,0.9999438031582626,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,4122.853,1368.667,2754.016,100.0,E2,0.000678,0.9993224593725455,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,4238.35,1368.667,2869.5,27.8,M1+E2,0.00073,0.9992705325112669,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,4238.35,0,4237.96,100.0,[E2],0.00125,0.9987515605493134,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,5235.16,4238.35,996.83,2.63,D+Q,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,5235.16,1368.667,3866.15,100.0,E2(+M1),0.00112,0.9988812529966438,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,5235.16,0,5235.0,10.0,[M3],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,6010.34,5235.16,775.4,1.6,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,6010.34,4238.35,1771.92,11.4,[E2],0.000211,0.9997890445116081,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,6010.34,4122.853,1887.52,1.64,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,6010.34,1368.667,4641.19,100.0,[E2],0.00138,0.9986219017755498,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,6432.2,4238.35,2194.0,21.0,[E2],0.000413,0.9995871704985841,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,6432.2,1368.667,5063.2,100.0,[E2],0.00151,0.9984922766622402,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7348.6,1368.667,5979.5,61.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7348.6,0,7347.2,100.0,[E2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7555.3,4238.35,3316.7,49.0,[E1],0.00139,0.9986119294181088,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7555.3,1368.667,6185.8,64.0,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7555.3,0,7554.0,100.0,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7616.41,5235.16,2381.0,7.0,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7616.41,4238.35,3378.3,8.0,[E1],0.00142,0.9985820135407721,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7616.41,4122.853,3493.3,7.2,[E1],0.00147,0.9985321577281395,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7616.41,1368.667,6246.89,100.0,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7616.41,0,7615.2,38.0,[E3],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7747.7,4238.35,3509.1,12.9,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7747.7,1368.667,6378.1,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7747.7,0,7746.4,39.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7812.4,6010.34,1800.0,12.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7812.4,5235.16,2577.4,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,7812.4,4122.853,3690.0,51.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8113.2,4122.853,3990.0,100.0,[E2],0.00117,0.9988313673002588,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8358.1,6010.34,2347.7,22.0,[E1],0.000877,0.9991237684550649,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8358.1,5235.16,3122.7,33.0,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8358.1,1368.667,6988.3,100.0,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8358.1,0,8356.5,8.6,[E3],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8438.4,1368.667,7068.6,25.0,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8438.4,0,8436.8,100.0,(E1),,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8439.29,7616.41,822.0,0.05,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8439.29,7348.6,1090.67,0.32,[E2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8439.29,6010.34,2428.97,1.79,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8439.29,5235.16,3203.88,7.21,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8439.29,4238.35,4200.54,9.5,[E2],0.00124,0.9987615356957373,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8439.29,4122.853,4316.0,33.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8439.29,1368.667,7069.5,100.0,[E2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8654.9,6432.2,2222.3,6.1,[E2],0.000427,0.9995731822511787,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8654.9,4238.35,4416.1,17.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8654.9,1368.667,7285.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8864.5,5235.16,3629.0,2.17,[E1],0.00153,0.9984723373238944,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8864.5,4238.35,4625.7,8.9,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8864.5,1368.667,7494.6,100.0,[E1],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,8864.5,0,8862.7,1.03,[M2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9003.5,7348.6,1654.4,12.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9003.5,6432.2,2570.9,14.0,[E2],0.000594,0.9994063526265399,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9003.5,4122.853,4880.1,35.0,[E2],0.00146,0.9985421284924011,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9003.5,0,9001.7,100.0,[E2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9146.2,4238.35,4907.3,53.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9146.2,1368.667,7776.2,60.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9146.2,0,9144.3,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9284.4,4122.853,5161.0,27.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9284.4,1368.667,7914.3,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9299.8,7616.41,1683.3,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9301.07,7348.6,1952.38,7.3,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9301.07,4238.35,5060.7,2.8,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9301.07,4122.853,5177.51,76.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9301.07,1368.667,7930.87,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9305.39,1368.667,7935.3,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9457.81,7747.7,1710.0,2.1,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9457.81,7348.6,2108.65,1.5,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9457.81,6010.34,3447.21,2.1,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9457.81,5235.16,4222.2,12.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9457.81,4238.35,5218.81,5.6,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9457.81,4122.853,5334.29,28.4,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9457.81,1368.667,8087.66,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9516.18,8439.29,1076.86,85.8,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9516.18,7812.4,1704.8,0.09,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9516.18,7616.41,1899.7,4.74,[E1],0.000575,0.9994253304349999,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9516.18,6010.34,3505.61,11.5,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9516.18,5235.16,4280.62,3.82,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9516.18,4238.35,5277.2,2.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9516.18,4122.853,5392.68,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9516.18,1368.667,8146.0,0.16,[E2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9527.6,6010.34,3517.0,100.0,[E2],0.001,0.9990009990009991,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9527.6,4122.853,5404.0,28.0,[E2],0.0016,0.998402555910543,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9532.7,7616.41,1916.0,7.4,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9532.7,5235.16,4297.1,39.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9532.7,4238.35,5293.7,84.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
