z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
44,108,Ru,92,233,U,0,0.00079638,0.000025484,0.0010088,0.00016645,0.012946,0.0034178,2026-07-25
43,108,Tc,92,233,U,0,0.0007349,0.000024928,0.00094437,0.00015618,0.0081578,0.0022662,2026-07-25
39,108,Y,92,233,U,0,0.000000000007016,0.0000000000025502,0.0000000000018257,0.00000000000076451,,,2026-07-25
40,108,Zr,92,233,U,0,0.000000066448,0.000000024147,0.000000031152,0.000000013044,0.0000000013865,0.00000000069335,2026-07-25
47,109,Ag,92,233,U,0,0.00042003,0.000045363,0.00076411,0.00012532,0.013083,0.0038855,2026-07-25
47,109,Ag,92,233,U,1,0.00041982,0.000045341,0.00076374,0.00012525,0.013076,0.0038837,2026-07-25
42,109,Mo,92,233,U,0,0.000045743,0.000014908,0.000076657,0.000027961,0.000078811,0.000041832,2026-07-25
41,109,Nb,92,233,U,0,0.00000050056,0.00000019607,0.00000067782,0.00000028407,0.000000084877,0.00000004539,2026-07-25
46,109,Pd,92,233,U,0,0.00042003,0.000045363,0.00076411,0.00012532,0.013083,0.0038855,2026-07-25
46,109,Pd,92,233,U,2,0.00021002,0.000027313,0.00038206,0.000069522,0.0065457,0.0020297,2026-07-25
45,109,Rh,92,233,U,0,0.00042001,0.000045362,0.00076411,0.00012531,0.013067,0.003881,2026-07-25
44,109,Ru,92,233,U,0,0.00041514,0.000044841,0.0007583,0.00012437,0.011534,0.003436,2026-07-25
43,109,Tc,92,233,U,0,0.00029566,0.000035048,0.00054798,0.000094252,0.0032299,0.0013288,2026-07-25
40,109,Zr,92,233,U,0,0.0000000005522,0.00000000021693,0.00000000024032,0.00000000010086,0.0000000000033393,0.0000000000017858,2026-07-25
4,10,Be,92,233,U,0,0.00000888,0.0000013853,,,,,2026-07-25
47,110,Ag,92,233,U,0,0.00000000009868,0.000000000037635,0.000000000030994,0.000000000012592,0.00000020246,0.000000098893,2026-07-25
47,110,Ag,92,233,U,2,0.000000000224,0.000000000087887,0.000000000081464,0.000000000034105,0.00000086135,0.00000043817,2026-07-25
48,110,Cd,92,233,U,0,0.00000000031933,0.000000000097208,0.00000000011126,0.000000000037722,0.0000010516,0.00000047089,2026-07-25
42,110,Mo,92,233,U,0,0.0000054404,0.0000020852,0.0000072028,0.0000029719,0.0000017094,0.00000086947,2026-07-25
41,110,Nb,92,233,U,0,0.000000011437,0.000000004486,0.0000000099325,0.0000000041583,0.00000000022321,0.00000000011356,2026-07-25
46,110,Pd,92,233,U,0,0.00039527,0.00004348,0.00067572,0.00011082,0.012637,0.0034247,2026-07-25
45,110,Rh,92,233,U,0,0.00000098158,0.00000036484,0.0000012424,0.00000049797,0.000086488,0.000033752,2026-07-25
44,110,Ru,92,233,U,0,0.00035706,0.000039654,0.00062132,0.00010226,0.0064403,0.0019398,2026-07-25
43,110,Tc,92,233,U,0,0.000131,0.00002802,0.00022014,0.000056922,0.00046082,0.00022542,2026-07-25
40,110,Zr,92,233,U,0,0.0000000000030569,0.0000000000011994,,,,,2026-07-25
47,111,Ag,92,233,U,0,0.00024596,0.000020907,0.00064213,0.00010531,0.012986,0.0015713,2026-07-25
47,111,Ag,92,233,U,1,0.00024517,0.000020841,0.00064022,0.000105,0.012805,0.0015497,2026-07-25
48,111,Cd,92,233,U,0,0.00024719,0.000021011,0.00064533,0.00010581,0.01305,0.001579,2026-07-25
48,111,Cd,92,233,U,3,0.0000000000016489,0.00000000000062678,,,0.000000024681,0.000000010004,2026-07-25
42,111,Mo,92,233,U,0,0.00000022682,0.000000086043,0.00000035423,0.00000014807,0.00000001991,0.00000000807,2026-07-25
41,111,Nb,92,233,U,0,0.00000000011797,0.000000000044842,0.00000000010164,0.000000000042525,,,2026-07-25
46,111,Pd,92,233,U,0,0.0002462,0.000020928,0.00064332,0.00010551,0.012477,0.0015113,2026-07-25
46,111,Pd,92,233,U,2,0.0000035991,0.0000010075,0.0000074123,0.0000022408,0.0019745,0.00059233,2026-07-25
45,111,Rh,92,233,U,0,0.00024315,0.000020676,0.00063825,0.00010468,0.010553,0.0013104,2026-07-25
44,111,Ru,92,233,U,0,0.00016175,0.000016594,0.00043192,0.000076008,0.0021441,0.00067105,2026-07-25
43,111,Tc,92,233,U,0,0.000021377,0.0000069468,0.000050895,0.000019019,0.000031765,0.000012828,2026-07-25
47,112,Ag,92,233,U,0,0.00014336,0.000010035,0.00063253,0.00010373,0.016131,0.0011936,2026-07-25
48,112,Cd,92,233,U,0,0.00014336,0.000010035,0.00063253,0.00010373,0.016133,0.0011936,2026-07-25
49,112,In,92,233,U,0,,,,,0.00000000031231,0.00000000010615,2026-07-25
49,112,In,92,233,U,1,,,,,0.00000000027699,0.0000000001048,2026-07-25
42,112,Mo,92,233,U,0,0.0000000048971,0.0000000018306,0.0000000091937,0.0000000038487,0.00000000015879,0.000000000060077,2026-07-25
46,112,Pd,92,233,U,0,0.00014318,0.000010022,0.00063214,0.00010367,0.01554,0.0011524,2026-07-25
45,112,Rh,92,233,U,-2,0.000041632,0.0000058654,0.00018954,0.000041762,0.0034899,0.0007059,2026-07-25
45,112,Rh,92,233,U,0,0.000087103,0.0000082701,0.00038947,0.000069595,0.0039386,0.00070837,2026-07-25
44,112,Ru,92,233,U,0,0.000045471,0.0000089779,0.00019993,0.000052459,0.00044872,0.00016271,2026-07-25
50,112,Sn,92,233,U,0,,,,,0.00000000013742,0.000000000046707,2026-07-25
43,112,Tc,92,233,U,0,0.0000018384,0.00000067102,0.0000062833,0.0000025926,0.0000013545,0.00000051236,2026-07-25
47,113,Ag,92,233,U,0,0.00010346,0.000018699,0.00040804,0.000069652,0.0078056,0.0019936,2026-07-25
47,113,Ag,92,233,U,1,0.00015088,0.000026273,0.00059563,0.000097756,0.011316,0.0028416,2026-07-25
48,113,Cd,92,233,U,0,0.00015599,0.000027143,0.00061543,0.00010093,0.011748,0.0029487,2026-07-25
48,113,Cd,92,233,U,1,0.0000017935,0.00000040057,0.000007061,0.0000015033,0.00015305,0.000043227,2026-07-25
49,113,In,92,233,U,0,0.000001791,0.00000040001,0.0000070511,0.0000015012,0.00015285,0.000043169,2026-07-25
49,113,In,92,233,U,1,,,,,0.0000000012314,0.00000000061194,2026-07-25
42,113,Mo,92,233,U,0,0.0000000001211,0.000000000052631,0.00000000013553,0.000000000056726,0.0000000000013415,0.00000000000066667,2026-07-25
46,113,Pd,92,233,U,0,0.00015556,0.00002707,0.0006167,0.00010114,0.010163,0.0025619,2026-07-25
46,113,Pd,92,233,U,2,0.000034775,0.000010534,0.00013705,0.00004004,0.0062916,0.0016935,2026-07-25
45,113,Rh,92,233,U,0,0.00010638,0.0000197,0.00043067,0.000074741,0.0025005,0.00096792,2026-07-25
44,113,Ru,92,233,U,-2,0.000007492,0.0000029692,0.000027363,0.000010551,0.000024659,0.000012223,2026-07-25
44,113,Ru,92,233,U,0,0.000011403,0.0000035184,0.000041442,0.000012444,0.000037028,0.000014998,2026-07-25
43,113,Tc,92,233,U,0,0.00000017671,0.000000076638,0.0000004264,0.00000017826,0.000000042152,0.000000020947,2026-07-25
47,114,Ag,92,233,U,-2,0.000010902,0.0000043746,0.000031903,0.000012326,0.0034107,0.0012454,2026-07-25
47,114,Ag,92,233,U,0,0.00017315,0.000031341,0.00060976,0.0001,0.011063,0.003153,2026-07-25
48,114,Cd,92,233,U,0,0.00017329,0.000031365,0.00060998,0.00010004,0.0112,0.003192,2026-07-25
49,114,In,92,233,U,0,0.000000000075746,0.000000000022403,0.000000000050196,0.000000000014077,0.00000022227,0.000000089397,2026-07-25
49,114,In,92,233,U,1,0.000000000058427,0.000000000019611,0.000000000040092,0.00000000001274,0.00000019467,0.000000084317,2026-07-25
49,114,In,92,233,U,5,0.000000000028747,0.000000000012613,0.000000000021512,0.0000000000089804,0.00000013085,0.00000006817,2026-07-25
42,114,Mo,92,233,U,0,0.0000000000019871,0.00000000000087191,0.0000000000012451,0.0000000000005198,,,2026-07-25
46,114,Pd,92,233,U,0,0.00015966,0.000028971,0.00057128,0.000093859,0.0072173,0.0021344,2026-07-25
45,114,Rh,92,233,U,0,0.000033761,0.0000096944,0.0001179,0.000032281,0.00040891,0.00020124,2026-07-25
