z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
47,120,Ag,94,239,Pu,0,0.00012849,0.000024966,0.00013997,0.000031981,,,2026-07-25
47,121,Ag,94,239,Pu,0,0.000054852,0.000019762,0.000042,0.000015771,,,2026-07-25
47,122,Ag,94,239,Pu,0,0.000009177,0.0000032353,0.0000048161,0.0000019761,,,2026-07-25
47,123,Ag,94,239,Pu,0,0.0000037881,0.0000015786,0.0000017232,0.00000072623,,,2026-07-25
47,124,Ag,94,239,Pu,0,0.00000039261,0.00000010945,0.00000012969,0.000000042998,,,2026-07-25
47,125,Ag,94,239,Pu,0,0.000000023201,0.0000000092265,0.0000000099133,0.0000000040453,,,2026-07-25
47,126,Ag,94,239,Pu,0,0.000000011217,0.0000000046833,,,,,2026-07-25
47,127,Ag,94,239,Pu,0,0.000000016507,0.0000000060413,0.0000000000011319,0.00000000000052087,,,2026-07-25
47,128,Ag,94,239,Pu,0,0.000000030886,0.000000011249,0.000000013444,0.000000006173,,,2026-07-25
47,129,Ag,94,239,Pu,0,0.0000000056688,0.0000000020306,0.00000000049362,0.00000000017601,,,2026-07-25
47,130,Ag,94,239,Pu,0,0.00000000028626,0.0000000001128,0.000000000016268,0.0000000000068786,,,2026-07-25
48,108,Cd,94,239,Pu,0,0.00000000077093,0.00000000024608,0.000000000091332,0.000000000046234,,,2026-07-25
48,109,Cd,94,239,Pu,0,0.0000000000039294,0.0000000000017371,,,,,2026-07-25
48,110,Cd,94,239,Pu,0,0.000000022102,0.0000000064058,0.0000000000013312,0.00000000000064087,,,2026-07-25
48,111,Cd,94,239,Pu,0,0.0030792,0.000073872,0.0040902,0.00019627,,,2026-07-25
48,112,Cd,94,239,Pu,0,0.0012817,0.000076901,0.0014282,0.0001671,,,2026-07-25
48,113,Cd,94,239,Pu,0,0.00080094,0.000040854,0.0012707,0.00017536,,,2026-07-25
48,114,Cd,94,239,Pu,0,0.00053926,0.000027502,0.00095689,0.00012822,,,2026-07-25
48,115,Cd,94,239,Pu,0,0.00034808,0.000018838,0.00073319,0.000058712,,,2026-07-25
48,116,Cd,94,239,Pu,0,0.00045745,0.00002333,0.00062141,0.000078296,,,2026-07-25
48,117,Cd,94,239,Pu,0,0.00034208,0.000019466,0.00040451,0.000085641,,,2026-07-25
48,118,Cd,94,239,Pu,0,0.00045562,0.000032805,0.00050982,0.00010553,,,2026-07-25
48,119,Cd,94,239,Pu,0,0.00034184,0.000028095,0.00036785,0.000071064,,,2026-07-25
48,120,Cd,94,239,Pu,0,0.00041288,0.000060753,0.00050513,0.000093007,,,2026-07-25
48,121,Cd,94,239,Pu,0,0.00014369,0.000030359,0.00012162,0.000027884,,,2026-07-25
48,122,Cd,94,239,Pu,0,0.00029512,0.000042046,0.00023244,0.000056202,,,2026-07-25
