z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
44,110,Ru,93,237,Np,0,0.00063458,0.000099643,0.0015663,0.00023499,,,2026-07-25
43,110,Tc,93,237,Np,0,0.00040274,0.000070437,0.00098641,0.0001673,,,2026-07-25
40,110,Zr,93,237,Np,0,0.000000000060351,0.000000000025178,0.00000000010068,0.00000000004225,,,2026-07-25
47,111,Ag,93,237,Np,0,0.00036986,0.000056959,0.00091166,0.00010119,,,2026-07-25
47,111,Ag,93,237,Np,1,0.00036895,0.00005682,0.0009094,0.00010095,,,2026-07-25
48,111,Cd,93,237,Np,0,0.00037171,0.000057211,0.0009162,0.00010165,,,2026-07-25
42,111,Mo,93,237,Np,0,0.0000023275,0.00000097039,0.0000043231,0.0000016952,,,2026-07-25
41,111,Nb,93,237,Np,0,0.0000000017636,0.00000000074206,0.0000000040649,0.0000000016071,,,2026-07-25
46,111,Pd,93,237,Np,0,0.00037122,0.000057168,0.00091495,0.00010156,,,2026-07-25
46,111,Pd,93,237,Np,2,0.0000018016,0.00000038169,0.0000046255,0.00000080746,,,2026-07-25
45,111,Rh,93,237,Np,0,0.00037122,0.000057168,0.0009148,0.00010154,,,2026-07-25
44,111,Ru,93,237,Np,0,0.00032588,0.00005065,0.00079417,0.000089578,,,2026-07-25
43,111,Tc,93,237,Np,0,0.00009083,0.000026303,0.000214,0.000056127,,,2026-07-25
47,112,Ag,93,237,Np,0,0.00024079,0.000036841,0.00062711,0.00011602,,,2026-07-25
48,112,Cd,93,237,Np,0,0.00024079,0.000036841,0.00062711,0.00011602,,,2026-07-25
42,112,Mo,93,237,Np,0,0.000000075813,0.000000031689,0.0000001414,0.000000062698,,,2026-07-25
41,112,Nb,93,237,Np,0,0.0000000000086673,0.0000000000036248,0.000000000020002,0.0000000000088728,,,2026-07-25
46,112,Pd,93,237,Np,0,0.00024078,0.000036839,0.00062707,0.00011601,,,2026-07-25
45,112,Rh,93,237,Np,-2,0.000047581,0.000013073,0.00012855,0.000038459,,,2026-07-25
45,112,Rh,93,237,Np,0,0.00018855,0.000029759,0.00048491,0.000092165,,,2026-07-25
44,112,Ru,93,237,Np,0,0.00014097,0.000025064,0.00035637,0.000075453,,,2026-07-25
43,112,Tc,93,237,Np,0,0.00001228,0.0000047584,0.00002897,0.000012024,,,2026-07-25
47,113,Ag,93,237,Np,0,0.00011629,0.000018456,0.00029213,0.000048643,,,2026-07-25
47,113,Ag,93,237,Np,1,0.00016991,0.000025846,0.00042682,0.000068341,,,2026-07-25
48,113,Cd,93,237,Np,0,0.00017545,0.000026669,0.00044074,0.00007052,,,2026-07-25
48,113,Cd,93,237,Np,1,0.0000020106,0.0000004033,0.0000050508,0.0000010483,,,2026-07-25
49,113,In,93,237,Np,0,0.0000020077,0.00000040274,0.0000050437,0.0000010468,,,2026-07-25
