z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,Extraction_date
29,70,Cu,94,241,Pu,3,0.0000000023974,0.0000000010372,0.0000000061435,0.0000000026858,,,2026-07-25
29,71,Cu,94,241,Pu,0,0.0000001351,0.000000048939,0.00000048063,0.00000017743,,,2026-07-25
29,72,Cu,94,241,Pu,0,0.00000029202,0.000000099866,0.000001323,0.00000044767,,,2026-07-25
29,73,Cu,94,241,Pu,0,0.00000048914,0.00000017481,0.0000029407,0.00000098823,,,2026-07-25
29,74,Cu,94,241,Pu,0,0.00000040826,0.00000017465,0.0000035117,0.0000014016,,,2026-07-25
29,75,Cu,94,241,Pu,0,0.00000029928,0.00000013557,0.0000036246,0.0000015807,,,2026-07-25
29,76,Cu,94,241,Pu,0,0.00000005096,0.000000023699,0.0000009194,0.0000004242,,,2026-07-25
29,76,Cu,94,241,Pu,1,0.00000005096,0.000000023699,0.0000009194,0.0000004242,,,2026-07-25
29,77,Cu,94,241,Pu,0,0.000000025492,0.0000000097648,0.00000077359,0.00000036126,,,2026-07-25
29,78,Cu,94,241,Pu,0,0.000000015465,0.0000000071773,0.00000015479,0.000000071916,,,2026-07-25
29,79,Cu,94,241,Pu,0,0.0000000031331,0.0000000014599,0.000000021482,0.0000000099517,,,2026-07-25
29,80,Cu,94,241,Pu,0,0.0000000002128,0.000000000099694,0.0000000012216,0.00000000057094,,,2026-07-25
30,66,Zn,94,241,Pu,0,0,0,0,0,,,2026-07-25
30,67,Zn,94,241,Pu,0,0,0,0,0,,,2026-07-25
30,68,Zn,94,241,Pu,0,0.0000000000030803,0.000000000001446,0.0000000000031519,0.0000000000014742,,,2026-07-25
30,69,Zn,94,241,Pu,0,0.000000000014461,0.000000000006859,0.000000000016897,0.0000000000079389,,,2026-07-25
30,69,Zn,94,241,Pu,1,0.000000000062544,0.000000000029664,0.000000000083923,0.000000000039429,,,2026-07-25
30,70,Zn,94,241,Pu,0,0.0000000014385,0.00000000068436,0.0000000024227,0.000000001151,,,2026-07-25
30,71,Zn,94,241,Pu,0,0.0000000027297,0.0000000012499,0.0000000051537,0.0000000023854,,,2026-07-25
30,71,Zn,94,241,Pu,1,0.000000011805,0.0000000054057,0.000000025596,0.000000011848,,,2026-07-25
30,72,Zn,94,241,Pu,0,0.00000011179,0.000000047194,0.00000030621,0.00000013512,,,2026-07-25
30,73,Zn,94,241,Pu,0,0.000000039656,0.000000015058,0.00000012919,0.000000052816,,,2026-07-25
30,73,Zn,94,241,Pu,-2,0.000000054211,0.000000020584,0.00000017869,0.00000007305,,,2026-07-25
30,73,Zn,94,241,Pu,1,0.0000003071,0.00000011661,0.0000011654,0.00000047642,,,2026-07-25
30,74,Zn,94,241,Pu,0,0.0000011276,0.00000036534,0.0000059282,0.0000020221,,,2026-07-25
30,75,Zn,94,241,Pu,0,0.0000017856,0.00000057806,0.000013083,0.0000042785,,,2026-07-25
30,76,Zn,94,241,Pu,0,0.0000021934,0.00000075953,0.000023558,0.0000080106,,,2026-07-25
30,77,Zn,94,241,Pu,0,0.0000011372,0.00000035985,0.000020555,0.0000083572,,,2026-07-25
30,77,Zn,94,241,Pu,2,0.00000017385,0.00000005501,0.0000027368,0.0000011127,,,2026-07-25
30,78,Zn,94,241,Pu,0,0.0000032547,0.0000014476,0.000018817,0.0000082506,,,2026-07-25
30,79,Zn,94,241,Pu,0,0.0000017938,0.00000082982,0.0000070394,0.0000032233,,,2026-07-25
30,80,Zn,94,241,Pu,0,0.00000056685,0.00000026532,0.0000018553,0.0000008656,,,2026-07-25
30,81,Zn,94,241,Pu,0,0.000000085876,0.000000038325,0.00000024102,0.00000010944,,,2026-07-25
30,82,Zn,94,241,Pu,0,0.0000000088045,0.0000000037298,0.000000022238,0.0000000098339,,,2026-07-25
30,83,Zn,94,241,Pu,0,0.00000000032251,0.00000000011671,0.00000000084436,0.00000000030814,,,2026-07-25
31,69,Ga,94,241,Pu,0,0,0,0,0,,,2026-07-25
31,70,Ga,94,241,Pu,0,0.0000000000013413,0.00000000000064077,0.000000000001845,0.00000000000087841,,,2026-07-25
31,71,Ga,94,241,Pu,0,0.000000000056942,0.000000000026654,0.000000000099223,0.000000000046492,,,2026-07-25
31,72,Ga,94,241,Pu,0,0.0000000010033,0.00000000046615,0.0000000023201,0.0000000010849,,,2026-07-25
31,72,Ga,94,241,Pu,-2,0.00000000011297,0.000000000052485,0.00000000022806,0.00000000010664,,,2026-07-25
31,73,Ga,94,241,Pu,0,0.000000015553,0.0000000072303,0.000000048357,0.000000022668,,,2026-07-25
31,74,Ga,94,241,Pu,0,0.00000005053,0.000000023501,0.00000022875,0.00000010573,,,2026-07-25
31,74,Ga,94,241,Pu,2,0.00000005053,0.000000023501,0.00000022875,0.00000010573,,,2026-07-25
31,75,Ga,94,241,Pu,0,0.00000055967,0.00000024241,0.0000035844,0.0000015648,,,2026-07-25
31,76,Ga,94,241,Pu,0,0.0000014596,0.0000005723,0.0000138,0.0000055097,,,2026-07-25
31,77,Ga,94,241,Pu,0,0.0000029513,0.0000005951,0.000045968,0.000015411,,,2026-07-25
31,78,Ga,94,241,Pu,0,0.000016389,0.0000058353,0.000082078,0.000027593,,,2026-07-25
31,79,Ga,94,241,Pu,0,0.00003459,0.000013717,0.00011581,0.000042475,,,2026-07-25
31,80,Ga,94,241,Pu,0,0.000028903,0.000012915,0.000079665,0.00003444,,,2026-07-25
31,81,Ga,94,241,Pu,0,0.000019417,0.0000085369,0.000045473,0.000020106,,,2026-07-25
31,82,Ga,94,241,Pu,0,0.000005734,0.0000024234,0.000012017,0.0000052901,,,2026-07-25
31,83,Ga,94,241,Pu,0,0.00000099053,0.0000003583,0.0000021472,0.00000078295,,,2026-07-25
31,84,Ga,94,241,Pu,0,0.000000080012,0.000000029807,0.00000020693,0.000000074868,,,2026-07-25
31,85,Ga,94,241,Pu,0,0.0000000033121,0.0000000013386,0.0000000099855,0.0000000036524,,,2026-07-25
31,86,Ga,94,241,Pu,0,0.000000000076874,0.000000000030388,0.000000000261,0.000000000095315,,,2026-07-25
32,70,Ge,94,241,Pu,0,0,0,0,0,,,2026-07-25
32,72,Ge,94,241,Pu,0,0.0000000000010478,0.00000000000048721,0.000000000001352,0.0000000000006325,,,2026-07-25
32,73,Ge,94,241,Pu,0,0.000000000031768,0.000000000014866,0.00000000005761,0.000000000027115,,,2026-07-25
32,73,Ge,94,241,Pu,2,0.0000000000073454,0.0000000000034375,0.0000000000116,0.0000000000054594,,,2026-07-25
32,74,Ge,94,241,Pu,0,0.0000000010563,0.00000000050343,0.0000000027475,0.0000000012937,,,2026-07-25
32,75,Ge,94,241,Pu,0,0.0000000019482,0.00000000092291,0.0000000064367,0.0000000030302,,,2026-07-25
32,75,Ge,94,241,Pu,2,0.000000012744,0.0000000060372,0.000000048343,0.000000022759,,,2026-07-25
32,76,Ge,94,241,Pu,0,0.00000014613,0.000000067639,0.00000081762,0.00000038132,,,2026-07-25
32,77,Ge,94,241,Pu,0,0.00000058075,0.00000020399,0.0000055401,0.0000025102,,,2026-07-25
32,77,Ge,94,241,Pu,1,0.00000008878,0.000000031185,0.00000073763,0.00000033422,,,2026-07-25
32,78,Ge,94,241,Pu,0,0.000013054,0.000004969,0.000039882,0.00001626,,,2026-07-25
32,79,Ge,94,241,Pu,0,0.0000079872,0.0000026879,0.000014515,0.000005228,,,2026-07-25
32,79,Ge,94,241,Pu,1,0.000052248,0.000017583,0.00010901,0.000039266,,,2026-07-25
32,80,Ge,94,241,Pu,0,0.00018456,0.000056885,0.00030986,0.000097142,,,2026-07-25
32,81,Ge,94,241,Pu,0,0.00024452,0.000081813,0.00035298,0.00011753,,,2026-07-25
32,81,Ge,94,241,Pu,1,0.000056539,0.000018917,0.000071071,0.000023663,,,2026-07-25
32,82,Ge,94,241,Pu,0,0.00036603,0.00013242,0.00045488,0.00016632,,,2026-07-25
32,83,Ge,94,241,Pu,0,0.00017206,0.00005818,0.00021869,0.000073323,,,2026-07-25
32,84,Ge,94,241,Pu,0,0.000062566,0.00002296,0.000094321,0.000033367,,,2026-07-25
32,85,Ge,94,241,Pu,0,0.0000075608,0.0000030503,0.000013253,0.0000048335,,,2026-07-25
