obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"309.0487"	"2.4e+06"	C+	"0.101171"	"4.112972"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	8	8		
""	"309.9090"	"2.2e+06"	C+	"0.174426"	"4.175091"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"5/2"	6	6		
""	"310.6825"	"1.2e+05"	D	"0.513624"	"4.504329"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"5/2"	8	6		
""	"311.1720"	"2.6e+05"	C+	"0.224328"	"4.208755"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d8.(3F).4p"	"*"	"5/2"	4	6		
""	"311.9149"	"2.3e+05"	C+	"0.174426"	"4.149363"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	6	8		
""	"311.9542"	"2.6e+04"	D	"0.174426"	"4.148862"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"5/2"	6	6		
""	"312.2317"	"2.2e+06"	C+	"0.000000"	"3.970904"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"7/2"	10	8		
""	"312.2464"	"1.0e+06"	C+	"0.101171"	"4.071888"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"9/2"	8	10		
""	"312.8154"	"5.0e+05"	C	"0.431815"	"4.395309"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"7/2"	10	8		
""	"312.9912"	"2.0e+05"	D	"0.513624"	"4.474892"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2D*"	"5/2"	8	6		
""	"313.3120"	"7.4e+04"	D	"0.101171"	"4.058383"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"7/2"	8	8		
""	"313.7634"	"2.3e+05"	C	"0.000000"	"3.951519"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"7/2"	10	8		
""	"313.8235"	"4.7e+06"	C+	"0.224328"	"4.175091"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"5/2"	4	6		
""	"314.0851"	"2.5e+06"	C	"0.101171"	"4.048642"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"5/2"	8	6		
""	"314.7968"	"4.5e+06"	C+	"0.174426"	"4.112972"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	6	8		
""	"315.0217"	"2.8e+06"	C	"0.174426"	"4.110160"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"3/2"	6	4		
""	"315.9208"	"3.9e+03"	E	"0.224328"	"4.148862"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"5/2"	4	6		
""	"315.9684"	"2.2e+06"	C+	"0.101171"	"4.025114"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"9/2"	8	10		
""	"318.7264"	"1.9e+05"	C	"0.174426"	"4.064414"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"5/2"	6	6		
""	"319.0673"	"3.1e+05"	C	"0.224328"	"4.110160"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"3/2"	4	4		
""	"319.2213"	"8.2e+04"	D	"0.174426"	"4.058383"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"7/2"	6	8		
""	"319.4082"	"3.3e+05"	C	"0.513624"	"4.395309"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"7/2"	8	8		
""	"319.9587"	"3.8e+05"	D	"0.629323"	"4.504329"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"5/2"	4	6		
""	"320.0240"	"1.7e+05"	C	"0.174426"	"4.048642"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"5/2"	6	6		
""	"320.3947"	"1.0e+05"	C	"0.101171"	"3.970904"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"7/2"	8	8		
""	"322.0078"	"4.8e+05"	C+	"0.101171"	"3.951519"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"7/2"	8	8		
""	"322.4079"	"1.7e+05"	E	"0.629323"	"4.474892"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d8.(3F).4p"	"y 2D*"	"5/2"	4	6		
""	"322.8683"	"7.7e+04"	D	"0.224328"	"4.064414"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"5/2"	4	6		
""	"323.7955"	"7.1e+05"	C	"0.101171"	"3.930261"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"9/2"	8	10		
""	"325.0935"	"9.9e+05"	C	"0.581508"	"4.395309"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"7/2"	6	8		
""	"328.2530"	"4.3e+04"	D	"0.174426"	"3.951519"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"7/2"	6	8		
