obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"533.3899"	"3.3e-07"	D	"0.000000"	"2.324457"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p3"	"2P*"	"3/2"	4	4	E2	
""	"534.1107"	"4.26e-02"	C	"0.000000"	"2.321320"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	4	2	M1	
""	"534.1107"	"4.7e-06"	D	"0.000000"	"2.321320"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	4	2	E2	
"534.7338"	"534.7341"	"7.3e+06"	E	"7.2127021"	"9.5313163"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).5p"	"2P*"	"3/2"	4	4		
""	"537.9840"	"2.7e+06"	E	"7.2127021"	"9.5173096"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).5p"	"2P*"	"1/2"	4	2		
"545.9822"	"545.9819"	"3.8e+06"	E	"7.1757806"	"9.4466287"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	"3s2.3p2.(3P).5p"	"2D*"	"3/2"	2	4		
"547.9194"	"547.9194"	"5.7e+06"	E	"7.2127021"	"9.4755201"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).5p"	"2D*"	"5/2"	4	6		
""	"555.0057"	"6.6e+05"	E	"7.2127021"	"9.4466287"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).5p"	"2D*"	"3/2"	4	4		
""	"667.558"	"4.5e+06"	E	"7.9646942"	"9.821974"	"3s2.3p2.(3P).4p"	"2S*"	"1/2"	"3s2.3p2.(3P).5d"	"2P"	"1/2"	2	2		
"671.9265"	"671.926"	"5.0e+06"	E	"7.9646942"	"9.809901"	"3s2.3p2.(3P).4p"	"2S*"	"1/2"	"3s2.3p2.(3P).5d"	"2P"	"3/2"	2	4		
""	"697.110"	"2.0e+05"	E	"8.1052879"	"9.883833"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	"3s2.3p2.(3P).5d"	"4D"	"3/2"	2	4		
""	"698.732"	"1.4e+05"	E	"8.1147813"	"9.889199"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).5d"	"4D"	"5/2"	4	6		
""	"700.350"	"5.4e+04"	E	"8.1315198"	"9.901838"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).5d"	"4D"	"7/2"	6	8		
""	"700.851"	"3.2e+05"	E	"8.1147813"	"9.883833"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).5d"	"4D"	"3/2"	4	4		
""	"705.386"	"3.7e+05"	E	"8.1315198"	"9.889199"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).5d"	"4D"	"5/2"	6	6		
""	"707.546"	"2.9e+05"	E	"8.1315198"	"9.883833"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).5d"	"4D"	"3/2"	6	4		
""	"710.467"	"3.6e+05"	E	"8.1567289"	"9.901838"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).5d"	"4D"	"7/2"	8	8		
""	"715.650"	"1.3e+05"	E	"8.1567289"	"9.889199"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).5d"	"4D"	"5/2"	8	6		
"716.0340"	"716.034"	"5.1e+06"	E	"8.1052879"	"9.836829"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	"3s2.3p2.(3P).5d"	"4F"	"3/2"	2	4		
"716.7440"	"716.744"	"5.0e+06"	E	"8.1147813"	"9.844606"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).5d"	"4F"	"5/2"	4	6		
