obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"1048.502"	"1048.502"	"2.205e+04"	A+	"2.6702462"	"3.852735"	"3p6.3d"	"2D"	"3/2"	"3p6.7p"	"2P*"	"3/2"	4	4		
"1048.998"	"1048.997"	"2.168e+05"	A+	"2.6702462"	"3.852177"	"3p6.3d"	"2D"	"3/2"	"3p6.7p"	"2P*"	"1/2"	4	2		
""	"1067.1382"	"3.9e+04"	C	"3.0625810"	"4.22441928"	"3p6.5p"	"2P*"	"1/2"	"3p6.13s"	"2S"	"1/2"	2	2		
""	"1068.8721"	"1.2e+04"	C	"3.0625810"	"4.22253462"	"3p6.5p"	"2P*"	"1/2"	"3p6.11d"	"2D"	"3/2"	2	4		
""	"1069.2785"	"7.7e+04"	C	"3.0649066"	"4.22441928"	"3p6.5p"	"2P*"	"3/2"	"3p6.13s"	"2S"	"1/2"	4	2		
""	"1071.0193"	"2.4e+03"	C	"3.0649066"	"4.22253462"	"3p6.5p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"3/2"	4	4		
""	"1071.0232"	"1.4e+04"	C	"3.0649066"	"4.22253048"	"3p6.5p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"5/2"	4	6		
""	"1090.5010"	"5.4e+04"	C	"3.0625810"	"4.19952815"	"3p6.5p"	"2P*"	"1/2"	"3p6.12s"	"2S"	"1/2"	2	2		
""	"1092.7362"	"1.1e+05"	C+	"3.0649066"	"4.19952815"	"3p6.5p"	"2P*"	"3/2"	"3p6.12s"	"2S"	"1/2"	4	2		
""	"1092.8651"	"1.3e+04"	C	"3.0625810"	"4.19706867"	"3p6.5p"	"2P*"	"1/2"	"3p6.10d"	"2D"	"3/2"	2	4		
""	"1095.1100"	"2.7e+03"	C	"3.0649066"	"4.19706867"	"3p6.5p"	"2P*"	"3/2"	"3p6.10d"	"2D"	"3/2"	4	4		
""	"1095.1155"	"1.6e+04"	C	"3.0649066"	"4.19706295"	"3p6.5p"	"2P*"	"3/2"	"3p6.10d"	"2D"	"5/2"	4	6		
"1102.289"	"1102.287"	"6.538e+06"	AA	"2.6699600"	"3.794751"	"3p6.3d"	"2D"	"5/2"	"3p6.5f"	"2F*"	"7/2"	6	8		
"1102.289"	"1102.287"	"4.360e+05"	AA	"2.6699600"	"3.794751"	"3p6.3d"	"2D"	"5/2"	"3p6.5f"	"2F*"	"5/2"	6	6		
"1102.569"	"1102.567"	"6.099e+06"	AA	"2.6702462"	"3.794751"	"3p6.3d"	"2D"	"3/2"	"3p6.5f"	"2F*"	"5/2"	4	6		
""	"1123.9519"	"7.960e+04"	A+	"3.0625810"	"4.16569049"	"3p6.5p"	"2P*"	"1/2"	"3p6.11s"	"2S"	"1/2"	2	2		
""	"1126.3264"	"1.573e+05"	A+	"3.0649066"	"4.16569049"	"3p6.5p"	"2P*"	"3/2"	"3p6.11s"	"2S"	"1/2"	4	2		
""	"1127.3013"	"1.74e+04"	B+	"3.0625810"	"4.16241300"	"3p6.5p"	"2P*"	"1/2"	"3p6.9d"	"2D"	"3/2"	2	4		
""	"1129.6900"	"3.73e+03"	B+	"3.0649066"	"4.16241300"	"3p6.5p"	"2P*"	"3/2"	"3p6.9d"	"2D"	"3/2"	4	4		
""	"1129.6984"	"2.28e+04"	B+	"3.0649066"	"4.16240485"	"3p6.5p"	"2P*"	"3/2"	"3p6.9d"	"2D"	"5/2"	4	6		
"1169.3419"	"1169.3442"	"2.017e+07"	AA	"1.60995784350"	"2.6702462"	"3p6.4p"	"2P*"	"1/2"	"3p6.3d"	"2D"	"3/2"	2	4		
""	"1174.6955"	"1.156e+05"	AA	"3.0625810"	"4.11803927"	"3p6.5p"	"2P*"	"1/2"	"3p6.10s"	"2S"	"1/2"	2	2		
"1177.2859"	"1177.2889"	"3.974e+06"	AA	"1.6171130092"	"2.6702462"	"3p6.4p"	"2P*"	"3/2"	"3p6.3d"	"2D"	"3/2"	4	4		
""	"1177.2895"	"2.288e+05"	AA	"3.0649066"	"4.11803927"	"3p6.5p"	"2P*"	"3/2"	"3p6.10s"	"2S"	"1/2"	4	2		
"1177.6060"	"1177.6089"	"2.383e+07"	AA	"1.6171130092"	"2.6699600"	"3p6.4p"	"2P*"	"3/2"	"3p6.3d"	"2D"	"5/2"	4	6		
""	"1179.6834"	"1.72e+04"	B	"3.0625810"	"4.11357655"	"3p6.5p"	"2P*"	"1/2"	"3p6.8d"	"2D"	"3/2"	2	4		
""	"1182.2995"	"3.8e+03"	B	"3.0649066"	"4.11357655"	"3p6.5p"	"2P*"	"3/2"	"3p6.8d"	"2D"	"3/2"	4	4		
""	"1182.3133"	"2.29e+04"	B	"3.0649066"	"4.11356434"	"3p6.5p"	"2P*"	"3/2"	"3p6.8d"	"2D"	"5/2"	4	6		
"1243.5676"	"1243.5699"	"7.951e+06"	AA	"1.60995784350"	"2.6069601"	"3p6.4p"	"2P*"	"1/2"	"3p6.5s"	"2S"	"1/2"	2	2		
"1252.5567"	"1252.5591"	"1.582e+07"	AA	"1.6171130092"	"2.6069601"	"3p6.4p"	"2P*"	"3/2"	"3p6.5s"	"2S"	"1/2"	4	2		
""	"1252.951"	"4.35e+05"	B+	"2.6069601"	"3.596498"	"3p6.5s"	"2S"	"1/2"	"3p6.6p"	"2P*"	"3/2"	2	4		
""	"1254.277"	"4.16e+05"	A	"2.6069601"	"3.595451"	"3p6.5s"	"2S"	"1/2"	"3p6.6p"	"2P*"	"1/2"	2	2		
""	"1258.3414"	"1.782e+05"	AA	"3.0625810"	"4.04787964"	"3p6.5p"	"2P*"	"1/2"	"3p6.9s"	"2S"	"1/2"	2	2		
""	"1261.3184"	"3.512e+05"	AA	"3.0649066"	"4.04787964"	"3p6.5p"	"2P*"	"3/2"	"3p6.9s"	"2S"	"1/2"	4	2		
""	"1266.2938"	"1.20e+04"	B	"3.0625810"	"4.04169191"	"3p6.5p"	"2P*"	"1/2"	"3p6.7d"	"2D"	"3/2"	2	4		
""	"1269.3086"	"2.7e+03"	B	"3.0649066"	"4.04169191"	"3p6.5p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"3/2"	4	4		
""	"1269.3337"	"1.67e+04"	B	"3.0649066"	"4.04167262"	"3p6.5p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"5/2"	4	6		
"1338.152"	"1338.145"	"4.08e+05"	A+	"2.6699600"	"3.596498"	"3p6.3d"	"2D"	"5/2"	"3p6.6p"	"2P*"	"3/2"	6	4		
""	"1338.559"	"4.55e+04"	A	"2.6702462"	"3.596498"	"3p6.3d"	"2D"	"3/2"	"3p6.6p"	"2P*"	"3/2"	4	4		
"1340.075"	"1340.073"	"4.47e+05"	A+	"2.6702462"	"3.595451"	"3p6.3d"	"2D"	"3/2"	"3p6.6p"	"2P*"	"1/2"	4	2		
""	"1415.6296"	"2.970e+05"	A+	"3.0625810"	"3.9384048"	"3p6.5p"	"2P*"	"1/2"	"3p6.8s"	"2S"	"1/2"	2	2		
""	"1419.3985"	"5.87e+05"	A+	"3.0649066"	"3.9384048"	"3p6.5p"	"2P*"	"3/2"	"3p6.8s"	"2S"	"1/2"	4	2		
""	"1429.6367"	"6.9e+02"	D	"3.0625810"	"3.9298237"	"3p6.5p"	"2P*"	"1/2"	"3p6.6d"	"2D"	"3/2"	2	4		
""	"1433.4807"	"2.6e+02"	D+	"3.0649066"	"3.9298237"	"3p6.5p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"3/2"	4	4		
""	"1433.5352"	"1.6e+03"	D+	"3.0649066"	"3.9297908"	"3p6.5p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"5/2"	4	6		
""	"1481.1723"	"2.1e+04"	C+	"3.3968046"	"4.2338727"	"3p6.4d"	"2D"	"5/2"	"3p6.13p"	"2P*"	"3/2"	6	4		
""	"1481.4071"	"2.3e+03"	C	"3.3969373"	"4.2338727"	"3p6.4d"	"2D"	"3/2"	"3p6.13p"	"2P*"	"3/2"	4	4		
""	"1481.5075"	"2.3e+04"	C	"3.3969373"	"4.2338159"	"3p6.4d"	"2D"	"3/2"	"3p6.13p"	"2P*"	"1/2"	4	2		
"1516.722"	"1516.721"	"1.547e+07"	A	"2.6699600"	"3.487409"	"3p6.3d"	"2D"	"5/2"	"3p6.4f"	"2F*"	"7/2"	6	8		
"1516.722"	"1516.721"	"1.035e+06"	A	"2.6699600"	"3.487409"	"3p6.3d"	"2D"	"5/2"	"3p6.4f"	"2F*"	"5/2"	6	6		
"1517.255"	"1517.252"	"1.463e+07"	B+	"2.6702462"	"3.487409"	"3p6.3d"	"2D"	"3/2"	"3p6.4f"	"2F*"	"5/2"	4	6		
""	"1520.7419"	"2.7e+04"	C+	"3.3968046"	"4.2120922"	"3p6.4d"	"2D"	"5/2"	"3p6.12p"	"2P*"	"3/2"	6	4		
""	"1520.9894"	"3.0e+03"	C	"3.3969373"	"4.2120922"	"3p6.4d"	"2D"	"3/2"	"3p6.12p"	"2P*"	"3/2"	4	4		
""	"1521.1302"	"3.2e+04"	C+	"3.3969373"	"4.2120168"	"3p6.4d"	"2D"	"3/2"	"3p6.12p"	"2P*"	"1/2"	4	2		
