obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"184.377"	"184.37699"	"3.35e+07"	D+	"0.0095610"	"6.7340552"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5s"	"3P*"	"1"	3	3		
"184.551"	"184.55202"	"1.68e+08"	C+	"0.0000000"	"6.7181165"	"3s2.3p2"	"3P"	"0"	"3s2.3p.3d"	"3D*"	"1"	1	3		
"184.610"	"184.61116"	"5.68e+07"	E	"0.0095610"	"6.7255253"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5s"	"3P*"	"0"	3	1		
"184.747"	"184.74735"	"2.33e+08"	C+	"0.0095610"	"6.7205746"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3D*"	"2"	3	5		
"184.814"	"184.81505"	"1.23e+08"	C+	"0.0095610"	"6.7181165"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3D*"	"1"	3	3		
"184.874"	"184.87480"	"3.92e+07"	D+	"0.0276679"	"6.7340552"	"3s2.3p2"	"3P"	"2"	"3s2.3p.5s"	"3P*"	"1"	5	3		
"185.067"	"185.06720"	"3.05e+08"	C+	"0.0276679"	"6.7270828"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3D*"	"3"	5	7		
"185.246"	"185.24716"	"7.40e+07"	C+	"0.0276679"	"6.7205746"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3D*"	"2"	5	5		
"185.315"	"185.31522"	"7.92e+06"	C	"0.0276679"	"6.7181165"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3D*"	"1"	5	3		
"187.484"	"187.48424"	"1.07e+08"	D	"0.7809579"	"7.3940044"	"3s2.3p2"	"1D"	"2"	"3s2.3p.(2P*<3/2>).6s<1/2>"	"(3/2,1/2)*"	"1"	5	3		
"188.185"	"188.1854"	"5.00e+06"	D+	"0.0276679"	"6.616075"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"1F*"	"3"	5	7		
""	"189.06372"	"4.45e+00"	D	"0.7809579"	"7.3387576"	"3s2.3p2"	"1D"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"2"	5	5	E2	
""	"189.0659"	"2.28e-03"	E	"0.7809579"	"7.338682"	"3s2.3p2"	"1D"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"1"	5	3	E2	
""	"189.27542"	"9.32e+01"	D+	"0.7809579"	"7.3314227"	"3s2.3p2"	"1D"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[9/2]"	"4"	5	9	E2	
""	"189.35075"	"4.66e+00"	D	"0.7809579"	"7.3288166"	"3s2.3p2"	"1D"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"2"	5	5	E2	
""	"189.35410"	"1.09e+02"	D+	"0.7809579"	"7.3287009"	"3s2.3p2"	"1D"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"3"	5	7	E2	
""	"189.62329"	"3.03e+01"	D+	"0.7809579"	"7.3194057"	"3s2.3p2"	"1D"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[7/2]"	"3"	5	7	E2	
"190.133"	"190.1338"	"1.00e+08"	C	"0.7809579"	"7.301851"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4d"	"1F*"	"3"	5	7		
"190.466"	"190.46647"	"4.87e+06"	D	"0.7809579"	"7.2904604"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4d"	"1P*"	"1"	5	3		
""	"190.51237"	"3.40e+01"	D+	"0.7809579"	"7.2888922"	"3s2.3p2"	"1D"	"2"	"3s2.3p.(2P*<1/2>).4f"	"2[7/2]"	"4"	5	9	E2	
""	"197.75979"	"2.79e+07"	B	"0.0000000"	"6.2694342"	"3s2.3p2"	"3P"	"0"	"3s2.3p.3d"	"3P*"	"1"	1	3		
""	"197.9205"	"8.69e+07"	B	"0.0095610"	"6.273903"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3P*"	"0"	3	1		
""	"198.06184"	"2.07e+07"	B	"0.0095610"	"6.2694342"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3P*"	"1"	3	3		
""	"198.32328"	"2.18e+07"	B	"0.0095610"	"6.2611819"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3P*"	"2"	3	5		
""	"198.63640"	"3.65e+07"	B	"0.0276679"	"6.2694342"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3P*"	"1"	5	3		
""	"198.89937"	"6.58e+07"	B	"0.0276679"	"6.2611819"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3P*"	"2"	5	5		
""	"205.87916"	"7.08e+07"	C	"0.7809579"	"6.8031408"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5s"	"1P*"	"1"	5	3		
""	"207.34254"	"4.59e+05"	E	"0.7809579"	"6.7606376"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5s"	"3P*"	"2"	5	5		
""	"208.26839"	"6.45e+06"	D	"0.7809579"	"6.7340552"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5s"	"3P*"	"1"	5	3		
