API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Cassini (spacecraft) (-82)      {source: cassini_merge}
Center body name: Sun (10)                        {source: cassini_merge}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452432.166666667, A.D. 2002-Jun-06 16:00:00.0000,  8.905706409273950E+06,  1.102728878567926E+09, -9.661600700207949E+06, -6.371607344079371E+00,  5.908085930617502E+00,  2.177077519911430E-02,
2452432.177083333, A.D. 2002-Jun-06 16:15:00.0000,  8.899971962319944E+06,  1.102734195800918E+09, -9.661581106127203E+06, -6.371608109179742E+00,  5.907987384157055E+00,  2.177162632516172E-02,
2452432.187500000, A.D. 2002-Jun-06 16:30:00.0000,  8.894237514677590E+06,  1.102739512945218E+09, -9.661561511280537E+06, -6.371608873738199E+00,  5.907888838658421E+00,  2.177247743614386E-02,
2452432.197916667, A.D. 2002-Jun-06 16:45:00.0000,  8.888503066347377E+06,  1.102744830000828E+09, -9.661541915667832E+06, -6.371609637754760E+00,  5.907790294121577E+00,  2.177332853206115E-02,
2452432.208333333, A.D. 2002-Jun-06 17:00:00.0000,  8.882768617329795E+06,  1.102750146967748E+09, -9.661522319289148E+06, -6.371610401229444E+00,  5.907691750546499E+00,  2.177417961291495E-02,
2452432.218750000, A.D. 2002-Jun-06 17:15:00.0000,  8.877034167625327E+06,  1.102755463845979E+09, -9.661502722144544E+06, -6.371611164162268E+00,  5.907593207933166E+00,  2.177503067870701E-02,
2452432.229166667, A.D. 2002-Jun-06 17:30:00.0000,  8.871299717234464E+06,  1.102760780635522E+09, -9.661483124233902E+06, -6.371611926553252E+00,  5.907494666281557E+00,  2.177588172943512E-02,
2452432.239583333, A.D. 2002-Jun-06 17:45:00.0000,  8.865565266157694E+06,  1.102766097336379E+09, -9.661463525557399E+06, -6.371612688402411E+00,  5.907396125591649E+00,  2.177673276510150E-02,
2452432.250000000, A.D. 2002-Jun-06 18:00:00.0000,  8.859830814395502E+06,  1.102771413948549E+09, -9.661443926114976E+06, -6.371613449709767E+00,  5.907297585863420E+00,  2.177758378570616E-02,
2452432.260416667, A.D. 2002-Jun-06 18:15:00.0000,  8.854096361948378E+06,  1.102776730472034E+09, -9.661424325906694E+06, -6.371614210475336E+00,  5.907199047096847E+00,  2.177843479125086E-02,
2452432.270833333, A.D. 2002-Jun-06 18:30:00.0000,  8.848361908816811E+06,  1.102782046906834E+09, -9.661404724932432E+06, -6.371614970699137E+00,  5.907100509291909E+00,  2.177928578173427E-02,
2452432.281250000, A.D. 2002-Jun-06 18:45:00.0000,  8.842627455001283E+06,  1.102787363252951E+09, -9.661385123192191E+06, -6.371615730381188E+00,  5.907001972448583E+00,  2.178013675715817E-02,
2452432.291666667, A.D. 2002-Jun-06 19:00:00.0000,  8.836893000502285E+06,  1.102792679510385E+09, -9.661365520686209E+06, -6.371616489521507E+00,  5.906903436566848E+00,  2.178098771752257E-02,
2452432.302083333, A.D. 2002-Jun-06 19:15:00.0000,  8.831158545320306E+06,  1.102797995679137E+09, -9.661345917414367E+06, -6.371617248120113E+00,  5.906804901646682E+00,  2.178183866282835E-02,
2452432.312500000, A.D. 2002-Jun-06 19:30:00.0000,  8.825424089455832E+06,  1.102803311759208E+09, -9.661326313376606E+06, -6.371618006177024E+00,  5.906706367688061E+00,  2.178268959307550E-02,
2452432.322916667, A.D. 2002-Jun-06 19:45:00.0000,  8.819689632909350E+06,  1.102808627750599E+09, -9.661306708573103E+06, -6.371618763692258E+00,  5.906607834690967E+00,  2.178354050826492E-02,
2452432.333333333, A.D. 2002-Jun-06 20:00:00.0000,  8.813955175681349E+06,  1.102813943653311E+09, -9.661287103003740E+06, -6.371619520665832E+00,  5.906509302655373E+00,  2.178439140839705E-02,
2452432.343750000, A.D. 2002-Jun-06 20:15:00.0000,  8.808220717772314E+06,  1.102819259467344E+09, -9.661267496668577E+06, -6.371620277097767E+00,  5.906410771581259E+00,  2.178524229347323E-02,
2452432.354166667, A.D. 2002-Jun-06 20:30:00.0000,  8.802486259182734E+06,  1.102824575192700E+09, -9.661247889567554E+06, -6.371621032988079E+00,  5.906312241468605E+00,  2.178609316349256E-02,
2452432.364583333, A.D. 2002-Jun-06 20:45:00.0000,  8.796751799913097E+06,  1.102829890829379E+09, -9.661228281700850E+06, -6.371621788336788E+00,  5.906213712317387E+00,  2.178694401845682E-02,
2452432.375000000, A.D. 2002-Jun-06 21:00:00.0000,  8.791017339963891E+06,  1.102835206377382E+09, -9.661208673068404E+06, -6.371622543143911E+00,  5.906115184127581E+00,  2.178779485836513E-02,
2452432.385416667, A.D. 2002-Jun-06 21:15:00.0000,  8.785282879335601E+06,  1.102840521836711E+09, -9.661189063670099E+06, -6.371623297409466E+00,  5.906016656899167E+00,  2.178864568321970E-02,
2452432.395833333, A.D. 2002-Jun-06 21:30:00.0000,  8.779548418028716E+06,  1.102845837207365E+09, -9.661169453506172E+06, -6.371624051133472E+00,  5.905918130632124E+00,  2.178949649301964E-02,
2452432.406250000, A.D. 2002-Jun-06 21:45:00.0000,  8.773813956043724E+06,  1.102851152489346E+09, -9.661149842576385E+06, -6.371624804315948E+00,  5.905819605326428E+00,  2.179034728776674E-02,
2452432.416666667, A.D. 2002-Jun-06 22:00:00.0000,  8.768079493381109E+06,  1.102856467682655E+09, -9.661130230881035E+06, -6.371625556956910E+00,  5.905721080982057E+00,  2.179119806746099E-02,
2452432.427083333, A.D. 2002-Jun-06 22:15:00.0000,  8.762345030041363E+06,  1.102861782787292E+09, -9.661110618419886E+06, -6.371626309056378E+00,  5.905622557598991E+00,  2.179204883210240E-02,
2452432.437500000, A.D. 2002-Jun-06 22:30:00.0000,  8.756610566024970E+06,  1.102867097803259E+09, -9.661091005193114E+06, -6.371627060614370E+00,  5.905524035177205E+00,  2.179289958169184E-02,
2452432.447916667, A.D. 2002-Jun-06 22:45:00.0000,  8.750876101332420E+06,  1.102872412730556E+09, -9.661071391200721E+06, -6.371627811630904E+00,  5.905425513716679E+00,  2.179375031623021E-02,
2452432.458333333, A.D. 2002-Jun-06 23:00:00.0000,  8.745141635964198E+06,  1.102877727569184E+09, -9.661051776442587E+06, -6.371628562105998E+00,  5.905326993217391E+00,  2.179460103571795E-02,
2452432.468750000, A.D. 2002-Jun-06 23:15:00.0000,  8.739407169920791E+06,  1.102883042319144E+09, -9.661032160918772E+06, -6.371629312039671E+00,  5.905228473679317E+00,  2.179545174015551E-02,
2452432.479166667, A.D. 2002-Jun-06 23:30:00.0000,  8.733672703202689E+06,  1.102888356980437E+09, -9.661012544629395E+06, -6.371630061431940E+00,  5.905129955102437E+00,  2.179630242954289E-02,
2452432.489583333, A.D. 2002-Jun-06 23:45:00.0000,  8.727938235810377E+06,  1.102893671553063E+09, -9.660992927574396E+06, -6.371630810282825E+00,  5.905031437486727E+00,  2.179715310388097E-02,
