line_index,Z,symbol,split,transition,level,seat_index,n,subshell,occupancy_index,direction_x,direction_y,direction_z,phase_rad,r_m,v_m_s,k,z,koppa_felt_m,n_eff,q_effective,static_screening,swept_screening_mean,swept_screening_variance,force_residual,path_length_m,period_s,angular_rate_rad_s,action_closure_residual
6,7,N,HOLDOUT,2p³→2p²3s,lower,1,1,s,1,0.0,0.0,-1.0,0.0,7.673341141194363e-12,15086991.962295348,19.870923160112117,0.0025325843105602577,1.9433383383765387e-14,1.0,6.8963076339993545,0.10369236582532425,1.1172485792140436,22.25663015435508,5.75818895531132e-10,4.821302431532906e-11,3.1956684563643056e-18,1.9661568128778703e+18,6.098992422209903e-10
6,7,N,HOLDOUT,2p³→2p²3s,lower,2,2,s,0,0.0,0.0,1.0,0.0,3.976923730350772e-11,5821969.138489796,51.493309371572074,0.000377136348712525,1.4998424947726844e-14,2.0,5.322477842503915,1.6775221525869801,2.5136662928915507,4.496634840727473,-2.3756133804870407e-10,2.49877487503138e-10,4.291975473575863e-17,1.463937840712949e+17,6.098990201763854e-10
6,7,N,HOLDOUT,2p³→2p²3s,lower,3,2,s,1,0.0,0.0,-1.0,0.0,3.976923730350772e-11,5821969.138489796,51.493309371572074,0.000377136348712525,1.4998424947726844e-14,2.0,5.322477842503915,1.6775221525869801,2.246941867953403,4.998860118803349,-2.3756133804870407e-10,2.49877487503138e-10,4.291975473575863e-17,1.463937840712949e+17,6.098990201763854e-10
6,7,N,HOLDOUT,2p³→2p²3s,lower,4,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,4.698841362876264e-11,4927497.107511867,60.84071719554591,0.00027015396760954617,1.26941063734887e-14,2.0,4.50474634094971,2.4952536636328704,3.3717971056588194,1.5627507803819776,1.0471458649391802e-09,2.9523691011991843e-10,5.991620160869012e-17,1.0486621545562538e+17,6.098990201763854e-10
6,7,N,HOLDOUT,2p³→2p²3s,lower,5,2,p,1,-0.8660254037844385,0.5000000000000002,0.0,0.0,4.6988413628762646e-11,4927497.107511866,60.84071719554593,0.00027015396760954617,1.2694106373488702e-14,2.0,4.504746340949709,2.4952536636328704,2.6872251597725634,0.044717064796298354,1.0471456478076427e-09,2.952369101199185e-10,5.991620160869014e-17,1.0486621545562534e+17,6.098990201763854e-10
6,7,N,HOLDOUT,2p³→2p²3s,lower,6,2,p,2,-5.511259909704863e-16,-1.0,0.0,0.0,4.6988413628762646e-11,4927497.107511866,60.84071719554593,0.00027015396760954617,1.2694106373488702e-14,2.0,4.504746340949709,2.495253663632871,2.513213576778784,0.17559812020116639,1.047145720184822e-09,2.952369101199185e-10,5.991620160869014e-17,1.0486621545562534e+17,6.098990201763854e-10
6,7,N,HOLDOUT,2p³→2p²3s,upper,0,1,s,0,0.0,0.0,1.0,0.0,7.665508368496842e-12,15102408.158201627,19.850639372184656,0.0025377626474150697,1.9453240811018918e-14,1.0,6.903354421707693,0.09664557813892852,0.41316331270388895,0.14869503868495765,5.795674890688856e-10,4.816380955300152e-11,3.1891476543656595e-18,1.9701769839908367e+18,6.098990201763854e-10
6,7,N,HOLDOUT,2p³→2p²3s,upper,1,1,s,1,0.0,0.0,-1.0,0.0,7.671224593424189e-12,15091154.575292468,19.865442137265365,0.002533982020948785,1.943874519839705e-14,1.0,6.898210376432118,0.10178962341935584,0.4237386288500925,0.16395790545686362,5.798122894694434e-10,4.819972565347756e-11,3.1939057686408624e-18,1.967241917050464e+18,6.098992422209903e-10
6,7,N,HOLDOUT,2p³→2p²3s,upper,2,2,s,0,0.0,0.0,1.0,0.0,3.777524916560742e-11,6129285.110132405,48.91148847104681,0.0004180018858316018,1.5790125388982545e-14,2.0,5.603427880335898,1.3965721165869698,1.1981963050239735,8.914349731759598,4.8627673014143585e-11,2.373488905323925e-10,3.8723747756492485e-17,1.6225664278907866e+17,6.098992422209903e-10
6,7,N,HOLDOUT,2p³→2p²3s,upper,3,2,s,1,0.0,0.0,-1.0,0.0,3.856696588515241e-11,6003460.913461072,49.93660528842617,0.00040101624771843336,1.5465979945148646e-14,2.0,5.488398672364566,1.5116013243680084,2.8494743647521235,20.89075017871986,1.1420721819425029e-11,2.4232339339208597e-10,4.036394954262864e-17,1.5566329307155315e+17,6.098992422209903e-10
6,7,N,HOLDOUT,2p³→2p²3s,upper,4,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,4.533138646398188e-11,5107615.061062952,58.69519421802509,0.00029026516040400323,1.3158122163303561e-14,2.0,4.669411215326127,2.330588789703921,3.131602421969865,1.466280295740483,1.1254166633225577e-09,2.8482550138457053e-10,5.576487225043446e-17,1.126728180952774e+17,6.098990201763854e-10
