line_index,Z,symbol,transition,level,seat_i,seat_j,static_distance_m,static_radial_projection_m,lane_cosine,swept_mean_inverse_distance_m-1,swept_min_distance_m,swept_max_distance_m,swept_distance_variance_m2
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,21,1.943197172910427e-11,-1.0458958879210919e-11,0.7459067426872383,40996332807.34729,1.6814506059499607e-11,3.229784389629978e-11,2.33273462675851e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,22,2.645366394313321e-11,9.980314605263691e-12,-0.08534713286766836,40178343619.86081,1.737336713021963e-11,3.244288874083576e-11,1.5065501527311583e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,23,1.88985907845652e-11,-1.1755941807988296e-11,0.7986541716418109,41130638294.04711,1.6928770572400735e-11,3.2366124707468616e-11,2.4602699972681553e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,24,2.254525715267972e-11,-2.1546374393551835e-12,0.408248290463863,40408890513.96224,1.7033633602638346e-11,3.242241684047113e-11,1.7407407106648548e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,25,2.9639146123740654e-11,2.1315503392200733e-11,-0.5463428522861039,40594560031.81059,1.7355262968067424e-11,3.246832865863857e-11,1.937807212455489e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,26,3.091649856171306e-11,2.6222474690095958e-11,-0.7459067426872383,40996364101.562996,1.6814506059499584e-11,3.229784389629973e-11,2.3327399502320098e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,27,2.517210902131339e-11,5.7832012056213455e-12,0.08534713286766836,40178555916.24885,1.6801914876392724e-11,3.224078527050162e-11,1.5065855290586226e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,28,6.788544662714179e-11,7.881757905442519e-12,0.0,14805811577.327225,6.016367772224117e-11,7.481443450609881e-11,1.5454307725706787e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,7,29,6.788544662714179e-11,7.881757905442519e-12,0.0,14805811580.538872,5.98463352855699e-11,7.506852789565142e-11,1.5454307851786797e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,9,1.3651639057585628e-11,1.1822656437489822e-11,-0.4999999999999997,154528503356.1938,2.95548803641578e-12,1.3601828006331205e-11,1.5714643876851438e-23
