hostname,pl_name,sy_pnum,pl_orbper,pl_ratdor,pl_orbeccen
"WASP-84","WASP-84 b",2,8.52349648000,21.780000,0.000000
"K2-18","K2-18 b",2,32.93962300000,83.830000,0.200000
"WASP-47","WASP-47 d",4,9.03050100000,16.268000,0.001000
"WASP-47","WASP-47 e",4,0.78961000000,3.205000,0.000000
"GJ 1132","GJ 1132 b",2,1.62892911000,15.260000,0.011800
"TRAPPIST-1","TRAPPIST-1 b",7,1.51082600000,20.843000,0.006220
"TRAPPIST-1","TRAPPIST-1 c",7,2.42193700000,28.549000,0.006540
"TRAPPIST-1","TRAPPIST-1 d",7,4.04921900000,40.216000,0.008370
"HIP 41378","HIP 41378 b",6,15.57189300000,21.540000,0.021300
"HIP 41378","HIP 41378 c",6,31.70838000000,34.600000,0.067800
"HIP 41378","HIP 41378 d",6,278.36180000000,147.030000,0.000000
"HIP 41378","HIP 41378 e",6,369.00000000000,283.000000,
"HIP 41378","HIP 41378 f",6,542.07970000000,230.120000,
"HD 3167","HD 3167 b",4,0.95964100000,4.450000,0.000000
"HD 3167","HD 3167 c",4,29.84540000000,44.010000,0.060000
"TRAPPIST-1","TRAPPIST-1 e",7,6.10101300000,52.855000,0.005100
"TRAPPIST-1","TRAPPIST-1 f",7,9.20754000000,69.543000,0.010070
"TRAPPIST-1","TRAPPIST-1 g",7,12.35244600000,84.591000,0.002080
"TRAPPIST-1","TRAPPIST-1 h",7,18.77286600000,111.817000,0.005670
"HD 106315","HD 106315 b",2,9.55237000000,15.070000,0.093000
"HD 106315","HD 106315 c",2,21.05704000000,25.500000,0.220000
"LHS 1140","LHS 1140 b",2,24.73723000000,95.340000,0.043000
"WASP-107","WASP-107 b",2,5.72148760000,16.500000,0.090000
"GJ 9827","GJ 9827 b",3,1.20897400000,6.719000,0.000000
"GJ 9827","GJ 9827 c",3,3.64810300000,14.040000,0.000000
"GJ 9827","GJ 9827 d",3,6.20183000000,19.739000,0.000000
"K2-141","K2-141 b",2,0.28032440000,2.292000,0.000000
"K2-141","K2-141 c",2,7.74850000000,21.590000,0.092000
"LHS 1140","LHS 1140 c",2,3.77794000000,26.570000,0.050000
"HD 15337","HD 15337 b",2,4.75598040000,13.110000,0.058000
"HD 15337","HD 15337 c",2,17.18054600000,31.870000,0.096000
"L 98-59","L 98-59 b",5,2.25311400000,15.287995,0.031000
"L 98-59","L 98-59 c",5,3.69067640000,21.243799,0.002000
"L 98-59","L 98-59 d",5,7.45072900000,33.933422,0.006000
"V1298 Tau","V1298 Tau b",4,24.14000600000,26.060000,0.007900
"TOI-270","TOI-270 b",3,3.35992000000,17.108000,0.016700
"TOI-270","TOI-270 c",3,5.66051000000,25.569000,0.004400
"TOI-270","TOI-270 d",3,11.38194000000,41.744000,0.006600
"GJ 357","GJ 357 b",3,3.93060000000,22.890000,
"LTT 1445 A","LTT 1445 A b",2,5.35876350000,30.900000,0.180000
"V1298 Tau","V1298 Tau c",4,8.24916400000,13.189000,0.009400
"V1298 Tau","V1298 Tau d",4,12.40139400000,17.310000,0.008700
"V1298 Tau","V1298 Tau e",4,48.67771400000,51.000000,0.012400
"LP 791-18","LP 791-18 b",3,0.94799810000,11.000000,0.000000
"LP 791-18","LP 791-18 c",3,4.98991000000,37.050000,0.000100
"TOI-125","TOI-125 b",3,4.65382000000,13.160000,0.194000
"TOI-125","TOI-125 c",3,9.15059000000,20.660000,0.066000
"TOI-125","TOI-125 d",3,19.98000000000,34.770000,0.168000
"TOI-1130","TOI-1130 b",2,4.07455400000,13.770000,0.052162
"TOI-1130","TOI-1130 c",2,8.35018980000,22.220000,0.039800
"LTT 3780","LTT 3780 b",2,0.76837931000,6.790000,0.000000
"LTT 3780","LTT 3780 c",2,12.25228400000,43.000000,0.024000
"AU Mic","AU Mic b",4,8.46344600000,17.510000,0.070000
"WASP-148","WASP-148 b",2,8.80380900000,19.330000,0.208000
"TOI-700","TOI-700 b",4,9.97721900000,34.300000,0.075000
"TOI-700","TOI-700 c",4,16.05113700000,47.100000,0.068000
"TOI-700","TOI-700 d",4,37.42396000000,82.900000,0.042000
"HIP 67522","HIP 67522 b",2,6.95947310000,11.660000,0.064000
"HD 86226","HD 86226 c",2,3.98442000000,10.110000,0.075000
"TOI-421","TOI-421 c",2,16.06754100000,29.910000,0.190000
"GJ 3473","GJ 3473 b",2,1.19800350000,9.390000,0.000000
"TOI-776","TOI-776 b",2,8.24662000000,27.870000,0.052000
"TOI-776","TOI-776 c",2,15.66532300000,42.750000,0.089000
"TOI-561","TOI-561 b",4,0.44656970000,2.683000,0.000000
"TOI-561","TOI-561 c",4,10.77883800000,22.400000,0.023000
"TOI-561","TOI-561 d",4,25.71268000000,40.000000,0.111000
"TOI-561","TOI-561 e",4,77.14400000000,83.210000,0.074000
"TOI-451","TOI-451 b",3,1.85870330000,6.950000,0.000000
"TOI-451","TOI-451 c",3,9.19246300000,20.180000,0.000000
"TOI-451","TOI-451 d",3,16.36496200000,29.600000,0.000000
"TOI-178","TOI-178 b",6,1.91456010000,8.610000,
"TOI-178","TOI-178 c",6,3.23848600000,12.230000,0.000320
"TOI-178","TOI-178 d",6,6.55756900000,19.570000,0.006800
"TOI-178","TOI-178 e",6,9.96318000000,25.870000,0.000380
"TOI-178","TOI-178 f",6,15.23335000000,34.330000,0.000450
"TOI-178","TOI-178 g",6,20.71663000000,42.130000,0.000430
"TOI-2076","TOI-2076 b",4,10.35504000000,22.500000,0.011400
"TOI-2076","TOI-2076 c",4,21.01447000000,24.900000,0.036000
"TOI-2076","TOI-2076 d",4,35.12803000000,32.100000,0.027000
"AU Mic","AU Mic c",4,18.85902300000,29.870000,0.180000
"TOI-431","TOI-431 b",3,0.49004700000,3.420000,0.000000
"TOI-431","TOI-431 d",3,12.46103000000,28.650000,0.000000
"HD 63935","HD 63935 b",2,9.05880700000,18.640000,0.000000
"HD 63935","HD 63935 c",2,21.40270000000,33.060000,0.000000
"GJ 367","GJ 367 b",3,0.32192250000,3.410000,0.060000
"LTT 1445 A","LTT 1445 A c",2,3.12390350000,21.560000,0.223000
"TOI-500","TOI-500 b",4,0.54817700000,3.769000,0.063000
"GJ 3929","GJ 3929 b",2,2.61623500000,16.800000,0.000000
"TOI-1670","TOI-1670 b",2,10.98462000000,16.880000,0.590000
"TOI-1670","TOI-1670 c",2,40.74976000000,40.680000,0.090000
"HD 260655","HD 260655 b",2,2.76953000000,14.430000,0.039000
"HD 260655","HD 260655 c",2,5.70588000000,23.370000,0.038000
"GJ 3090","GJ 3090 b",2,2.85310198000,13.180000,0.250000
"TOI-771","TOI-771 b",2,2.32601550000,18.900000,0.055000
"TOI-1136","TOI-1136 d",6,12.51990000000,23.500000,0.042000
"TOI-1136","TOI-1136 c",6,6.25740000000,14.800000,0.110000
"TOI-1136","TOI-1136 f",6,26.32100000000,38.560000,0.001000
"TOI-1136","TOI-1136 e",6,18.80100000000,30.810000,0.042500
"TOI-1468","TOI-1468 c",2,15.53247700000,49.800000,0.111000
"TOI-1468","TOI-1468 b",2,1.88052010000,12.200000,0.009900
"HIP 9618","HIP 9618 b",2,20.77285800000,32.900000,0.000000
"HIP 9618","HIP 9618 c",2,52.56363000000,61.000000,0.000000
"TOI-2134","TOI-2134 b",2,9.22920050000,23.660000,0.060000
"TOI-2134","TOI-2134 c",2,95.50000000000,112.000000,0.670000
"LP 890-9","LP 890-9 b",2,2.72990250000,26.320000,
"TOI-4336 A","TOI-4336 A b",2,16.33635100000,57.160000,0.000000
"Kepler-167","Kepler-167 e",4,1071.23205000000,179.900000,0.290000
"Kepler-167","Kepler-167 c",4,7.40610600000,14.000000,0.000000
"KOI-94","KOI-94 d",4,22.34298900000,23.800000,0.022000
"LP 890-9","LP 890-9 c",2,8.45746300000,55.940000,
"TOI-1136","TOI-1136 b",6,4.17270000000,11.290000,0.027000
"TOI-1136","TOI-1136 g",6,39.54500000000,50.600000,0.040000
"WASP-84","WASP-84 c",2,1.44688490000,6.610000,
"TOI-6109","TOI-6109 c",2,8.53887800000,16.564900,
"TOI-6109","TOI-6109 b",2,5.69047600000,12.631800,
"GJ 806","GJ 806 b",2,0.92632370000,7.300000,
"HD 110067","HD 110067 b",6,9.11367800000,21.660000,
"HD 110067","HD 110067 c",6,13.67369400000,28.370000,
"HD 110067","HD 110067 d",6,20.51961700000,37.210000,
"HD 110067","HD 110067 e",6,30.79309100000,48.770000,
"HD 110067","HD 110067 f",6,41.05854000000,59.080000,
"HD 110067","HD 110067 g",6,54.76992000000,71.590000,
"HIP 67522","HIP 67522 c",2,14.33489200000,19.140000,0.077000
"TOI-2076","TOI-2076 e",4,3.02237530000,10.400000,0.000000
"KOI-94","KOI-94 b",4,3.74320800000,7.250000,0.250000
"Kepler-167","Kepler-167 d",4,21.80379000000,28.760000,0.000000
"Kepler-51","Kepler-51 d",4,130.19400000000,124.700000,0.008000
"Kepler-51","Kepler-51 c",4,85.31200000000,94.100000,0.014000
"Kepler-51","Kepler-51 b",4,45.15400000000,61.500000,0.040000
"Kepler-167","Kepler-167 b",4,4.39315390000,9.884000,0.000000
"KOI-94","KOI-94 c",4,10.42364800000,14.300000,0.430000
"KOI-94","KOI-94 e",4,54.32031000000,43.100000,0.019000
"Kepler-247","Kepler-247 b",3,3.33616000000,12.255000,0.000000
"Kepler-182","Kepler-182 c",2,20.68434200000,24.100000,0.000000
"Kepler-110","Kepler-110 c",2,31.71977500000,20.200000,0.000000
"Kepler-549","Kepler-549 b",3,42.94956490000,62.260000,0.000000
"Kepler-347","Kepler-347 d",3,85.51734400000,27.000000,0.000000
"Kepler-280","Kepler-280 c",2,4.80709100000,13.500000,0.000000
"Kepler-399","Kepler-399 d",3,58.03461600000,81.400000,0.000000
"K2-58","K2-58 d",3,22.88270000000,48.667611,
"Kepler-192","Kepler-192 b",3,9.92674600000,19.830000,0.000000
"Kepler-115","Kepler-115 b",2,2.40367900000,4.890000,0.000000
"Kepler-283","Kepler-283 b",2,11.00815100000,43.185000,0.000000
"Kepler-341","Kepler-341 d",4,27.66631300000,19.500000,0.000000
"Kepler-1489","Kepler-1489 b",2,82.29475100000,91.000000,0.000000
"Kepler-879","Kepler-879 b",2,33.38559380000,39.800000,0.000000
"Kepler-1641","Kepler-1641 b",2,19.67226600000,20.400000,0.000000
"Kepler-184","Kepler-184 c",3,20.30300500000,17.900000,0.000000
"Kepler-969","Kepler-969 c",2,1.68293460400,5.160000,0.000000
"Kepler-732","Kepler-732 c",2,0.89304123600,6.357000,0.000000
"Kepler-392","Kepler-392 c",2,10.42311800000,20.410000,0.000000
"TOI-7510","TOI-7510 c",3,22.56874230000,33.300000,0.009100
"Kepler-354","Kepler-354 d",3,24.20984200000,39.000000,0.000000
"Kepler-154","Kepler-154 c",5,62.30327600000,47.100000,0.000000
"TOI-969","TOI-969 b",2,1.82373050000,8.470000,
