scale,class,type,id,xi,B,sigmaB
D,EC_alt,T,Zn64,4.27273,7.85403,9.08042e-06
D,triton_bearing,T,Zn66,3.46154,7.87536,1.01593e-05
D,triton_bearing,T,Zn67,2.86667,7.85246,1.01593e-05
D,triton_bearing,T,Zn68,2.41176,7.87181,1.03391e-05
D,triton_bearing,T,Zn70,1.7619,7.84855,2.4634e-05
D,triton_bearing,T,Ga69,3,7.84385,1.56435e-05
D,triton_bearing,T,Ga71,2.15789,7.83758,1.02492e-05
D,triton_bearing,T,Ge70,3.76923,7.84126,1.05189e-05
D,triton_bearing,T,Ge72,2.64706,7.85029,9.88957e-07
D,triton_bearing,T,Ge73,2.26316,7.82629,7.19241e-07
D,triton_bearing,T,Ge74,1.95238,7.84441,2.69716e-07
D,triton_bearing,T,Ge76,1.48,7.82646,2.69716e-07
D,triton_bearing,T,As75,2.36842,7.82254,1.06088e-05
D,EC_alt,T,Se74,3.4,7.81071,2.69716e-07
D,triton_bearing,T,Se76,2.88235,7.83207,2.69716e-07
D,triton_bearing,T,Se77,2.47368,7.81698,7.19241e-07
D,triton_bearing,T,Se78,2.14286,7.83776,2.06782e-06
D,triton_bearing,T,Se79,1.86957,7.81779,2.51734e-06
D,triton_bearing,T,Se80,1.64,7.83147,1.06088e-05
D,triton_bearing,T,Se82,1.27586,7.81563,5.1246e-06
D,triton_bearing,T,Br79,2.57895,7.8106,1.1418e-05
D,triton_bearing,T,Br81,1.95652,7.81811,1.08785e-05
D,EC_alt,T,Kr78,3.66667,7.7869,3.5063e-06
D,triton_bearing,T,Kr80,3.11765,7.81539,7.82175e-06
D,EC_alt,T,Kr81,2.33333,7.80631,1.19574e-05
D,triton_bearing,T,Kr82,2.33333,7.83135,2.69716e-07
D,triton_bearing,T,Kr83,2.04348,7.81791,2.69716e-07
D,triton_bearing,T,Kr84,1.8,7.83744,2.69716e-07
D,triton_bearing,T,Kr85,1.59259,7.82046,2.11277e-05
D,triton_bearing,T,Kr86,1.41379,7.83257,2.69716e-07
D,triton_bearing,T,Rb85,2.13043,7.81945,2.69716e-07
D,triton_bearing,T,Rb87,1.66667,7.83163,2.69716e-07
D,EC_alt,T,Sr84,2.89474,7.80153,1.3306e-05
D,triton_bearing,T,Sr86,2.52381,7.82935,2.69716e-07
D,triton_bearing,T,Sr87,2.21739,7.82646,2.69716e-07
D,triton_bearing,T,Sr88,1.96,7.85106,2.69716e-07
D,triton_bearing,T,Sr90,1.55172,7.81816,1.44747e-05
D,triton_bearing,T,Y89,2.30435,7.83435,3.4164e-06
D,triton_bearing,T,Zr90,2.71429,7.83071,1.16877e-06
D,triton_bearing,T,Zr91,2.3913,7.81574,9.88957e-07
D,triton_bearing,T,Zr92,2.12,7.81517,9.88957e-07
D,triton_bearing,T,Zr93,1.88889,7.79624,4.40535e-06
D,triton_bearing,T,Zr94,1.68966,7.7919,1.61829e-06
D,triton_bearing,T,Zr96,1.36364,7.76361,1.07886e-06
D,EC_alt,T,Nb91,2.80952,7.79559,2.89495e-05
D,EC_alt,T,Nb92,2.47826,7.78792,1.74416e-05
D,triton_bearing,T,Nb93,2.47826,7.78955,1.43848e-05
D,triton_bearing,T,Nb94,2.2,7.77581,1.42949e-05
D,EC_alt,T,Mo92,3.31579,7.78375,1.52839e-06
D,EC_alt,T,Mo93,2.90476,7.77807,1.7981e-06
D,triton_bearing,T,Mo94,2.90476,7.78789,1.34858e-06
D,triton_bearing,T,Mo95,2.56522,7.77565,1.16877e-06
D,triton_bearing,T,Mo96,2.28,7.78038,1.16877e-06
D,triton_bearing,T,Mo97,2.03704,7.7634,1.52839e-06
D,triton_bearing,T,Mo98,1.82759,7.76346,1.61829e-06
D,triton_bearing,T,Mo100,1.48485,7.73604,2.69716e-06
D,EC_alt,T,Tc97,2.36,7.75318,3.82097e-05
D,EC_alt,T,Tc98,2.11111,7.74084,3.10173e-05
D,triton_bearing,T,Tc99,2.11111,7.74408,8.27128e-06
D,EC_alt,T,Ru96,3.52632,7.74031,1.61829e-06
D,triton_bearing,T,Ru98,3.09524,7.75011,5.92475e-05
D,triton_bearing,T,Ru99,2.73913,7.73968,3.14668e-06
D,triton_bearing,T,Ru100,2.44,7.74925,3.05678e-06
D,triton_bearing,T,Ru101,2.18519,7.73307,3.68611e-06
D,triton_bearing,T,Ru102,1.96552,7.73852,3.68611e-06
D,triton_bearing,T,Ru104,1.60606,7.72052,2.15772e-05
D,triton_bearing,T,Ru106,1.32432,7.69673,4.57617e-05
D,EC_alt,T,Rh101,2.52,7.72125,5.19652e-05
D,triton_bearing,T,Rh103,2.25926,7.71763,2.00489e-05
D,EC_alt,T,Pd102,2.91304,7.71412,3.68611e-06
D,triton_bearing,T,Pd104,2.6,7.71822,1.15978e-05
D,triton_bearing,T,Pd105,2.33333,7.70546,9.70976e-06
D,triton_bearing,T,Pd106,2.10345,7.71386,9.35014e-06
D,triton_bearing,T,Pd107,1.90323,7.69669,1.00694e-05
D,triton_bearing,T,Pd108,1.72727,7.7022,9.26023e-06
D,triton_bearing,T,Pd110,1.43243,7.68434,5.03469e-06
D,triton_bearing,T,Ag107,2.40741,7.6904,2.00489e-05
D,triton_bearing,T,Ag109,1.96774,7.68502,1.06088e-05
D,EC_alt,T,Cd106,3.08696,7.67705,9.35014e-06
D,EC_alt,T,Cd108,2.48148,7.68691,9.35014e-06
D,EC_alt,T,Cd109,2.24138,7.67679,1.26766e-05
D,triton_bearing,T,Cd110,2.24138,7.68804,3.14668e-06
D,triton_bearing,T,Cd111,2.03226,7.67528,2.87697e-06
D,triton_bearing,T,Cd112,1.84848,7.68216,1.97791e-06
D,triton_bearing,T,Cd113,1.68571,7.6662,1.97791e-06
D,triton_bearing,T,Cd114,1.54054,7.67027,2.15772e-06
D,triton_bearing,T,Cd116,1.29268,7.65304,1.25867e-06
D,triton_bearing,T,In113,2.09677,7.66256,1.52839e-06
D,triton_bearing,T,In115,1.74286,7.65682,2.69716e-07
D,EC_alt,T,Sn112,2.62963,7.65418,2.33753e-06
D,triton_bearing,T,Sn114,2.37931,7.66223,3.59621e-07
D,triton_bearing,T,Sn115,2.16129,7.65459,2.69716e-07
D,triton_bearing,T,Sn116,1.9697,7.66272,8.09147e-07
D,triton_bearing,T,Sn117,1.8,7.65058,3.68611e-06
D,triton_bearing,T,Sn118,1.64865,7.65681,3.77602e-06
D,triton_bearing,T,Sn119,1.51282,7.64145,5.48422e-06
D,triton_bearing,T,Sn120,1.39024,7.64597,6.9227e-06
D,triton_bearing,T,Sn122,1.17778,7.63106,1.80709e-05
D,triton_bearing,T,Sn124,1,7.61263,9.52995e-06
D,triton_bearing,T,Sn126,0.849057,7.59116,7.62396e-05
D,triton_bearing,T,Sb121,1.5641,7.62581,1.86104e-05
D,triton_bearing,T,Sb123,1.32558,7.61705,9.88957e-06
D,triton_bearing,T,Sb125,1.12766,7.60432,1.80709e-05
D,EC_alt,T,Te120,1.91429,7.62125,1.31262e-05
D,triton_bearing,T,Te122,1.75676,7.62228,9.97947e-06
D,EC_alt,T,Te123,1.4878,7.61096,9.88957e-06
D,triton_bearing,T,Te124,1.4878,7.61791,9.79966e-06
D,triton_bearing,T,Te125,1.37209,7.60421,9.70976e-06
D,triton_bearing,T,Te126,1.26667,7.60889,9.61985e-06
D,triton_bearing,T,Te128,1.08163,7.59587,4.94478e-06
D,triton_bearing,T,Te130,0.924528,7.5793,2.69716e-07
D,triton_bearing,T,I127,1.4186,7.59293,2.5623e-05
D,triton_bearing,T,I129,1.21277,7.58439,2.19369e-05
D,EC_alt,T,Xe124,2.02857,7.58585,9.88957e-06
D,EC_alt,T,Xe126,1.71795,7.59118,2.69716e-07
D,triton_bearing,T,Xe128,1.58537,7.59096,2.69716e-07
D,triton_bearing,T,Xe129,1.46512,7.58026,2.69716e-07
D,triton_bearing,T,Xe130,1.35556,7.58596,2.69716e-07
D,triton_bearing,T,Xe131,1.25532,7.57338,2.69716e-07
D,triton_bearing,T,Xe132,1.16327,7.57687,2.69716e-07
D,triton_bearing,T,Xe134,1,7.56435,2.69716e-07
D,triton_bearing,T,Xe136,0.859649,7.54861,2.69716e-07
D,triton_bearing,T,Cs133,1.29787,7.56101,2.69716e-07
D,EC_alt,T,Cs134,1.11765,7.55082,2.69716e-07
D,triton_bearing,T,Cs135,1.11765,7.55324,2.42744e-06
D,triton_bearing,T,Cs137,0.963636,7.54211,1.97791e-06
D,EC_alt,T,Ba130,1.82051,7.55699,1.97791e-06
D,EC_alt,T,Ba132,1.55814,7.56046,7.19241e-06
D,EC_alt,T,Ba133,1.44444,7.55222,6.74289e-06
D,triton_bearing,T,Ba134,1.44444,7.55938,1.7082e-06
D,triton_bearing,T,Ba135,1.34043,7.54982,1.61829e-06
D,triton_bearing,T,Ba136,1.2449,7.55451,1.61829e-06
D,triton_bearing,T,Ba137,1.15686,7.54469,1.61829e-06
D,triton_bearing,T,Ba138,1.07547,7.54612,1.61829e-06
D,EC_alt,T,La137,1.28571,7.53574,1.07886e-05
D,EC_alt,T,La138,1.19608,7.52963,2.69716e-06
D,triton_bearing,T,La139,1.19608,7.53225,3.95583e-06
D,EC_alt,T,Ce136,1.65116,7.52845,2.15772e-06
D,EC_alt,T,Ce138,1.42553,7.53139,3.23659e-06
D,triton_bearing,T,Ce140,1.32653,7.53073,8.45109e-06
D,triton_bearing,T,Ce142,1.15094,7.50445,1.54637e-05
D,triton_bearing,T,Pr141,1.46809,7.51067,9.52995e-06
D,triton_bearing,T,Nd142,1.62222,7.50351,7.91166e-06
D,triton_bearing,T,Nd143,1.51064,7.48954,7.91166e-06
D,triton_bearing,T,Nd144,1.40816,7.48634,7.82175e-06
D,triton_bearing,T,Nd145,1.31373,7.47039,7.91166e-06
D,triton_bearing,T,Nd146,1.22642,7.46581,7.82175e-06
