scale,class,type,id,xi,B,sigmaB
C,dwarf,F,F583-1@3.860000,0.0230053,11.6997,3.8802
C,dwarf,F,F583-1@4.090000,0.0232377,11.9093,1.72876
C,dwarf,F,F583-1@4.370000,0.0236379,11.3138,1.14934
C,dwarf,F,F583-1@4.760000,0.0241985,11.3389,2.3495
C,dwarf,F,F583-1@5.400000,0.0255737,10.8395,0.896957
C,dwarf,F,F583-1@5.860000,0.02656,9.88935,4.24025
C,dwarf,F,F583-1@6.080000,0.0268408,9.72098,1.58926
C,dwarf,F,F583-1@6.430000,0.0275626,8.70891,1.39776
C,dwarf,F,F583-1@6.970000,0.029274,8.5785,2.6926
C,dwarf,F,F583-1@7.960000,0.0319089,7.47521,2.51346
C,dwarf,F,F583-1@10.290000,0.0356647,5.75613,0.815508
C,dwarf,F,F583-1@15.490000,0.0324242,4.42728,0.570605
C,dwarf,F,F583-1@16.260000,0.0309708,4.30446,0.862898
C,dwarf,F,IC2574@0.850000,0.0159296,2.3071,0.0895963
C,dwarf,F,IC2574@1.140000,0.0185661,2.31511,0.969115
C,dwarf,F,IC2574@1.420000,0.0200142,2.78663,0.611699
C,dwarf,F,IC2574@1.710000,0.0221133,2.69397,0.608316
C,dwarf,F,IC2574@1.990000,0.024691,2.3494,0.474626
C,dwarf,F,IC2574@2.280000,0.024765,3.55243,0.16333
C,dwarf,F,IC2574@2.550000,0.0256397,3.45561,0.673657
C,dwarf,F,IC2574@2.840000,0.0253874,3.60241,0.630725
C,dwarf,F,IC2574@3.130000,0.0249496,4.10618,0.846121
C,dwarf,F,IC2574@3.410000,0.0242563,4.31119,0.297323
C,dwarf,F,IC2574@3.700000,0.0220968,4.41186,0.226896
C,dwarf,F,IC2574@3.980000,0.0200907,5.60105,2.92978
C,dwarf,F,IC2574@4.260000,0.0200408,4.44509,1.33724
C,dwarf,F,IC2574@4.550000,0.0231874,4.46554,0.915436
C,dwarf,F,IC2574@4.840000,0.0263425,3.4589,0.250256
C,dwarf,F,IC2574@5.120000,0.0276963,3.62809,0.0867964
C,dwarf,F,IC2574@5.410000,0.0274136,3.65399,0.0681398
C,dwarf,F,IC2574@5.680000,0.0282344,3.61956,0.277174
C,dwarf,F,IC2574@5.970000,0.0285483,3.67168,0.20708
C,dwarf,F,IC2574@6.260000,0.0296555,3.80829,0.139896
C,dwarf,F,IC2574@6.540000,0.0307049,3.94972,0.0913231
C,dwarf,F,IC2574@6.830000,0.0299889,4.05346,0.320613
C,dwarf,F,IC2574@7.100000,0.0297206,4.06902,0.0753521
C,dwarf,F,IC2574@7.390000,0.0292247,4.26037,0.167671
C,dwarf,F,IC2574@7.680000,0.0297441,4.45667,0.545715
C,dwarf,F,IC2574@7.960000,0.029879,4.06487,0.65265
C,dwarf,F,IC2574@8.250000,0.0297207,3.50181,1.16727
C,dwarf,F,IC2574@8.520000,0.02852,4.93252,1.85549
C,dwarf,F,IC2574@8.810000,0.027861,4.39093,0.899958
C,dwarf,F,IC2574@9.100000,0.0274643,4.38397,0.819299
C,dwarf,F,IC2574@9.380000,0.0277426,4.92896,0.194171
C,dwarf,F,IC2574@9.670000,0.0289517,4.47108,0.466309
C,dwarf,F,IC2574@9.960000,0.0287995,4.62187,0.647475
C,dwarf,F,IC2574@10.230000,0.029517,4.443,1.22429
C,bulge,T,IC4202@0.770000,4.8754,0.0966341,0.0218046
C,bulge,T,IC4202@1.590000,4.20203,0.267446,0.0271222
C,bulge,T,IC4202@2.360000,2.94736,0.559845,0.0652342
C,bulge,T,IC4202@3.130000,2.22261,1.03005,0.0417303
C,bulge,T,IC4202@3.950000,1.88232,1.45992,0.0477516
C,bulge,T,IC4202@4.730000,1.67924,1.54278,0.0438633
C,bulge,T,IC4202@5.500000,1.44327,1.62032,0.0520984
C,bulge,T,IC4202@6.270000,1.24664,1.82329,0.0538698
C,bulge,T,IC4202@7.080000,1.13215,1.96022,0.059231
C,bulge,T,IC4202@7.860000,1.08149,1.91297,0.0757049
C,bulge,T,IC4202@8.660000,1.04062,1.96127,0.0960624
C,bulge,T,IC4202@9.450000,0.994136,1.89675,0.0858934
C,bulge,T,IC4202@10.240000,0.939329,1.74862,0.101698
C,bulge,T,IC4202@11.020000,0.879707,1.74952,0.104388
C,bulge,T,IC4202@11.790000,0.821786,1.75052,0.0707502
C,bulge,T,IC4202@12.470000,0.770123,1.8555,0.115856
C,bulge,T,IC4202@13.340000,0.708509,1.80946,0.0932512
C,bulge,T,IC4202@14.110000,0.658684,1.98013,0.0890265
C,bulge,T,IC4202@14.590000,0.629696,1.87699,0.0791128
C,bulge,T,IC4202@14.980000,0.607773,1.9255,0.11695
C,bulge,T,IC4202@15.750000,0.566198,2.03082,0.0831982
C,bulge,T,IC4202@16.520000,0.527388,2.09544,0.0878571
C,bulge,T,IC4202@17.100000,0.499303,2.08702,0.107745
C,bulge,T,IC4202@17.880000,0.463659,2.06293,0.27734
C,bulge,T,IC4202@18.650000,0.431495,2.23232,0.263902
C,bulge,T,IC4202@19.620000,0.395599,2.07728,0.37107
C,bulge,T,IC4202@20.780000,0.361804,2.42827,0.195042
C,bulge,T,IC4202@22.130000,0.33042,2.24282,0.306011
C,bulge,T,IC4202@23.000000,0.311198,2.46936,0.445493
C,bulge,T,IC4202@23.580000,0.299159,2.46482,0.0852035
C,bulge,T,IC4202@25.030000,0.266969,2.49603,0.162766
C,bulge,T,IC4202@25.900000,0.249146,2.78393,0.138407
C,dwarf,F,KK98-251@0.250000,0.00900334,2.36293,2.22394
C,dwarf,F,KK98-251@0.410000,0.0134622,2.49592,1.4596
C,dwarf,F,KK98-251@0.570000,0.0178532,2.64449,1.10648
C,dwarf,F,KK98-251@0.740000,0.0245505,2.45209,0.797427
C,dwarf,F,KK98-251@0.900000,0.030127,2.47613,0.655927
C,dwarf,F,KK98-251@1.070000,0.0364575,2.31165,0.528378
C,dwarf,F,KK98-251@1.240000,0.0425486,2.16592,0.439781
C,dwarf,F,KK98-251@1.400000,0.046834,2.13423,0.391602
C,dwarf,F,KK98-251@1.570000,0.0495442,2.25374,0.369466
C,dwarf,F,KK98-251@1.720000,0.0516053,2.47241,0.362258
C,dwarf,F,KK98-251@1.890000,0.0526225,2.71813,0.358829
C,dwarf,F,KK98-251@2.060000,0.0523474,2.90195,0.356068
C,dwarf,F,KK98-251@2.460000,0.0480357,2.76317,0.331912
C,dwarf,F,KK98-251@2.790000,0.0432971,2.91815,0.337358
C,dwarf,F,KK98-251@3.130000,0.0358057,3.07307,0.359424
C,HSB,T,NGC0024@0.210000,0.244441,1.73669,1.29953
C,HSB,T,NGC0024@0.320000,0.307441,2.87626,1.64411
C,HSB,T,NGC0024@0.430000,0.305869,2.91762,1.31899
C,HSB,T,NGC0024@0.540000,0.322474,3.57803,1.32543
C,HSB,T,NGC0024@0.640000,0.321482,4.81434,1.14548
C,HSB,T,NGC0024@0.740000,0.323402,4.94563,1.48993
C,HSB,T,NGC0024@0.850000,0.33454,5.35313,1.26867
C,HSB,T,NGC0024@0.960000,0.349364,5.12454,0.914905
C,HSB,T,NGC0024@1.070000,0.360518,4.65596,0.792884
