Z,k,N_e_before,n_frozen,Zeff_bare,Zeff_ion,E_bare,E_ion,E_obs,rel_bare,rel_ion,jump_flag,rule_closer,tag
18,16,3,2,18,16,1102.0444709575884,870.7511869294526,918.03,0.20044494292952125,0.051500292006304106,,ion,COMPUTED
18,17,2,1,18,17,4408.1778838303535,3931.9858284783095,4120.8857,0.06971612530538124,0.04583962897143455,JUMP,ion,COMPUTED
18,18,1,1,18,18,4408.1778838303535,4408.1778838303535,4426.2296,0.004078350605591308,0.004078350605591308,,bare,COMPUTED
20,1,20,4,20,1,340.13769695536473,0.8503442423884118,6.11316,54.640241210006735,0.8608993969749831,,ion,COMPUTED
20,2,19,4,20,2,340.13769695536473,3.401376969553647,11.87172,27.651088212606492,0.7134891178739351,,ion,COMPUTED
20,3,18,3,20,3,604.6892390317595,13.605507878214588,50.9131,10.876889033112489,0.732769996754969,JUMP,ion,COMPUTED
20,4,17,3,20,4,604.6892390317595,24.18756956127038,67.27,7.988988241887313,0.6404404703245075,,ion,COMPUTED
20,5,16,3,20,5,604.6892390317595,37.79307743948497,84.5,6.156085669014905,0.5527446456865684,,ion,COMPUTED
20,6,15,3,20,6,604.6892390317595,54.422031512858354,108.78,4.558827349069309,0.49970553858376215,,ion,COMPUTED
20,7,14,3,20,7,604.6892390317595,74.07443178139053,127.2,3.7538462188031407,0.41765383819661533,,ion,COMPUTED
20,8,13,3,20,8,604.6892390317595,96.75027824508152,147.24,3.1068272142879616,0.3429076457139262,,ion,COMPUTED
20,9,12,3,20,9,604.6892390317595,122.44957090393129,188.54,2.207219895150947,0.3505379712319333,,ion,COMPUTED
20,10,11,3,20,10,604.6892390317595,151.17230975793987,211.275,1.8620955580724625,0.2844761104818844,,ion,COMPUTED
20,11,10,2,20,11,1360.550787821459,411.5666133159913,591.9,1.298615961854129,0.304668671539126,,ion,COMPUTED
20,12,9,2,20,12,1360.550787821459,489.79828361572515,657.2,1.0702233533497547,0.2547195927940884,,ion,COMPUTED
20,13,8,2,20,13,1360.550787821459,574.8327078545664,726.6,0.8724893859364973,0.20887323444182995,,ion,COMPUTED
20,14,7,2,20,14,1360.550787821459,666.6698860325148,817.6,0.6640787522278118,0.18460141140837233,,ion,COMPUTED
20,15,6,2,20,15,1360.550787821459,765.3098181495706,894.5,0.5210182088557395,0.14442725751864666,,ion,COMPUTED
20,16,5,2,20,16,1360.550787821459,870.7525042057337,974.0,0.3968693920138182,0.10600358911115641,,ion,COMPUTED
20,17,4,2,20,17,1360.550787821459,982.997944201004,1087.0,0.25165665852940106,0.09567806421250784,,ion,COMPUTED
20,18,3,2,20,18,1360.550787821459,1102.0461381353816,1157.8,0.1751172808960606,0.048155002474190994,,ion,COMPUTED
20,19,2,1,20,19,5442.203151285836,4911.588344035466,5128.8,0.06110652614370526,0.042351360155306064,JUMP,ion,COMPUTED
20,20,1,1,20,20,5442.203151285836,5442.203151285836,5469.864,0.005056953648968947,0.005056953648968947,,bare,COMPUTED
26,1,26,3,26,1,1021.9287893367859,1.511728978308855,7.9024,128.3187878792248,0.8087000179301408,,ion,COMPUTED
26,2,25,3,26,2,1021.9287893367859,6.04691591323542,16.1878,62.129566052013615,0.6264522718815763,,ion,COMPUTED
26,3,24,3,26,3,1021.9287893367859,13.605560804779694,30.652,32.33970994834875,0.5561281219894397,,ion,COMPUTED
26,4,23,3,26,4,1021.9287893367859,24.18766365294168,54.8,17.648335571839162,0.5586192764061737,,ion,COMPUTED
26,5,22,3,26,5,1021.9287893367859,37.79322445772137,75.0,12.625717191157145,0.49609034056371504,,ion,COMPUTED
26,6,21,3,26,6,1021.9287893367859,54.422243219118776,99.1,9.312096764246075,0.45083508356085994,,ion,COMPUTED
26,7,20,4,26,7,574.8349440019421,41.66702996463781,124.98,3.5994154584888944,0.6666104179497694,,ion,COMPUTED
26,8,19,4,26,8,574.8349440019421,54.422243219118776,151.06,2.8053418774125647,0.6397309465171537,,ion,COMPUTED
