hostname,hd_name,hip_name,sy_pnum
"HAT-P-49","HD 340099",,1
"HD 156279","HD 156279","HIP 84171",2
"Kepler-354",,,3
"Kepler-836",,,1
"Kepler-194",,,3
"Kepler-968",,,3
"K2-265",,,1
"TIC 393818343",,,1
"Kepler-1965",,,1
"Kepler-121",,,2
"HD 159868","HD 159868","HIP 86375",2
"HN Lib",,"HIP 71253",1
"K2-110",,,1
"Kepler-209",,,2
"Kepler-1991",,,2
"Kepler-556",,,1
"Kepler-1368",,,1
"HD 49674","HD 49674","HIP 32916",1
"Kepler-1491",,,2
"Kepler-1316",,,1
"Kepler-634",,,1
"Kepler-1840",,,1
"Kepler-1247",,,1
"TOI-1842",,,1
"Kepler-1519",,,1
"Kepler-399",,,3
"Kepler-1001",,,2
"Kepler-1103",,,1
"HD 69830","HD 69830","HIP 40693",3
"Kepler-939",,,1
"Kepler-1724",,,1
"Kepler-770",,,3
"Kepler-1524",,,1
"Kepler-596",,,1
"TOI-5205",,,1
"Kepler-1138",,,1
"HAT-P-13",,,2
"WASP-18","HD 10069","HIP 7562",1
"GJ 3929",,,2
"TOI-2427",,,1
"Kepler-510",,,1
"Kepler-1396",,,1
"Kepler-1102",,,1
"Kepler-753",,,1
"KELT-23 A",,,1
"Kepler-1950",,,1
"HD 222582","HD 222582","HIP 116906",1
"Kepler-1166",,,1
"Kepler-1448",,,1
"Kepler-355",,,2
"Kepler-284",,,2
"HIP 35965",,"HIP 35965",1
"WASP-127 B",,,1
"TOI-2109",,,1
"Kepler-907",,,1
"BD+05 4868 A",,"HIP 107587",1
"Kepler-349",,,2
"HIP 9618","HD 12572","HIP 9618",2
"K2-232","HD 286123",,1
"TOI-6651",,,1
"GJ 1151",,,1
"GJ 3470",,,1
"TOI-451 B",,,3
"Kepler-213",,,2
"Kepler-720",,,1
"Kepler-305",,,4
"TOI-1670",,,2
"bet Pic","HD 39060","HIP 27321",3
"Kepler-317",,,2
"TOI-2184",,,1
"Kepler-83",,,3
"WASP-28",,,1
"Kepler-1552",,,1
"47 UMa","HD 95128","HIP 53721",3
"K2-119",,,1
"HD 179079","HD 179079","HIP 94256",1
"Kepler-659",,,1
