Cassini SCE1 resume/fetch started
[2026-08-08T19:56:23.8054288+10:00] SKIP 309479 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\casrssis.txt
[2026-08-08T19:56:23.8106937+10:00] SKIP 8169 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\ck_mm_sis_000614.txt
[2026-08-08T19:56:23.8226663+10:00] SKIP 1173 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\docinfo.txt
[2026-08-08T19:56:23.8366576+10:00] SKIP 9834 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\dors_002_020501.txt
[2026-08-08T19:56:23.8526502+10:00] SKIP 1463 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\rol_021101.txt
[2026-08-08T19:56:23.8690463+10:00] SKIP 4689 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\rsrlog_021101.txt
[2026-08-08T19:56:23.8800483+10:00] SKIP 18962 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\spk_mm_sis_000525.txt
[2026-08-08T19:56:23.8947969+10:00] SKIP 26581 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\trk_2_21_950831.txt
[2026-08-08T19:56:23.9037981+10:00] SKIP 25915 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\trk_2_23_000531.txt
[2026-08-08T19:56:24.2467219+10:00] SKIP 703 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\spk\c32easc2002_160_2002_186.lbl
[2026-08-08T19:56:24.2517103+10:00] SKIP 365947 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\spk\c32easc2002_160_2002_186.spk
[2026-08-08T19:56:24.5879283+10:00] SKIP 29875 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\eop\c32easc2001_244_2002_245.eop
[2026-08-08T19:56:24.5928841+10:00] SKIP 702 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\eop\c32easc2001_244_2002_245.lbl
[2026-08-08T19:56:24.9322819+10:00] SKIP 21600 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ion\c32easc2002_152_2002_182.ion
[2026-08-08T19:56:24.9362487+10:00] SKIP 702 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ion\c32easc2002_152_2002_182.lbl
[2026-08-08T19:56:25.2549704+10:00] SKIP 702 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\tro\c32easc2002_152_2002_182.lbl
[2026-08-08T19:56:25.2605302+10:00] SKIP 89315 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\tro\c32easc2002_152_2002_182.tro
[2026-08-08T19:56:25.5974263+10:00] SKIP 27015092 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ckf\c32easc2002_158_2002_162.ckf
[2026-08-08T19:56:25.6014298+10:00] SKIP 667 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ckf\c32easc2002_158_2002_162.lbl
[2026-08-08T19:56:25.6184296+10:00] SKIP 32954616 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ckf\c32easc2002_162_2002_167.ckf
[2026-08-08T19:56:25.6364283+10:00] SKIP 697 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ckf\c32easc2002_162_2002_167.lbl
[2026-08-08T19:56:25.9944356+10:00] SKIP 1796 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\CATINFO.TXT
[2026-08-08T19:56:25.9994358+10:00] SKIP 32999 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\DATASET.CAT
[2026-08-08T19:56:26.0054370+10:00] SKIP 83358 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\INST.CAT
[2026-08-08T19:56:26.0223932+10:00] SKIP 40155 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\INSTHOST.CAT
[2026-08-08T19:56:26.0310307+10:00] SKIP 50105 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\MISSION.CAT
[2026-08-08T19:56:26.0440325+10:00] SKIP 5472 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\PERSON.CAT
[2026-08-08T19:56:26.0550367+10:00] SKIP 834 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\PROJREF.CAT
[2026-08-08T19:56:26.0641199+10:00] SKIP 135747 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\REF.CAT
[2026-08-08T19:56:26.4355104+10:00] SKIP 309479 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\casrssis.txt
[2026-08-08T19:56:26.4389015+10:00] SKIP 8126 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\ck_mm_sis_000614.txt
[2026-08-08T19:56:26.4581310+10:00] SKIP 1173 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\docinfo.txt
[2026-08-08T19:56:26.4714645+10:00] SKIP 9810 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\dors_002_020501.txt
[2026-08-08T19:56:26.4804312+10:00] SKIP 1463 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\rol_021101.txt
[2026-08-08T19:56:26.4949332+10:00] SKIP 4689 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\rsrlog_021101.txt
[2026-08-08T19:56:26.5038889+10:00] SKIP 18821 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\spk_mm_sis_000525.txt
[2026-08-08T19:56:26.5196530+10:00] SKIP 26581 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\trk_2_21_950831.txt
[2026-08-08T19:56:26.5340292+10:00] SKIP 25475 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\document\trk_2_23_000531.txt
[2026-08-08T19:56:26.8879517+10:00] SKIP 703 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\sce1_ancillary\spk\c32easc2002_160_2002_186.lbl
[2026-08-08T19:56:26.8929502+10:00] SKIP 365947 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\sce1_ancillary\spk\c32easc2002_160_2002_186.spk
[2026-08-08T19:56:27.2306644+10:00] SKIP 29875 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\sce1_ancillary\eop\c32easc2001_244_2002_245.eop
[2026-08-08T19:56:27.2336724+10:00] SKIP 702 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\sce1_ancillary\eop\c32easc2001_244_2002_245.lbl
[2026-08-08T19:56:27.5725759+10:00] SKIP 21600 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\sce1_ancillary\ion\c32easc2002_152_2002_182.ion
[2026-08-08T19:56:27.5775786+10:00] SKIP 702 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\sce1_ancillary\ion\c32easc2002_152_2002_182.lbl
