Cassini SCE1 full retrieval started
[2026-08-07T18:35:47.0663472+10:00] OK 10050 bdf575b1441284037999c6b8884504d0a292f56003ac3e23d9780fe3d8d22183 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\index.tab
[2026-08-07T18:35:47.5483668+10:00] OK 7200 8655462d38f021cf75994c5ad05fcfffb38a9e18d9fe37615a5cc6ec37da484f c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\index.lbl
[2026-08-07T18:35:47.8680076+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\indxinfo.txt
[2026-08-07T18:35:49.5546264+10:00] Parsed jobs: 3232
[2026-08-07T18:35:50.1499922+10:00] OK 703 a5e42636d2d455905596247ca8c71680353b22137b9b62a9ffcf0ac4857d7f0d c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\spk\c32easc2002_160_2002_186.lbl
[2026-08-07T18:35:54.7540998+10:00] OK 365947 2d9a079363e2b68df395995581731888ac52e524a2ab8c0a491cc140045c9d93 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\spk\c32easc2002_160_2002_186.spk
[2026-08-07T18:35:55.5497866+10:00] OK 29875 cdf8880a1ad8fca08680ff59f497fee420ccb8dae7b6da269e9aed8674140914 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\eop\c32easc2001_244_2002_245.eop
[2026-08-07T18:35:55.8223468+10:00] OK 702 7f6f64df207d50521843acb68ae2bee56c63d73acd82827fbdaea32071169142 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\eop\c32easc2001_244_2002_245.lbl
[2026-08-07T18:35:56.5837860+10:00] OK 21600 b210e7a2ccbf396a5c1158904382feee63309cf3233acdc8cfdbfa3d8607f366 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ion\c32easc2002_152_2002_182.ion
[2026-08-07T18:35:56.8449090+10:00] OK 702 1b37ba10d6aaef87159c18bf1225db272f7a72d173b1c0020c0ba54cbb3f2431 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ion\c32easc2002_152_2002_182.lbl
[2026-08-07T18:35:57.3792499+10:00] OK 702 0b430935eb47a08ae8984ad1dac6ecec31db8f445fa2acb259c0028d1a3a924f c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\tro\c32easc2002_152_2002_182.lbl
[2026-08-07T18:35:59.1671834+10:00] OK 89315 864941c835eae260b2b314cddf59704ad6563fd0097ab2186107174d3ee41283 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\tro\c32easc2002_152_2002_182.tro
[2026-08-07T18:36:37.4073056+10:00] OK 14537442 fe13a3beb486f8bc82247a33e3e268511354a0d3c71b3aeed95d0281294941bc c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ckf\c32easc2002_155_2002_158.ckf
[2026-08-07T18:36:37.6897211+10:00] OK 697 05ca9d5ccb148ac2ba36dfc97d816efdaffe3034c4c138d0c4ca6f81553017a2 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ckf\c32easc2002_155_2002_158.lbl
[2026-08-07T18:38:23.4315521+10:00] OK 27015092 bf48dd95caf28520d4fe2681b4a751ef0608bd11d5e79aa68e146bc498a9daea c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ckf\c32easc2002_158_2002_162.ckf
[2026-08-07T18:38:23.7024143+10:00] OK 667 4de85a98976aaf66a2dc35f4f9a74f00d561e16c5eb319b477b34ec3a1d8cc58 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ckf\c32easc2002_158_2002_162.lbl
[2026-08-07T18:38:24.2426824+10:00] OK 1796 f4a1b6b25a32dd4fa1ef37b968ca1a8699f8c36d886f4fe90370beb3f21c22ee c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\CATINFO.TXT
[2026-08-07T18:38:24.7821697+10:00] OK 32999 aeac42799269a120dfe704e6422b4da86cc59888628b014f8ac0ab6002b1858b c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\DATASET.CAT
[2026-08-07T18:38:25.9011563+10:00] OK 83358 cd36b2402a4fb53cb0d71c8abcc2e6a170aea0fb7672d63d7e2ec57df63ffd4f c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\INST.CAT
[2026-08-07T18:38:26.7913817+10:00] OK 40155 016dd8ebf6702291b30c05112c0d5c9783c59cc12fbf8f7165b96e77614b08f0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\INSTHOST.CAT
[2026-08-07T18:38:27.8954823+10:00] OK 50105 784725e42f7b7b1dcf1e02efdb0529060fc4cfb6695cf79ba29fc80c1e0ec86d c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\MISSION.CAT
[2026-08-07T18:38:28.2211112+10:00] OK 5472 9bfc9b5888f64274160bf6c81c1d4c0a60336e2641a41cdce7b75649d8fcddde c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\PERSON.CAT
[2026-08-07T18:38:28.4974692+10:00] OK 834 d5f956f10acee783be7a83926841a0dbb89780aa939000fbff8bed8fdc351b11 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\PROJREF.CAT
[2026-08-07T18:38:30.9583851+10:00] OK 135747 a15bfd64a3c6c5ef5c9e41c84bfc8a2cdf3f805e1044a7a5e5323dd04ac47bfa c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\REF.CAT
[2026-08-07T18:38:34.1080602+10:00] OK 309479 daa759b2338fc4ca53d7474d7c17f83a1068470c0c5a00bcc17cf2d17e5ad84b c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\casrssis.txt
[2026-08-07T18:38:34.3662451+10:00] OK 8169 cf9207ea1700dbf67fed22e61ea2945077367ca5b1268e017e6558577cc72476 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\ck_mm_sis_000614.txt
[2026-08-07T18:38:34.6370728+10:00] OK 1173 7b87dba2f1fe65d16e9de52b2eed2dcbbbc0375a9b4670c4570384d92aac69ee c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\docinfo.txt
[2026-08-07T18:38:34.9450979+10:00] OK 9834 b62f4d8e8c67ffe63f7279fc98112b7e94f966a0cf88a93677e2064133a2cdca c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\dors_002_020501.txt
[2026-08-07T18:38:35.2402867+10:00] OK 1463 9b5cf20a1b36d380b7e64a222001ab629d54c6abcf53428cc39f2cca4afc8711 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\rol_021101.txt
[2026-08-07T18:38:35.5071184+10:00] OK 4689 30765169c3d58c1d5bcb6e822a0b55df90b0f7b214efbb37faf3c1bfae4ece0b c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\rsrlog_021101.txt
