rank  nuclide   Z   N  n_d  n_t   yield%    cum%(x2frag)
 179    Pr-147   59  88   28   29    0.028    198.9
 180    Tc-103   43  60   24   17    0.026    198.9
 181     Rb-97   37  60   12   23    0.025    198.9
 182    Nb-106   41  65   15   24    0.021    199.0
 183    Ba-148   56  92   18   36    0.021    199.0
 184    Sb-136   51  85   15   34    0.021    199.0
 185     I-141   53  88   16   35    0.021    199.0
 186     Ga-79   31  48   12   17    0.021    199.1
 187     Br-92   35  57   11   22    0.020    199.1
 188    Nd-155   60  95   23   35    0.020    199.1
 189     Br-84   35  49   19   14    0.020    199.1
 190    Ce-152   58  94   20   36    0.020    199.1
 191     Ga-80   31  49   11   18    0.018    199.2
 192     Ge-84   32  52   10   20    0.018    199.2
 193    Mo-100   42  58   24   16    0.018    199.2
 194     As-80   33  47   17   14    0.018    199.2
 195    Tc-109   43  66   18   23    0.017    199.2
 196    Tc-108   43  65   19   22    0.017    199.3
 197    Tc-110   43  67   17   24    0.015    199.3
 198    Sr-100   38  62   12   24    0.015    199.3
 199    Sn-134   50  84   14   34    0.013    199.3
 200    In-131   49  82   14   33    0.012    199.3
 201    Ru-111   44  67   19   23    0.012    199.3
 202     I-132   53  79   25   26    0.012    199.4
 203     Nb-98   41  57   23   16    0.012    199.4
 204    La-150   57  93   19   36    0.011    199.4
 205     Y-102   39  63   13   24    0.011    199.4
 206       H-3    1   2   -2    1    0.011    199.4
 207    In-124   49  75   21   26    0.011    199.4
 208     As-87   33  54   10   21    0.011    199.4
 209    Pd-116   46  70   20   24    0.010    199.4
 210     Se-90   34  56   10   22    0.010    199.4
 211    Cd-122   48  74   20   26    0.010    199.5
 212     Ga-78   31  47   13   16    0.010    199.5
 213     Kr-95   36  59   11   23    0.010    199.5
 214    Tc-107   43  64   20   21    0.010    199.5
 215    In-128   49  79   17   30    0.010    199.5
 216    In-125   49  76   20   27    0.010    199.5
 217    Xe-134   54  80   26   26    0.010    199.5
 218      Y-93   39  54   22   15    0.010    199.5
 219    Rh-113   45  68   20   23    0.010    199.5
 220    Mo-109   42  67   15   25    0.009    199.6
 221    Pm-155   61  94   26   33    0.009    199.6
 222    Cs-146   55  91   17   36    0.009    199.6
 223    Sn-125   50  75   23   25    0.009    199.6
 224    Nb-107   41  66   14   25    0.009    199.6
 225    Te-139   52  87   15   35    0.009    199.6
 226    La-141   57  84   28   27    0.008    199.6
 227    Ru-110   44  66   20   22    0.008    199.6
 228    Xe-144   54  90   16   36    0.008    199.6
 229    Ag-119   47  72   20   25    0.008    199.6
 230     Ge-78   32  46   16   14    0.008    199.7
 231     Ga-81   31  50   10   19    0.008    199.7
 232    Sb-127   51  76   24   25    0.008    199.7
 233    In-127   49  78   18   29    0.007    199.7
 234    Cd-120   48  72   22   24    0.007    199.7
 235    Sn-124   50  74   24   24    0.007    199.7
 236    In-123   49  74   22   25    0.007    199.7
 237    Ru-112   44  68   18   24    0.007    199.7
 238    In-126   49  77   19   28    0.007    199.7
 239    Nd-149   60  89   29   29    0.007    199.7
 240    Sb-128   51  77   23   26    0.007    199.7
 241      Y-92   39  53   23   14    0.007    199.7
 242    Pm-156   61  95   25   34    0.006    199.7
 243    Tc-111   43  68   16   25    0.006    199.8
 244    Pd-118   46  72   18   26    0.006    199.8
 245     Nb-97   41  56   24   15    0.006    199.8
 246    Pm-153   61  92   28   31    0.005    199.8
 247     Br-83   35  48   20   13    0.005    199.8
 248     Kr-85   36  49   21   13    0.005    199.8
 249    In-132   49  83   13   34    0.005    199.8
 250     Ga-77   31  46   14   15    0.005    199.8
 251    Nd-156   60  96   22   36    0.005    199.8
 252    Pr-154   59  95   21   36    0.005    199.8
 253    Rh-115   45  70   18   25    0.005    199.8
 254    Cs-136   55  81   27   26    0.005    199.8
 255    Cd-124   48  76   18   28    0.004    199.8
 256    Rh-114   45  69   19   24    0.004    199.8
 257    Ba-138   56  82   28   26    0.004    199.8
 258    Pr-146   59  87   29   28    0.004    199.8
 259    Nb-108   41  67   13   26    0.004    199.8
 260    Pd-114   46  68   22   22    0.004    199.8
 261     Zr-94   40  54   24   14    0.003    199.8
 262     Ge-79   32  47   15   15    0.003    199.8
 263    Pm-157   61  96   24   35    0.003    199.8
 264    Ce-143   58  85   29   27    0.003    199.9
 265     Zn-76   30  46   12   16    0.003    199.9
 266     Rb-87   37  50   22   13    0.003    199.9
 267    Pm-154   61  93   27   32    0.003    199.9
 268    Zr-105   40  65   13   25    0.003    199.9
 269    Sm-157   62  95   27   33    0.003    199.9
 270    In-122   49  73   23   24    0.003    199.9
 271      He-6    2   4   -2    2    0.003    199.9
 272    Sm-156   62  94   28   32    0.003    199.9
 273    Ag-120   47  73   19   26    0.003    199.9
 274    Pd-117   46  71   19   25    0.003    199.9
 275    Ru-113   44  69   17   25    0.002    199.9
 276     Zn-78   30  48   10   18    0.002    199.9
 277     Ge-85   32  53    9   21    0.002    199.9
 278    Ag-121   47  74   18   27    0.002    199.9
 279    Cd-121   48  73   21   25    0.002    199.9
 280    Sb-126   51  75   25   24    0.002    199.9
 281     As-79   33  46   18   13    0.002    199.9
 282    Ru-105   44  61   25   17    0.002    199.9
 283     Zn-77   30  47   11   17    0.002    199.9
 284     Sr-89   38  51   23   13    0.002    199.9
 285    Ru-109   44  65   21   21    0.002    199.9
 286    Pd-115   46  69   21   23    0.002    199.9
 287    Tc-102   43  59   25   16    0.002    199.9
 288    Rh-112   45  67   21   22    0.002    199.9
 289     Y-103   39  64   12   25    0.002    199.9
 290     Br-93   35  58   10   23    0.002    199.9
 291    Sb-137   51  86   14   35    0.002    199.9
 292    Mo-110   42  68   14   26    0.002    199.9
 293    Rh-111   45  66   22   21    0.002    199.9
 294     Mo-99   42  57   25   15    0.002    199.9
 295       H-1    1   0    0   -1    0.002    199.9
 296    In-121   49  72   24   23    0.002    199.9
 297    Ce-153   58  95   19   37    0.002    199.9
 298    Cd-123   48  75   19   27    0.001    199.9
 299     I-142   53  89   15   36    0.001    199.9
 300    Pd-119   46  73   17   27    0.001    199.9
 301     Ga-76   31  45   15   14    0.001    199.9
 302     Ga-82   31  51    9   20    0.001    199.9
 303    Sm-158   62  96   26   34    0.001    199.9
 304    Ag-118   47  71   21   24    0.001    199.9
 305     I-131   53  78   26   25    0.001    199.9
 306    Ba-149   56  93   17   37    0.001    200.0
 307    Ru-114   44  70   16   26    0.001    200.0
 308    La-151   57  94   18   37    0.001    200.0
 309    Cd-119   48  71   23   23    0.001    200.0
 310    Sm-155   62  93   29   31    0.001    200.0
 311    Nd-148   60  88   30   28    0.001    200.0
 312     As-88   33  55    9   22    0.001    200.0
 313     Zn-79   30  49    9   19    0.001    200.0
 314     Ge-77   32  45   17   13    0.001    200.0
 315     Rb-98   37  61   11   24    0.001    200.0
 316    Rh-116   45  71   17   26    0.001    200.0
 317    Sr-101   38  63   11   25    0.001    200.0
 318    Rh-117   45  72   16   27    0.001    200.0
 319     Se-81   34  47   19   13    0.001    200.0
 320    Tc-112   43  69   15   26    0.001    200.0
 321       H-2    1   1   -1    0    0.001    200.0
 322     Kr-96   36  60   10   24    0.001    200.0
 323    Sm-159   62  97   25   35    0.001    200.0
 324    Sn-123   50  73   25   23    0.001    200.0
 325    Cd-130   48  82   12   34    0.001    200.0
 326    Sb-125   51  74   26   23    0.001    200.0
 327    Ag-116   47  69   23   22    0.001    200.0
 328    Sn-135   50  85   13   35    0.001    200.0
 329     Se-91   34  57    9   23    0.001    200.0
 330    Pr-155   59  96   20   37    0.001    200.0
 331    Pm-151   61  90   30   29    0.001    200.0
 332    Te-140   52  88   14   36    0.001    200.0
 333     Se-80   34  46   20   12    0.001    200.0
 334    Cd-118   48  70   24   22    0.001    200.0
 335     Zn-75   30  45   13   15    0.001    200.0
 336    Cs-147   55  92   16   37    0.001    200.0
 337    Ag-122   47  75   17   28    0.001    200.0
 338    Nd-157   60  97   21   37    0.001    200.0
 339    Ag-117   47  70   22   23    0.001    200.0
 340     Be-10    4   6    0    2    0.001    200.0
 341      B-10    5   5    3    0    0.001    200.0
 342    La-140   57  83   29   26    0.001    200.0
 343    Ru-108   44  64   22   20    0.001    200.0
 344    Pm-152   61  91   29   30    0.000    200.0
 345    Xe-133   54  79   27   25    0.000    200.0
 346    Pm-158   61  97   23   36    0.000    200.0
